Issue id,Issue Type,Status,Priority,Changelog Count,Comments Count,Watch Count,Date Created,Days to date
b3b7e3fbaf6213af82e8658b8e47241e6b6b099cb68cf7f4fcce8a3aa7dfef29,New Feature or Improvement,Code review,Critical,248,136,34,2015-07-16 05:07:24.977000000,1637
551f4ccd5a563cda0e998b2a9360e4cb6e7328edb300f989aa128d68b8c4b80c,Internal Improvement,Testing,Major,191,45,23,2018-08-21 09:05:08.535000000,505
e71ea5623a563eb3744b6c7732e5ab21e3fcb5558e86222162d042dc8ba52203,Epic,Cancelled,Major,76,23,21,2017-04-06 16:08:34.314000000,1007
e76c64f5f90522990112f6d7db1fdbd50efbc50dfa82e7937f9ef3e5a727f2d6,Internal Improvement,Needs QA fixes,Major,155,57,18,2018-05-04 07:51:04.131000000,614
528b9de3cd6c019bc5bc4cd6048a9615e3ff58f26d274ba85dc9ba67b52599a7,Internal Improvement,Testing,Major,151,66,15,2016-02-24 13:55:59.379000000,1414
57d374588fa84d4d0e538a1027802c22f2a08bb1475c400094561392b7e480c4,Epic,Cancelled,Major,106,18,15,2017-04-26 09:55:41.573000000,987
8d25aabeea3424240f9f3de6b85a9af74466a4110ccd870bef66ef55adf55640,New Feature or Improvement,Testing On Hold,Major,106,25,14,2018-05-18 09:48:30.370000000,600
79eac24b79c7b69aa6f6f7f17470bc147321db77ab832e1c6f8304b5f1e19e38,Bug,Development On Hold,Minor,51,34,14,2017-05-12 11:29:30.941000000,971
eb6e492aec9475fe3bbf9561be527bf2d161277856a5ff927e1d431a38d37ac7,Bug,Review,Major,21,23,14,2019-07-25 15:30:13.801000000,167
30af6366662f28d29a0fa06617e774fb2bc142ed18855827c94b2f540389ca32,Epic,Backlog,Major,125,21,13,2015-10-21 09:46:17.110000000,1540
9a8e095622795ce8e89e408a4cdb2e0070782c0c34cb70aad57472fa83356d53,New Feature or Improvement,Development Backlog,Minor,40,50,13,2018-09-28 08:58:53.919000000,467
0a8eef3807e277436f4adde60d988c766579b1d528fb13e40fbf257cd83bc7a1,Epic,Work in Progress,Major,61,18,12,2018-11-09 08:24:07.803000000,425
dd0fef38841ceadaedf624ecb2d2629bd0aa08dd961a90b834eb593e187a32da,Epic,Cancelled,Minor,30,11,11,2018-05-25 16:06:48.098000000,593
8673dd31dd8f2aa9138c70585b244b14363ae4c7df61a3ff4626f312aee7c93a,New Feature or Improvement,Needs PR fixes,Major,152,66,10,2018-10-04 09:49:33.120000000,461
de1e6c163663b4f4f0be93b56f5d8262fe712f1a4f2d1968730571873a2bd055,Internal Improvement,Development Backlog,Critical,133,25,10,2017-03-28 04:35:50.424000000,1016
2d6b1943af3e2626d473badca1ea5cc47dea95f3f82e47ebe14571123c19c1e2,New Feature or Improvement,Testing On Hold,Minor,100,24,10,2018-08-21 09:51:39.609000000,505
aa9e88d4e12744606faa1b5105eb722bac4a041a52435beadbd5e03efcda66a8,New Feature or Improvement,Testing,Major,88,51,10,2019-03-29 16:42:01.292000000,285
e87c1eff0a2509bb7dac18537d157a229a1efaeec14240a7c6fba7cf76756769,New Feature or Improvement,Needs QA fixes,Major,68,26,10,2019-04-04 20:11:08.144000000,279
fe61e4b29bbf8db98999e5122aa3bf289c49b7b5d4c34970c3454a7019782388,Bug,Code review,Major,65,16,10,2019-08-09 14:51:12.218000000,152
7d8ea8f223df44fe13cdab232d2747c88e750830b4a76daa4fcf789967c32b4a,Epic,Backlog,Major,65,13,10,2018-05-30 20:38:02.399000000,588
5b8305313fe8f1fd3c0c296039f0cbe23afb00585c2172a57b86cb8e567ae510,Bug,Testing On Hold,Major,64,12,10,2019-09-03 04:05:42.096000000,127
8527a621f25d2837468d06fc0afa2cae90ef4d580e5fbb7f492235cd32af2e42,Epic,Work in Progress,Major,62,4,10,2018-12-18 06:29:29.099000000,386
3c94e16509cafee902b91e42d3d0823354c4718f55637197f060b698d7918255,New Feature or Improvement,Development,Major,50,14,10,2019-07-18 15:26:04.235000000,174
6293ce7b45ecc243c16b32978a082652a1f7256c9c2c849f278bef82eba7f981,Bug,Ready for dev,Major,14,13,10,2018-07-05 05:21:09.280000000,552
ef791f1b5b2f7a06c8d35b85d19549983db99088ab036dd096d77177421de1a9,New Feature or Improvement,Code review,Minor,127,33,9,2018-02-07 03:49:43.987000000,700
69bc35d5b7034ad439428ba74afec1a1858033945dd70602c3c9d413b974eb27,New Feature or Improvement,Development Backlog,Major,115,43,9,2018-05-24 11:38:26.487000000,594
084de9e52c4550af27e3881f46999a6c920e37031c8ce5e28c0eaafa844286af,Internal Improvement,Needs QA fixes,Major,69,19,9,2017-12-18 07:56:08.584000000,751
b2f806c3c741f293258fa26ee2a8386ae91302fd20d873729b8260b71190c116,Bug,Testing On Hold,Major,63,18,9,2019-02-13 04:38:46.309000000,329
8f7cd63b3bc4792cb84209f7f8006290597845fca3688424b785b370552566f6,Bug,Needs CR fixes,Major,44,17,9,2019-04-02 07:33:19.153000000,281
5bbeafc14906be08eab9320b61b1463bdcd950d247cc247576c5f6dfe7f595de,Epic,Work in Progress,Major,41,8,9,2019-07-09 14:23:09.120000000,183
87d066ef61561acb93bf28ac5c9f1b22ef167978c3be058a39af83fe53e00732,New Feature or Improvement,Testing,Major,40,7,9,2017-08-15 17:07:22.253000000,876
5137893b6f0bc98164b2785c15a25ff647fafae83284725f8822dc2956f2d1a2,New Feature or Improvement,In Backlog,Minor,32,21,9,2016-10-06 11:47:25.634000000,1189
386414ee5dcc56c25f35807fda6c2033c7ca765679bafd06a5c2eb3bf7e54f89,Epic,Cancelled,Minor,28,3,9,2017-11-22 16:54:52.536000000,777
e22d13347c37e898669cce59b59bf5ec235b4599838c2cae2bd6557a0a84f3c5,New Feature or Improvement,Development Backlog,Major,27,14,9,2018-10-02 15:40:26.477000000,463
174841657c97eb777cabaf065bd769a7d414d55a5f860451078bc386a3aa23f4,Internal Improvement,Development On Hold,Major,22,7,9,2019-03-18 08:46:27.336000000,296
3397c8b5c595ce99ee38991eadcc856d5a0e9c224cc33fd07d07c2dc9ebc6ec1,New Feature or Improvement,Testing On Hold,Major,119,10,8,2018-01-19 09:04:16.728000000,719
ab27d207d8cff27b3df56547a7865bdb4d958620b1ff785628fe9558e96aa089,Internal Improvement,Needs QA fixes,Major,59,23,8,2018-05-15 12:27:00.366000000,603
8f6811259ea81ac96010e4c1a846c0058fad40d23b796ca43ac65618d0b08a3e,New Feature or Improvement,Code review,Minor,44,19,8,2019-09-24 04:06:01.605000000,106
2cbc36c102ab840580206c0e865f1dfe6505c0eb496c2491cee1faca63038bc8,New Feature or Improvement,Development,Critical,38,8,8,2019-04-11 04:17:17.699000000,272
54ca980559431258efb7603271acbdd5769c467351684f8e19c497d09595f663,Epic,To-Do,Minor,38,6,8,2017-11-27 15:35:31.679000000,772
2d43451c0ffebce7bdda8fd25ddf586c8d3d5ebffd658421f4a2abdd2bf634d6,New Feature or Improvement,Code review,Minor,37,21,8,2017-12-08 19:14:42.253000000,761
15389a360dddd398bb5b4cec16902e678db558f04c0f2e6631de0b3674566a5a,New Feature or Improvement,Testing On Hold,Minor,37,17,8,2018-06-19 20:25:18.010000000,568
fdc67c28e5fb84349a641ea1c0424556feaef65872e9ff1d461a6c624ec47f72,Internal Improvement,Code review,Minor,31,12,8,2019-08-13 20:15:36.548000000,148
1f3fb49049a130c6cbd0190459c46ccce05e3fcd1668b7a2a700aa5bf35b21e0,New Feature or Improvement,Development Backlog,Minor,30,12,8,2018-11-05 17:30:01.784000000,429
d730aab3546c38ddf2e0cf3ead8dfb84969c8cef3d089ad85817cdf42511719c,Bug,Development Backlog,Minor,20,12,8,2018-06-28 17:50:31.925000000,559
111bef66266db235c66952dd41ed56c29777c065d41da9892cee91445469a2eb,Bug,Ready for dev,Minor,19,6,8,2019-05-03 09:07:11.585000000,250
ccf6749619c7a37e37f87ad642da9ffb1669b550a08644677886f49fb1c534f5,Bug,Development Backlog,Major,16,13,8,2018-09-19 16:01:40.742000000,476
071761035d5ee92b28c871632bd5721f4584b875733dd23ef26c559460cc0ff2,Internal Improvement,Development On Hold,Major,15,13,8,2019-04-25 10:22:54.643000000,258
