,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Backlog,,,,,,
1,Backlog,,,,,,
2,Backlog,,,,,,
3,Backlog,,,,,,
4,Backlog,,,,,,
5,Backlog,,,,,,
6,Backlog,,,,,,
7,Backlog,,,,,,
8,Backlog,,,,,,
9,Backlog,,,,,,
10,Backlog,,,,,,
11,Backlog,,,,,,
12,Backlog,,,,,,
13,Backlog,,,,,,
14,Backlog,,,,,,
15,Backlog,,,,,,
16,Backlog,,,,,,
17,Backlog,,,,,,
18,Backlog,,,,,,
19,Backlog,,,,,,
20,Backlog,,,,,,
21,Backlog,,,,,,
22,Backlog,,,,,,
23,Backlog,,,,,,
24,Backlog,,,,,,
25,Backlog,,,,,,
26,Backlog,,,,,,
27,Backlog,,,,,,
28,Backlog,,,,,,
29,Backlog,,,,,,
30,Backlog,,,,,,
31,Backlog,,,,,,
32,Backlog,,,,,,
33,Backlog,,,,,,
34,Backlog,,,,,,
35,Backlog,,,,,,
36,Backlog,,,,,,
37,Backlog,,,,,,
38,Backlog,,,,,,
39,Backlog,,,,,,
40,Backlog,,,,,,
41,Backlog,,,,,,
42,Backlog,,,,,,
43,Backlog,,,,,,
44,Backlog,,,,,,
45,Backlog,,,,,,
46,Backlog,,,,,,
47,Backlog,,,,,,
48,Backlog,,,,,,
49,Backlog,,,,,,
50,Backlog,,,,,,
51,Backlog,,,,,,
52,Backlog,,,,,,
53,Backlog,,,,,,
54,Backlog,,,,,,
55,Backlog,,,,,,
56,Backlog,,,,,,
57,Backlog,,,,,,
58,Backlog,,,,,,
59,Backlog,,,,,,
60,Backlog,,,,,,
61,Backlog,1.0,1.0,1.0,118.640034722222,118.640035,118.640035
62,Backlog,,,,,,
63,Backlog,,,,,,
64,Backlog,,,,,,
65,Backlog,,,,,,
66,Backlog,,,,,,
67,Backlog,,,,,,
68,Backlog,,,,,,
69,Backlog,,,,,,
70,Backlog,,,,,,
71,Backlog,,,,,,
72,Backlog,,,,,,
73,Backlog,,,,,,
74,Backlog,,,,,,
75,Backlog,,,,,,
76,Backlog,,,,,,
77,Backlog,,,,,,
78,Backlog,,,,,,
79,Backlog,,,,,,
80,Backlog,,,,,,
81,Backlog,,,,,,
82,Backlog,,,,,,
83,Backlog,,,,,,
84,Backlog,,,,,,
85,Backlog,,,,,,
86,Backlog,,,,,,
87,Backlog,,,,,,
88,Backlog,,,,,,
89,Backlog,,,,,,
90,Backlog,,,,,,
91,Backlog,,,,,,
92,Backlog,,,,,,
93,Backlog,,,,,,
94,Backlog,,,,,,
95,Backlog,,,,,,
96,Backlog,,,,,,
97,Backlog,,,,,,
98,Backlog,,,,,,
99,Backlog,,,,,,
100,Backlog,,,,,,
101,Backlog,,,,,,
102,Backlog,,,,,,
103,Backlog,,,,,,
104,Backlog,,,,,,
105,Backlog,,,,,,
106,Backlog,,,,,,
107,Backlog,,,,,,
108,Backlog,,,,,,
109,Backlog,,,,,,
110,Backlog,,,,,,
111,Backlog,,,,,,
112,Backlog,,,,,,
113,Backlog,,,,,,
114,Backlog,,,,,,
115,Backlog,,,,,,
116,Backlog,,,,,,
117,Backlog,,,,,,
118,Backlog,,,,,,
119,Backlog,,,,,,
120,Backlog,,,,,,
121,Backlog,,,,,,
122,Backlog,,,,,,
123,Backlog,,,,,,
124,Backlog,,,,,,
125,Backlog,,,,,,
126,Backlog,,,,,,
127,Backlog,,,,,,
128,Backlog,,,,,,
129,Backlog,,,,,,
130,Backlog,,,,,,
131,Backlog,,,,,,
132,Backlog,,,,,,
133,Backlog,,,,,,
134,Backlog,,,,,,
135,Backlog,,,,,,
136,Backlog,,,,,,
137,Backlog,,,,,,
138,Backlog,,,,,,
139,Backlog,,,,,,
140,Backlog,,,,,,
141,Backlog,,,,,,
142,Backlog,,,,,,
143,Backlog,,,,,,
144,Backlog,,,,,,
145,Backlog,,,,,,
146,Backlog,,,,,,
147,Backlog,,,,,,
148,Backlog,,,,,,
149,Backlog,,,,,,
150,Backlog,,,,,,
151,Backlog,,,,,,
152,Backlog,,,,,,
153,Backlog,,,,,,
154,Backlog,,,,,,
155,Backlog,,,,,,
156,Backlog,,,,,,
157,Backlog,,,,,,
158,Backlog,,,,,,
159,Backlog,,,,,,
160,Backlog,,,,,,
161,Backlog,,,,,,
162,Backlog,,,,,,
163,Backlog,,,,,,
164,Backlog,,,,,,
165,Backlog,,,,,,
166,Backlog,,,,,,
167,Backlog,,,,,,
168,Backlog,,,,,,
169,Backlog,,,,,,
170,Backlog,,,,,,
171,Backlog,,,,,,
172,Backlog,,,,,,
173,Backlog,,,,,,
174,Backlog,,,,,,
175,Backlog,,,,,,
176,Backlog,,,,,,
177,Backlog,,,,,,
178,Backlog,,,,,,
179,Backlog,,,,,,
180,Backlog,,,,,,
181,Backlog,,,,,,
182,Backlog,,,,,,
183,Backlog,,,,,,
184,Backlog,,,,,,
185,Backlog,,,,,,
186,Backlog,,,,,,
187,Backlog,,,,,,
188,Backlog,,,,,,
189,Backlog,,,,,,
190,Backlog,,,,,,
191,Backlog,,,,,,
192,Backlog,,,,,,
193,Backlog,,,,,,
194,Backlog,,,,,,
195,Backlog,,,,,,
196,Backlog,,,,,,
