,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Code review,,,,,,
1,Code review,,,,,,
2,Code review,5.0,6.0,6.0,3.982775848762,12.542627,0.072188
3,Code review,,,,,,
4,Code review,11.0,15.0,15.0,2.252132716053,17.988368,0.000197
5,Code review,,,,,,
6,Code review,,,,,,
7,Code review,2.0,2.0,2.0,7.052638888889,13.111238,0.994039
8,Code review,,,,,,
9,Code review,,,,,,
10,Code review,,,,,,
11,Code review,,,,,,
12,Code review,,,,,,
13,Code review,10.0,21.0,21.0,5.846156856262,46.079815,0.000104
14,Code review,,,,,,
15,Code review,,,,,,
16,Code review,,,,,,
17,Code review,3.0,4.0,4.0,4.08775462963,12.285613,0.037292
18,Code review,28.0,37.0,37.0,3.805847409907,26.426493,3.5e-05
19,Code review,,,,,,
20,Code review,22.0,24.0,24.0,2.420906635799,18.187176,3.5e-05
21,Code review,,,,,,
22,Code review,2.0,3.0,3.0,10.832854938275,32.32088,0.060243
23,Code review,,,,,,
24,Code review,,,,,,
25,Code review,,,,,,
26,Code review,,,,,,
27,Code review,,,,,,
28,Code review,,,,,,
29,Code review,,,,,,
30,Code review,,,,,,
31,Code review,,,,,,
32,Code review,,,,,,
33,Code review,,,,,,
34,Code review,,,,,,
35,Code review,18.0,31.0,31.0,6.266531137998,42.100405,0.000475
36,Code review,,,,,,
37,Code review,,,,,,
38,Code review,,,,,,
39,Code review,32.0,43.0,43.0,4.4771169789,38.005185,3.5e-05
40,Code review,,,,,,
41,Code review,,,,,,
42,Code review,,,,,,
43,Code review,,,,,,
44,Code review,,,,,,
45,Code review,,,,,,
46,Code review,,,,,,
47,Code review,,,,,,
48,Code review,,,,,,
49,Code review,,,,,,
50,Code review,,,,,,
51,Code review,,,,,,
52,Code review,,,,,,
53,Code review,,,,,,
54,Code review,21.0,27.0,27.0,3.829369855972,20.066412,0.000139
55,Code review,5.0,9.0,9.0,5.772716049387,42.070764,4.6e-05
56,Code review,,,,,,
57,Code review,3.0,4.0,4.0,5.536264467593,20.41794,0.274155
58,Code review,,,,,,
59,Code review,,,,,,
60,Code review,,,,,,
61,Code review,2.0,2.0,2.0,0.018993055556,0.03162,0.006366
62,Code review,,,,,,
63,Code review,12.0,21.0,21.0,1.852626212523,6.740278,6.9e-05
64,Code review,,,,,,
65,Code review,,,,,,
66,Code review,10.0,16.0,16.0,3.238225549769,15.449225,4.6e-05
67,Code review,,,,,,
68,Code review,,,,,,
69,Code review,,,,,,
70,Code review,26.0,30.0,30.0,1.233479166667,13.779734,3.5e-05
71,Code review,,,,,,
72,Code review,,,,,,
73,Code review,,,,,,
74,Code review,,,,,,
75,Code review,,,,,,
76,Code review,4.0,4.0,4.0,6.841886574074,27.232396,0.006285
77,Code review,,,,,,
78,Code review,,,,,,
79,Code review,,,,,,
80,Code review,,,,,,
81,Code review,,,,,,
82,Code review,,,,,,
83,Code review,1.0,1.0,1.0,0.019965277778,0.019965,0.019965
84,Code review,,,,,,
85,Code review,,,,,,
86,Code review,5.0,6.0,6.0,0.990316358021,5.936192,5.8e-05
87,Code review,15.0,19.0,19.0,2.606136086748,17.954896,4.6e-05
88,Code review,1.0,1.0,1.0,0.748206018519,0.748206,0.748206
89,Code review,,,,,,
90,Code review,,,,,,
91,Code review,,,,,,
92,Code review,,,,,,
93,Code review,,,,,,
94,Code review,,,,,,
95,Code review,1.0,1.0,1.0,6.9444444e-05,6.9e-05,6.9e-05
96,Code review,,,,,,
97,Code review,,,,,,
98,Code review,,,,,,
99,Code review,,,,,,
100,Code review,,,,,,
101,Code review,,,,,,
102,Code review,,,,,,
103,Code review,,,,,,
104,Code review,,,,,,
105,Code review,,,,,,
106,Code review,,,,,,
107,Code review,10.0,13.0,13.0,7.539068732199,50.010139,3.5e-05
108,Code review,44.0,74.0,74.0,1.575091497743,13.461319,2.3e-05
109,Code review,6.0,8.0,8.0,0.630182291667,4.869896,3.5e-05
110,Code review,26.0,44.0,44.0,4.07703125,28.393808,4.6e-05
111,Code review,2.0,3.0,3.0,7.3302465e-05,0.00015,3.5e-05
112,Code review,9.0,10.0,10.0,2.131763888889,16.906528,4.6e-05
113,Code review,3.0,3.0,3.0,5.0154317e-05,5.8e-05,3.5e-05
114,Code review,,,,,,
115,Code review,,,,,,
116,Code review,4.0,5.0,5.0,10.813884259259,49.497002,0.000301
117,Code review,16.0,19.0,19.0,3.979094785579,14.178495,0.000255
118,Code review,3.0,3.0,3.0,0.000108024688,0.00015,2.3e-05
119,Code review,31.0,43.0,43.0,1.061989125752,13.048623,4.6e-05
120,Code review,21.0,22.0,22.0,0.361161090069,3.102789,0.002222
121,Code review,,,,,,
122,Code review,17.0,23.0,23.0,2.417469303542,15.029271,0.00059
123,Code review,17.0,18.0,18.0,5.215934927986,46.111817,3.5e-05
124,Code review,,,,,,
125,Code review,,,,,,
126,Code review,,,,,,
127,Code review,,,,,,
128,Code review,,,,,,
129,Code review,14.0,15.0,15.0,15.673397376539,168.640231,0.000104
130,Code review,17.0,18.0,18.0,1.154977494861,11.591331,2.3e-05
131,Code review,,,,,,
132,Code review,,,,,,
133,Code review,17.0,21.0,21.0,2.192049162257,13.154502,0.002014
134,Code review,,,,,,
135,Code review,,,,,,
136,Code review,,,,,,
137,Code review,,,,,,
