,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,CR On Hold,,,,,,
1,CR On Hold,,,,,,
2,CR On Hold,,,,,,
3,CR On Hold,,,,,,
4,CR On Hold,,,,,,
5,CR On Hold,,,,,,
6,CR On Hold,,,,,,
7,CR On Hold,1.0,1.0,1.0,46.601597222222,46.601597,46.601597
8,CR On Hold,,,,,,
9,CR On Hold,,,,,,
10,CR On Hold,,,,,,
11,CR On Hold,,,,,,
12,CR On Hold,,,,,,
13,CR On Hold,,,,,,
14,CR On Hold,,,,,,
15,CR On Hold,,,,,,
16,CR On Hold,,,,,,
17,CR On Hold,,,,,,
18,CR On Hold,2.0,2.0,2.0,59.550694444444,96.48625,22.615139
19,CR On Hold,,,,,,
20,CR On Hold,,,,,,
21,CR On Hold,,,,,,
22,CR On Hold,,,,,,
23,CR On Hold,,,,,,
24,CR On Hold,,,,,,
25,CR On Hold,,,,,,
26,CR On Hold,,,,,,
27,CR On Hold,,,,,,
28,CR On Hold,,,,,,
29,CR On Hold,,,,,,
30,CR On Hold,,,,,,
31,CR On Hold,,,,,,
32,CR On Hold,,,,,,
33,CR On Hold,,,,,,
34,CR On Hold,,,,,,
35,CR On Hold,,,,,,
36,CR On Hold,,,,,,
37,CR On Hold,,,,,,
38,CR On Hold,,,,,,
39,CR On Hold,1.0,1.0,1.0,95.624814814815,95.624815,95.624815
40,CR On Hold,,,,,,
41,CR On Hold,,,,,,
42,CR On Hold,,,,,,
43,CR On Hold,,,,,,
44,CR On Hold,,,,,,
45,CR On Hold,,,,,,
46,CR On Hold,,,,,,
47,CR On Hold,,,,,,
48,CR On Hold,,,,,,
49,CR On Hold,,,,,,
50,CR On Hold,,,,,,
51,CR On Hold,,,,,,
52,CR On Hold,,,,,,
53,CR On Hold,,,,,,
54,CR On Hold,,,,,,
55,CR On Hold,,,,,,
56,CR On Hold,,,,,,
57,CR On Hold,,,,,,
58,CR On Hold,,,,,,
59,CR On Hold,,,,,,
60,CR On Hold,,,,,,
61,CR On Hold,,,,,,
62,CR On Hold,,,,,,
63,CR On Hold,1.0,1.0,1.0,0.2259375,0.225938,0.225938
64,CR On Hold,,,,,,
65,CR On Hold,,,,,,
66,CR On Hold,1.0,1.0,1.0,201.594027777778,201.594028,201.594028
67,CR On Hold,,,,,,
68,CR On Hold,,,,,,
69,CR On Hold,,,,,,
70,CR On Hold,,,,,,
71,CR On Hold,,,,,,
72,CR On Hold,,,,,,
73,CR On Hold,,,,,,
74,CR On Hold,,,,,,
75,CR On Hold,,,,,,
76,CR On Hold,,,,,,
77,CR On Hold,,,,,,
78,CR On Hold,,,,,,
79,CR On Hold,,,,,,
80,CR On Hold,,,,,,
81,CR On Hold,,,,,,
82,CR On Hold,,,,,,
83,CR On Hold,,,,,,
84,CR On Hold,,,,,,
85,CR On Hold,,,,,,
86,CR On Hold,,,,,,
87,CR On Hold,,,,,,
88,CR On Hold,,,,,,
89,CR On Hold,,,,,,
90,CR On Hold,,,,,,
91,CR On Hold,,,,,,
92,CR On Hold,,,,,,
93,CR On Hold,,,,,,
94,CR On Hold,,,,,,
95,CR On Hold,,,,,,
96,CR On Hold,,,,,,
97,CR On Hold,,,,,,
98,CR On Hold,,,,,,
99,CR On Hold,,,,,,
100,CR On Hold,,,,,,
101,CR On Hold,,,,,,
102,CR On Hold,,,,,,
103,CR On Hold,,,,,,
104,CR On Hold,,,,,,
105,CR On Hold,,,,,,
106,CR On Hold,,,,,,
107,CR On Hold,1.0,1.0,1.0,48.020648148148,48.020648,48.020648
108,CR On Hold,,,,,,
109,CR On Hold,,,,,,
110,CR On Hold,1.0,1.0,1.0,16.708078703704,16.708079,16.708079
111,CR On Hold,,,,,,
112,CR On Hold,,,,,,
113,CR On Hold,,,,,,
114,CR On Hold,,,,,,
115,CR On Hold,,,,,,
116,CR On Hold,,,,,,
117,CR On Hold,1.0,1.0,1.0,0.009155092593,0.009155,0.009155
118,CR On Hold,,,,,,
119,CR On Hold,,,,,,
120,CR On Hold,,,,,,
121,CR On Hold,,,,,,
122,CR On Hold,,,,,,
123,CR On Hold,,,,,,
124,CR On Hold,,,,,,
125,CR On Hold,,,,,,
126,CR On Hold,,,,,,
127,CR On Hold,,,,,,
128,CR On Hold,,,,,,
129,CR On Hold,,,,,,
130,CR On Hold,,,,,,
131,CR On Hold,,,,,,
