,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Development Backlog,,,,,,
1,Development Backlog,,,,,,
2,Development Backlog,2.0,2.0,2.0,25.558657407407,25.559028,25.558287
3,Development Backlog,,,,,,
4,Development Backlog,6.0,6.0,6.0,271.948846450613,319.470671,42.134549
5,Development Backlog,,,,,,
6,Development Backlog,,,,,,
7,Development Backlog,,,,,,
8,Development Backlog,,,,,,
9,Development Backlog,,,,,,
10,Development Backlog,,,,,,
11,Development Backlog,,,,,,
12,Development Backlog,,,,,,
13,Development Backlog,,,,,,
14,Development Backlog,,,,,,
15,Development Backlog,,,,,,
16,Development Backlog,,,,,,
17,Development Backlog,5.0,5.0,5.0,88.948907407407,137.609525,20.618241
18,Development Backlog,1.0,1.0,1.0,20.725231481481,20.725231,20.725231
19,Development Backlog,,,,,,
20,Development Backlog,1.0,1.0,1.0,0.009618055556,0.009618,0.009618
21,Development Backlog,,,,,,
22,Development Backlog,1.0,1.0,1.0,99.385914351852,99.385914,99.385914
23,Development Backlog,,,,,,
24,Development Backlog,,,,,,
25,Development Backlog,,,,,,
26,Development Backlog,,,,,,
27,Development Backlog,,,,,,
28,Development Backlog,,,,,,
29,Development Backlog,,,,,,
30,Development Backlog,,,,,,
31,Development Backlog,,,,,,
32,Development Backlog,,,,,,
33,Development Backlog,,,,,,
34,Development Backlog,,,,,,
35,Development Backlog,5.0,6.0,6.0,32.615958719132,120.647164,0.818345
36,Development Backlog,,,,,,
37,Development Backlog,,,,,,
38,Development Backlog,,,,,,
39,Development Backlog,,,,,,
40,Development Backlog,,,,,,
41,Development Backlog,,,,,,
42,Development Backlog,,,,,,
43,Development Backlog,,,,,,
44,Development Backlog,,,,,,
45,Development Backlog,,,,,,
46,Development Backlog,,,,,,
47,Development Backlog,,,,,,
48,Development Backlog,,,,,,
49,Development Backlog,,,,,,
50,Development Backlog,,,,,,
51,Development Backlog,,,,,,
52,Development Backlog,,,,,,
53,Development Backlog,,,,,,
54,Development Backlog,,,,,,
55,Development Backlog,,,,,,
56,Development Backlog,,,,,,
57,Development Backlog,,,,,,
58,Development Backlog,,,,,,
59,Development Backlog,,,,,,
60,Development Backlog,,,,,,
