,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Development On Hold,,,,,,
1,Development On Hold,,,,,,
2,Development On Hold,,,,,,
3,Development On Hold,,,,,,
4,Development On Hold,1.0,1.0,1.0,0.001030092593,0.00103,0.00103
5,Development On Hold,,,,,,
6,Development On Hold,,,,,,
7,Development On Hold,,,,,,
8,Development On Hold,,,,,,
9,Development On Hold,,,,,,
10,Development On Hold,,,,,,
11,Development On Hold,,,,,,
12,Development On Hold,,,,,,
13,Development On Hold,,,,,,
14,Development On Hold,,,,,,
15,Development On Hold,,,,,,
16,Development On Hold,,,,,,
17,Development On Hold,,,,,,
18,Development On Hold,,,,,,
19,Development On Hold,,,,,,
20,Development On Hold,1.0,1.0,1.0,22.375578703704,22.375579,22.375579
21,Development On Hold,,,,,,
22,Development On Hold,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
23,Development On Hold,,,,,,
24,Development On Hold,,,,,,
25,Development On Hold,,,,,,
26,Development On Hold,,,,,,
27,Development On Hold,,,,,,
28,Development On Hold,,,,,,
29,Development On Hold,,,,,,
30,Development On Hold,,,,,,
31,Development On Hold,,,,,,
32,Development On Hold,,,,,,
33,Development On Hold,,,,,,
34,Development On Hold,,,,,,
35,Development On Hold,,,,,,
36,Development On Hold,,,,,,
37,Development On Hold,,,,,,
38,Development On Hold,,,,,,
39,Development On Hold,1.0,1.0,1.0,21.648078703704,21.648079,21.648079
40,Development On Hold,1.0,1.0,1.0,11.445497685185,11.445498,11.445498
41,Development On Hold,,,,,,
42,Development On Hold,,,,,,
43,Development On Hold,,,,,,
44,Development On Hold,,,,,,
45,Development On Hold,,,,,,
46,Development On Hold,,,,,,
47,Development On Hold,,,,,,
48,Development On Hold,,,,,,
49,Development On Hold,,,,,,
50,Development On Hold,,,,,,
51,Development On Hold,,,,,,
52,Development On Hold,,,,,,
53,Development On Hold,,,,,,
54,Development On Hold,,,,,,
55,Development On Hold,,,,,,
56,Development On Hold,,,,,,
57,Development On Hold,,,,,,
58,Development On Hold,,,,,,
59,Development On Hold,,,,,,
60,Development On Hold,,,,,,
61,Development On Hold,,,,,,
62,Development On Hold,,,,,,
63,Development On Hold,,,,,,
64,Development On Hold,,,,,,
65,Development On Hold,,,,,,
66,Development On Hold,,,,,,
67,Development On Hold,,,,,,
68,Development On Hold,,,,,,
69,Development On Hold,,,,,,
70,Development On Hold,,,,,,
71,Development On Hold,,,,,,
72,Development On Hold,,,,,,
73,Development On Hold,,,,,,
74,Development On Hold,,,,,,
75,Development On Hold,,,,,,
76,Development On Hold,1.0,2.0,2.0,158.690353009259,314.389618,2.991088
77,Development On Hold,,,,,,
78,Development On Hold,,,,,,
79,Development On Hold,,,,,,
80,Development On Hold,,,,,,
81,Development On Hold,,,,,,
82,Development On Hold,,,,,,
83,Development On Hold,,,,,,
84,Development On Hold,,,,,,
85,Development On Hold,,,,,,
86,Development On Hold,,,,,,
87,Development On Hold,5.0,5.0,5.0,123.842798611111,306.663576,11.44522
88,Development On Hold,,,,,,
89,Development On Hold,,,,,,
90,Development On Hold,,,,,,
91,Development On Hold,,,,,,
92,Development On Hold,,,,,,
93,Development On Hold,,,,,,
94,Development On Hold,,,,,,
95,Development On Hold,,,,,,
96,Development On Hold,,,,,,
97,Development On Hold,,,,,,
98,Development On Hold,,,,,,
99,Development On Hold,,,,,,
100,Development On Hold,,,,,,
101,Development On Hold,,,,,,
102,Development On Hold,,,,,,
103,Development On Hold,,,,,,
104,Development On Hold,,,,,,
105,Development On Hold,,,,,,
106,Development On Hold,,,,,,
107,Development On Hold,2.0,2.0,2.0,23.935561342593,47.8711,2.3e-05
108,Development On Hold,1.0,1.0,1.0,91.425196759259,91.425197,91.425197
109,Development On Hold,3.0,5.0,5.0,33.601511574074,139.533287,5.020891
110,Development On Hold,3.0,3.0,3.0,22.369814814815,29.153681,9.408403
111,Development On Hold,,,,,,
112,Development On Hold,2.0,3.0,3.0,149.078464506169,250.70515,15.934688
113,Development On Hold,,,,,,
114,Development On Hold,,,,,,
115,Development On Hold,,,,,,
116,Development On Hold,4.0,4.0,4.0,32.26724537037,35.473646,22.660972
117,Development On Hold,1.0,1.0,1.0,75.488113425926,75.488113,75.488113
118,Development On Hold,,,,,,
119,Development On Hold,,,,,,
120,Development On Hold,1.0,1.0,1.0,48.599224537037,48.599225,48.599225
121,Development On Hold,,,,,,
122,Development On Hold,,,,,,
123,Development On Hold,1.0,1.0,1.0,0.12775462963,0.127755,0.127755
124,Development On Hold,,,,,,
125,Development On Hold,,,,,,
126,Development On Hold,,,,,,
127,Development On Hold,,,,,,
128,Development On Hold,,,,,,
129,Development On Hold,1.0,2.0,2.0,20.124137731481,21.280127,18.968148
130,Development On Hold,1.0,1.0,1.0,18.300185185185,18.300185,18.300185
131,Development On Hold,,,,,,
132,Development On Hold,,,,,,
133,Development On Hold,1.0,1.0,1.0,265.645196759259,265.645197,265.645197
134,Development On Hold,,,,,,
135,Development On Hold,,,,,,
136,Development On Hold,,,,,,
137,Development On Hold,,,,,,
138,Development On Hold,,,,,,
139,Development On Hold,,,,,,
140,Development On Hold,,,,,,
141,Development On Hold,,,,,,
142,Development On Hold,,,,,,
143,Development On Hold,,,,,,
144,Development On Hold,,,,,,
145,Development On Hold,,,,,,
146,Development On Hold,,,,,,
147,Development On Hold,,,,,,
148,Development On Hold,,,,,,
149,Development On Hold,,,,,,
150,Development On Hold,,,,,,
151,Development On Hold,,,,,,
152,Development On Hold,,,,,,
153,Development On Hold,,,,,,
154,Development On Hold,,,,,,
155,Development On Hold,,,,,,
156,Development On Hold,1.0,1.0,1.0,20.695243055556,20.695243,20.695243
157,Development On Hold,,,,,,
158,Development On Hold,1.0,1.0,1.0,50.642627314815,50.642627,50.642627
159,Development On Hold,2.0,4.0,4.0,5.554331597222,20.980451,5.8e-05
160,Development On Hold,,,,,,
161,Development On Hold,,,,,,
162,Development On Hold,,,,,,
163,Development On Hold,,,,,,
164,Development On Hold,,,,,,
165,Development On Hold,,,,,,
166,Development On Hold,,,,,,
167,Development On Hold,,,,,,
168,Development On Hold,,,,,,
169,Development On Hold,2.0,2.0,2.0,74.379797453704,127.449641,21.309954
170,Development On Hold,,,,,,
171,Development On Hold,,,,,,
172,Development On Hold,,,,,,
173,Development On Hold,,,,,,
174,Development On Hold,,,,,,
175,Development On Hold,,,,,,
176,Development On Hold,,,,,,
177,Development On Hold,,,,,,
178,Development On Hold,1.0,1.0,1.0,4.694386574074,4.694387,4.694387
179,Development On Hold,,,,,,
180,Development On Hold,,,,,,
181,Development On Hold,,,,,,
182,Development On Hold,,,,,,
183,Development On Hold,,,,,,
184,Development On Hold,,,,,,
185,Development On Hold,,,,,,
186,Development On Hold,1.0,1.0,1.0,21.359467592593,21.359468,21.359468
187,Development On Hold,,,,,,
188,Development On Hold,,,,,,
189,Development On Hold,,,,,,
190,Development On Hold,,,,,,
191,Development On Hold,,,,,,
192,Development On Hold,,,,,,
193,Development On Hold,,,,,,
194,Development On Hold,,,,,,
195,Development On Hold,,,,,,
196,Development On Hold,,,,,,
