,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Development,,,,,,
1,Development,,,,,,
2,Development,1.0,1.0,1.0,2.217986111111,2.217986,2.217986
3,Development,,,,,,
4,Development,9.0,10.0,10.0,3.253378472222,14.476238,5.8e-05
5,Development,,,,,,
6,Development,,,,,,
7,Development,6.0,9.0,9.0,5.005078446505,22.122789,0.002789
8,Development,,,,,,
9,Development,,,,,,
10,Development,,,,,,
11,Development,,,,,,
12,Development,,,,,,
13,Development,12.0,13.0,13.0,4.401431623935,29.663646,3.5e-05
14,Development,,,,,,
15,Development,,,,,,
16,Development,,,,,,
17,Development,7.0,7.0,7.0,18.864824735451,105.418819,0.000544
18,Development,11.0,11.0,11.0,8.900311447813,63.402731,0.000185
19,Development,,,,,,
20,Development,9.0,9.0,9.0,1.272078189306,11.445694,2.3e-05
21,Development,,,,,,
22,Development,7.0,8.0,8.0,1.047552083333,7.032211,0.00044
23,Development,,,,,,
24,Development,,,,,,
25,Development,,,,,,
26,Development,,,,,,
27,Development,,,,,,
28,Development,,,,,,
29,Development,,,,,,
30,Development,,,,,,
31,Development,,,,,,
32,Development,,,,,,
33,Development,,,,,,
34,Development,,,,,,
35,Development,7.0,8.0,8.0,1.229597800926,6.754942,0.000243
36,Development,,,,,,
37,Development,,,,,,
38,Development,,,,,,
39,Development,23.0,23.0,23.0,0.612005334144,13.760035,2.3e-05
40,Development,,,,,,
41,Development,,,,,,
42,Development,2.0,2.0,2.0,167.806753472222,334.484132,1.129375
43,Development,,,,,,
44,Development,,,,,,
45,Development,,,,,,
46,Development,,,,,,
47,Development,,,,,,
48,Development,2.0,2.0,2.0,17.050972222222,21.95537,12.146574
49,Development,,,,,,
50,Development,,,,,,
51,Development,,,,,,
52,Development,,,,,,
53,Development,,,,,,
54,Development,3.0,3.0,3.0,3.8580243e-05,4.6e-05,3.5e-05
55,Development,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
56,Development,,,,,,
57,Development,,,,,,
58,Development,,,,,,
59,Development,,,,,,
60,Development,,,,,,
61,Development,10.0,11.0,11.0,0.883583754213,3.968391,0.000324
62,Development,,,,,,
63,Development,4.0,4.0,4.0,7.430419560185,15.952269,0.031817
64,Development,,,,,,
65,Development,,,,,,
66,Development,9.0,9.0,9.0,1.338263888889,10.178287,6.9e-05
67,Development,,,,,,
68,Development,,,,,,
69,Development,,,,,,
70,Development,27.0,28.0,28.0,5.013009672616,109.220822,2.3e-05
71,Development,,,,,,
72,Development,,,,,,
73,Development,,,,,,
74,Development,,,,,,
75,Development,,,,,,
76,Development,10.0,11.0,11.0,2.370140993264,15.97662,4.6e-05
77,Development,,,,,,
78,Development,,,,,,
79,Development,,,,,,
80,Development,,,,,,
81,Development,,,,,,
82,Development,,,,,,
83,Development,,,,,,
84,Development,,,,,,
85,Development,,,,,,
86,Development,6.0,6.0,6.0,32.778150077164,196.632083,0.000347
87,Development,17.0,19.0,19.0,2.110565302141,11.101644,3.5e-05
88,Development,,,,,,
89,Development,,,,,,
90,Development,,,,,,
91,Development,,,,,,
92,Development,,,,,,
93,Development,,,,,,
94,Development,,,,,,
95,Development,,,,,,
96,Development,,,,,,
97,Development,,,,,,
98,Development,,,,,,
99,Development,,,,,,
100,Development,,,,,,
101,Development,,,,,,
102,Development,,,,,,
103,Development,,,,,,
104,Development,,,,,,
105,Development,,,,,,
106,Development,,,,,,
107,Development,3.0,5.0,5.0,11.707331018519,53.701157,5.8e-05
108,Development,29.0,31.0,31.0,1.372268145162,14.643519,3.5e-05
109,Development,13.0,18.0,18.0,3.274501028808,13.950637,0.000359
110,Development,9.0,12.0,12.0,0.85518036265,6.60603,3.5e-05
111,Development,1.0,1.0,1.0,6.9444444e-05,6.9e-05,6.9e-05
112,Development,7.0,8.0,8.0,11.519743923611,50.98522,6.9e-05
113,Development,3.0,3.0,3.0,0.22806712963,0.682396,0.000382
114,Development,,,,,,
115,Development,,,,,,
116,Development,,,,,,
117,Development,13.0,13.0,13.0,0.446055021366,2.959792,2.3e-05
118,Development,1.0,1.0,1.0,0.000289351852,0.000289,0.000289
119,Development,11.0,11.0,11.0,12.469831649826,134.615764,4.6e-05
120,Development,3.0,3.0,3.0,5.291701388889,13.776238,0.000289
121,Development,1.0,1.0,1.0,7.5828125,7.582813,7.582813
122,Development,4.0,4.0,4.0,0.019623842593,0.070382,0.00044
123,Development,5.0,5.0,5.0,0.000203703704,0.000729,2.3e-05
124,Development,,,,,,
125,Development,,,,,,
126,Development,,,,,,
127,Development,,,,,,
128,Development,,,,,,
129,Development,9.0,10.0,10.0,3.160414351852,25.219606,6.9e-05
130,Development,7.0,7.0,7.0,1.223887235451,3.815752,0.00088
131,Development,,,,,,
132,Development,,,,,,
133,Development,15.0,17.0,17.0,3.70664147603,16.036019,0.000139
134,Development,,,,,,
135,Development,,,,,,
136,Development,,,,,,
137,Development,,,,,,
138,Development,,,,,,
139,Development,,,,,,
140,Development,,,,,,
141,Development,,,,,,
142,Development,,,,,,
143,Development,,,,,,
144,Development,,,,,,
145,Development,,,,,,
146,Development,,,,,,
147,Development,,,,,,
148,Development,3.0,5.0,5.0,0.000553240741,0.002512,2.3e-05
149,Development,,,,,,
150,Development,,,,,,
151,Development,,,,,,
152,Development,,,,,,
153,Development,,,,,,
154,Development,,,,,,
155,Development,,,,,,
156,Development,8.0,8.0,8.0,6.70591724537,44.903356,5.8e-05
157,Development,,,,,,
158,Development,19.0,20.0,20.0,6.82018287037,41.120093,0.000104
159,Development,4.0,7.0,7.0,7.03861937831,23.900521,4.6e-05
160,Development,,,,,,
161,Development,6.0,7.0,7.0,4.399766865081,28.518704,0.001516
162,Development,1.0,1.0,1.0,97.361412037037,97.361412,97.361412
163,Development,,,,,,
164,Development,,,,,,
165,Development,,,,,,
166,Development,,,,,,
167,Development,,,,,,
168,Development,,,,,,
169,Development,19.0,20.0,20.0,5.125813078704,28.115486,0.004039
170,Development,,,,,,
171,Development,,,,,,
172,Development,1.0,1.0,1.0,20.586030092593,20.58603,20.58603
173,Development,,,,,,
174,Development,,,,,,
175,Development,,,,,,
176,Development,1.0,1.0,1.0,3.139201388889,3.139201,3.139201
177,Development,,,,,,
178,Development,19.0,20.0,20.0,1.540139467593,11.525012,4.6e-05
179,Development,,,,,,
180,Development,,,,,,
181,Development,,,,,,
182,Development,5.0,5.0,5.0,0.011858796296,0.058426,3.5e-05
183,Development,,,,,,
184,Development,,,,,,
185,Development,,,,,,
186,Development,10.0,10.0,10.0,3.213974537037,29.960856,2.3e-05
187,Development,,,,,,
188,Development,,,,,,
189,Development,,,,,,
190,Development,,,,,,
191,Development,,,,,,
192,Development,9.0,9.0,9.0,6.108859310694,22.949699,0.000255
193,Development,13.0,13.0,13.0,1.439660790602,17.183993,0.000197
194,Development,,,,,,
195,Development,,,,,,
196,Development,,,,,,
