,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Done,,,,,,
1,Done,5.0,5.0,5.0,294.350293981481,356.556794,225.72669
2,Done,,,,,,
3,Done,,,,,,
4,Done,1.0,1.0,1.0,333.549768518519,333.549769,333.549769
5,Done,,,,,,
6,Done,,,,,,
7,Done,9.0,10.0,10.0,220.874390046296,341.53044,1.807141
8,Done,,,,,,
9,Done,,,,,,
10,Done,,,,,,
11,Done,,,,,,
12,Done,1.0,1.0,1.0,69.36056712963,69.360567,69.360567
13,Done,3.0,3.0,3.0,177.745003858021,358.378472,0.138657
14,Done,,,,,,
15,Done,1.0,1.0,1.0,327.396030092593,327.39603,327.39603
16,Done,,,,,,
17,Done,2.0,2.0,2.0,142.490376157407,222.429248,62.551505
18,Done,4.0,4.0,4.0,261.281903935185,337.634039,133.349653
19,Done,,,,,,
20,Done,1.0,1.0,1.0,232.60119212963,232.601192,232.601192
21,Done,2.0,2.0,2.0,302.537361111111,337.322905,267.751817
22,Done,2.0,2.0,2.0,289.520763888889,299.595891,279.445637
23,Done,,,,,,
24,Done,,,,,,
25,Done,,,,,,
26,Done,,,,,,
27,Done,,,,,,
28,Done,,,,,,
29,Done,,,,,,
30,Done,,,,,,
31,Done,,,,,,
32,Done,,,,,,
33,Done,,,,,,
34,Done,,,,,,
35,Done,3.0,3.0,3.0,110.217997685185,161.393657,22.563264
36,Done,,,,,,
37,Done,,,,,,
38,Done,,,,,,
39,Done,21.0,21.0,21.0,187.257633928576,355.455995,14.426076
40,Done,9.0,9.0,9.0,47.26186599794,82.132407,15.634618
41,Done,,,,,,
42,Done,1.0,1.0,1.0,287.139583333333,287.139583,287.139583
43,Done,,,,,,
44,Done,,,,,,
45,Done,,,,,,
46,Done,,,,,,
47,Done,,,,,,
48,Done,1.0,1.0,1.0,20.566284722222,20.566285,20.566285
49,Done,,,,,,
50,Done,,,,,,
51,Done,,,,,,
52,Done,,,,,,
53,Done,,,,,,
54,Done,1.0,1.0,1.0,35.3625,35.3625,35.3625
55,Done,2.0,2.0,2.0,20.540237268519,20.540938,20.539537
56,Done,1.0,1.0,1.0,328.401203703704,328.401204,328.401204
57,Done,,,,,,
58,Done,,,,,,
59,Done,,,,,,
60,Done,,,,,,
61,Done,1.0,1.0,1.0,74.444201388889,74.444201,74.444201
62,Done,,,,,,
63,Done,3.0,3.0,3.0,120.30556712963,319.45272,20.728148
64,Done,,,,,,
65,Done,,,,,,
66,Done,3.0,3.0,3.0,167.465285493831,298.412176,21.489757
67,Done,,,,,,
68,Done,,,,,,
69,Done,,,,,,
70,Done,2.0,2.0,2.0,57.521712962963,89.66,25.383426
71,Done,,,,,,
72,Done,,,,,,
73,Done,,,,,,
74,Done,,,,,,
75,Done,,,,,,
76,Done,3.0,3.0,3.0,96.469949845683,210.361285,39.448646
77,Done,,,,,,
78,Done,,,,,,
79,Done,,,,,,
80,Done,,,,,,
81,Done,,,,,,
82,Done,,,,,,
83,Done,1.0,1.0,1.0,41.626180555556,41.626181,41.626181
84,Done,,,,,,
85,Done,2.0,2.0,2.0,146.115011574074,147.563588,144.666435
86,Done,5.0,5.0,5.0,183.46819212963,354.579387,32.246782
87,Done,2.0,2.0,2.0,36.508657407407,64.449861,8.567454
88,Done,1.0,1.0,1.0,19.006759259259,19.006759,19.006759
89,Done,,,,,,
90,Done,,,,,,
91,Done,,,,,,
92,Done,,,,,,
93,Done,,,,,,
94,Done,,,,,,
95,Done,2.0,2.0,2.0,212.875503472222,258.349861,167.401146
96,Done,,,,,,
97,Done,,,,,,
98,Done,,,,,,
99,Done,,,,,,
100,Done,,,,,,
101,Done,,,,,,
102,Done,,,,,,
103,Done,,,,,,
104,Done,,,,,,
105,Done,,,,,,
106,Done,,,,,,
107,Done,,,,,,
108,Done,13.0,13.0,13.0,213.026770833333,343.345359,22.612697
109,Done,,,,,,
110,Done,3.0,3.0,3.0,119.08326774691,190.390556,47.647303
111,Done,,,,,,
112,Done,,,,,,
113,Done,,,,,,
114,Done,,,,,,
115,Done,,,,,,
116,Done,1.0,1.0,1.0,285.717581018519,285.717581,285.717581
117,Done,2.0,2.0,2.0,88.937638888889,151.446829,26.428449
118,Done,,,,,,
119,Done,2.0,2.0,2.0,184.073784722222,186.721377,181.426192
120,Done,22.0,25.0,25.0,155.687214351852,344.426007,0.112141
121,Done,,,,,,
122,Done,,,,,,
123,Done,2.0,2.0,2.0,158.626684027778,211.163264,106.090104
124,Done,3.0,3.0,3.0,76.904992283947,139.546644,21.564248
125,Done,,,,,,
126,Done,,,,,,
127,Done,,,,,,
128,Done,,,,,,
129,Done,2.0,2.0,2.0,348.077013888889,354.579074,341.574954
130,Done,6.0,6.0,6.0,262.079427083333,354.587407,103.457894
131,Done,,,,,,
132,Done,,,,,,
133,Done,23.0,23.0,23.0,207.338778683576,342.510579,14.445625
134,Done,,,,,,
135,Done,,,,,,
136,Done,,,,,,
137,Done,,,,,,
138,Done,6.0,6.0,6.0,120.240445601852,145.536007,53.54662
139,Done,,,,,,
140,Done,,,,,,
141,Done,,,,,,
142,Done,,,,,,
143,Done,,,,,,
144,Done,,,,,,
145,Done,,,,,,
146,Done,1.0,1.0,1.0,69.455,69.455,69.455
147,Done,,,,,,
148,Done,7.0,8.0,8.0,283.704467592593,341.322199,0.000637
149,Done,,,,,,
150,Done,,,,,,
151,Done,,,,,,
152,Done,,,,,,
153,Done,,,,,,
154,Done,,,,,,
155,Done,,,,,,
156,Done,10.0,10.0,10.0,172.677458333333,258.645579,20.52235
157,Done,,,,,,
158,Done,16.0,17.0,17.0,280.299350490197,343.658171,0.000521
159,Done,1.0,1.0,1.0,22.48693287037,22.486933,22.486933
160,Done,,,,,,
161,Done,8.0,8.0,8.0,97.3302734375,132.677338,55.669595
162,Done,1.0,1.0,1.0,62.458587962963,62.458588,62.458588
163,Done,,,,,,
164,Done,1.0,1.0,1.0,131.504791666667,131.504792,131.504792
165,Done,,,,,,
166,Done,,,,,,
167,Done,,,,,,
168,Done,,,,,,
169,Done,2.0,2.0,2.0,52.461539351852,54.577616,50.345463
170,Done,,,,,,
171,Done,,,,,,
172,Done,,,,,,
173,Done,,,,,,
174,Done,,,,,,
175,Done,,,,,,
176,Done,5.0,5.0,5.0,118.095115740741,179.419884,28.558125
177,Done,,,,,,
178,Done,8.0,8.0,8.0,283.03849537037,344.524375,99.385417
179,Done,,,,,,
180,Done,,,,,,
181,Done,1.0,1.0,1.0,62.636759259259,62.636759,62.636759
182,Done,1.0,1.0,1.0,281.651909722222,281.65191,281.65191
183,Done,,,,,,
184,Done,,,,,,
185,Done,,,,,,
186,Done,9.0,9.0,9.0,117.370933641979,308.482234,21.295938
187,Done,,,,,,
