,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,In Backlog,,,,,,
1,In Backlog,1.0,1.0,1.0,33.9709375,33.970938,33.970938
2,In Backlog,2.0,2.0,2.0,20.970422453704,29.467616,12.473229
3,In Backlog,,,,,,
4,In Backlog,,,,,,
5,In Backlog,,,,,,
6,In Backlog,,,,,,
7,In Backlog,,,,,,
8,In Backlog,,,,,,
9,In Backlog,,,,,,
10,In Backlog,,,,,,
11,In Backlog,,,,,,
12,In Backlog,,,,,,
13,In Backlog,1.0,1.0,1.0,41.64662037037,41.64662,41.64662
14,In Backlog,,,,,,
15,In Backlog,,,,,,
16,In Backlog,,,,,,
17,In Backlog,3.0,3.0,3.0,19.443055555556,21.694086,15.883935
18,In Backlog,7.0,7.0,7.0,56.472799272488,336.957928,0.004468
19,In Backlog,,,,,,
20,In Backlog,2.0,2.0,2.0,53.355439814815,106.710845,3.5e-05
21,In Backlog,1.0,1.0,1.0,11.84525462963,11.845255,11.845255
22,In Backlog,1.0,1.0,1.0,48.764756944444,48.764757,48.764757
23,In Backlog,,,,,,
24,In Backlog,,,,,,
25,In Backlog,,,,,,
26,In Backlog,,,,,,
27,In Backlog,,,,,,
28,In Backlog,,,,,,
29,In Backlog,,,,,,
30,In Backlog,,,,,,
31,In Backlog,,,,,,
32,In Backlog,,,,,,
33,In Backlog,,,,,,
34,In Backlog,,,,,,
35,In Backlog,1.0,1.0,1.0,1.308483796296,1.308484,1.308484
36,In Backlog,,,,,,
37,In Backlog,,,,,,
38,In Backlog,,,,,,
39,In Backlog,1.0,1.0,1.0,12.690902777778,12.690903,12.690903
40,In Backlog,,,,,,
41,In Backlog,,,,,,
42,In Backlog,,,,,,
43,In Backlog,,,,,,
44,In Backlog,,,,,,
45,In Backlog,,,,,,
46,In Backlog,,,,,,
47,In Backlog,,,,,,
48,In Backlog,1.0,1.0,1.0,21.494953703704,21.494954,21.494954
49,In Backlog,,,,,,
50,In Backlog,,,,,,
51,In Backlog,,,,,,
52,In Backlog,,,,,,
53,In Backlog,,,,,,
54,In Backlog,2.0,2.0,2.0,7.1196875,13.28125,0.958125
55,In Backlog,,,,,,
56,In Backlog,,,,,,
57,In Backlog,,,,,,
58,In Backlog,,,,,,
59,In Backlog,,,,,,
60,In Backlog,,,,,,
61,In Backlog,1.0,1.0,1.0,0.875324074074,0.875324,0.875324
62,In Backlog,,,,,,
63,In Backlog,1.0,1.0,1.0,319.696296296296,319.696296,319.696296
64,In Backlog,,,,,,
65,In Backlog,,,,,,
66,In Backlog,,,,,,
67,In Backlog,,,,,,
68,In Backlog,,,,,,
69,In Backlog,,,,,,
70,In Backlog,3.0,3.0,3.0,10.425976080243,15.59162,0.094745
71,In Backlog,,,,,,
72,In Backlog,,,,,,
73,In Backlog,,,,,,
74,In Backlog,,,,,,
75,In Backlog,,,,,,
76,In Backlog,3.0,3.0,3.0,8.451180555556,13.019572,3.258866
77,In Backlog,,,,,,
78,In Backlog,,,,,,
79,In Backlog,,,,,,
80,In Backlog,,,,,,
81,In Backlog,,,,,,
82,In Backlog,,,,,,
83,In Backlog,,,,,,
84,In Backlog,,,,,,
85,In Backlog,,,,,,
86,In Backlog,1.0,1.0,1.0,0.261608796296,0.261609,0.261609
87,In Backlog,3.0,3.0,3.0,9.626180555556,18.713762,1.163785
88,In Backlog,,,,,,
89,In Backlog,,,,,,
90,In Backlog,,,,,,
91,In Backlog,,,,,,
92,In Backlog,,,,,,
93,In Backlog,,,,,,
94,In Backlog,,,,,,
95,In Backlog,,,,,,
96,In Backlog,,,,,,
97,In Backlog,,,,,,
98,In Backlog,,,,,,
99,In Backlog,,,,,,
100,In Backlog,,,,,,
101,In Backlog,,,,,,
102,In Backlog,,,,,,
103,In Backlog,,,,,,
104,In Backlog,,,,,,
105,In Backlog,,,,,,
106,In Backlog,,,,,,
107,In Backlog,3.0,3.0,3.0,162.81099151235,286.603981,20.183403
108,In Backlog,3.0,3.0,3.0,107.450960648148,307.653924,0.336123
109,In Backlog,6.0,6.0,6.0,5.025968364201,19.500116,0.006829
110,In Backlog,2.0,3.0,3.0,118.785239197535,329.575185,0.001412
111,In Backlog,,,,,,
112,In Backlog,1.0,1.0,1.0,11.002766203704,11.002766,11.002766
113,In Backlog,2.0,2.0,2.0,29.777436342593,36.84544,22.709433
114,In Backlog,,,,,,
115,In Backlog,,,,,,
116,In Backlog,,,,,,
117,In Backlog,2.0,2.0,2.0,42.970509259259,79.991157,5.949861
118,In Backlog,,,,,,
119,In Backlog,1.0,1.0,1.0,316.42537037037,316.42537,316.42537
120,In Backlog,1.0,1.0,1.0,3.96962962963,3.96963,3.96963
121,In Backlog,,,,,,
122,In Backlog,1.0,1.0,1.0,19.062858796296,19.062859,19.062859
123,In Backlog,,,,,,
124,In Backlog,,,,,,
125,In Backlog,,,,,,
126,In Backlog,,,,,,
127,In Backlog,,,,,,
128,In Backlog,,,,,,
129,In Backlog,1.0,1.0,1.0,225.470127314815,225.470127,225.470127
130,In Backlog,3.0,3.0,3.0,7.478823302465,9.232234,4.996192
131,In Backlog,,,,,,
132,In Backlog,,,,,,
133,In Backlog,,,,,,
134,In Backlog,,,,,,
135,In Backlog,,,,,,
136,In Backlog,,,,,,
137,In Backlog,,,,,,
138,In Backlog,,,,,,
139,In Backlog,,,,,,
140,In Backlog,,,,,,
141,In Backlog,,,,,,
142,In Backlog,,,,,,
143,In Backlog,,,,,,
144,In Backlog,,,,,,
145,In Backlog,,,,,,
146,In Backlog,,,,,,
147,In Backlog,,,,,,
148,In Backlog,,,,,,
149,In Backlog,,,,,,
150,In Backlog,,,,,,
151,In Backlog,,,,,,
152,In Backlog,,,,,,
153,In Backlog,,,,,,
154,In Backlog,,,,,,
155,In Backlog,,,,,,
156,In Backlog,2.0,2.0,2.0,2.688171296296,4.149965,1.226377
157,In Backlog,,,,,,
158,In Backlog,1.0,2.0,2.0,0.061533564815,0.123044,2.3e-05
159,In Backlog,,,,,,
160,In Backlog,,,,,,
161,In Backlog,3.0,3.0,3.0,20.10895061728,39.536944,0.134618
162,In Backlog,,,,,,
163,In Backlog,,,,,,
164,In Backlog,,,,,,
