,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,In development,,,,,,
1,In development,,,,,,
2,In development,,,,,,
3,In development,,,,,,
4,In development,,,,,,
5,In development,,,,,,
6,In development,,,,,,
7,In development,,,,,,
8,In development,,,,,,
9,In development,,,,,,
10,In development,,,,,,
11,In development,,,,,,
12,In development,,,,,,
13,In development,,,,,,
14,In development,,,,,,
15,In development,,,,,,
16,In development,,,,,,
17,In development,,,,,,
18,In development,,,,,,
19,In development,,,,,,
20,In development,,,,,,
21,In development,,,,,,
22,In development,,,,,,
23,In development,,,,,,
24,In development,,,,,,
25,In development,,,,,,
26,In development,,,,,,
27,In development,,,,,,
28,In development,,,,,,
29,In development,,,,,,
30,In development,,,,,,
31,In development,,,,,,
32,In development,,,,,,
33,In development,,,,,,
34,In development,,,,,,
35,In development,,,,,,
36,In development,,,,,,
37,In development,,,,,,
38,In development,,,,,,
39,In development,,,,,,
40,In development,,,,,,
41,In development,,,,,,
42,In development,,,,,,
43,In development,,,,,,
44,In development,,,,,,
45,In development,,,,,,
46,In development,,,,,,
47,In development,,,,,,
48,In development,,,,,,
49,In development,,,,,,
50,In development,,,,,,
51,In development,,,,,,
52,In development,,,,,,
53,In development,,,,,,
54,In development,,,,,,
55,In development,,,,,,
56,In development,,,,,,
57,In development,,,,,,
58,In development,,,,,,
59,In development,,,,,,
60,In development,,,,,,
61,In development,,,,,,
62,In development,,,,,,
63,In development,,,,,,
64,In development,,,,,,
65,In development,,,,,,
66,In development,,,,,,
67,In development,,,,,,
68,In development,,,,,,
69,In development,,,,,,
70,In development,,,,,,
71,In development,,,,,,
72,In development,,,,,,
73,In development,,,,,,
74,In development,,,,,,
75,In development,,,,,,
76,In development,,,,,,
77,In development,,,,,,
78,In development,,,,,,
79,In development,,,,,,
80,In development,,,,,,
81,In development,,,,,,
82,In development,,,,,,
83,In development,,,,,,
84,In development,,,,,,
85,In development,,,,,,
86,In development,,,,,,
87,In development,,,,,,
88,In development,,,,,,
89,In development,,,,,,
90,In development,,,,,,
91,In development,,,,,,
92,In development,,,,,,
93,In development,,,,,,
94,In development,,,,,,
95,In development,,,,,,
96,In development,,,,,,
97,In development,,,,,,
98,In development,,,,,,
99,In development,,,,,,
100,In development,,,,,,
101,In development,,,,,,
102,In development,,,,,,
103,In development,,,,,,
104,In development,,,,,,
105,In development,,,,,,
106,In development,,,,,,
107,In development,,,,,,
108,In development,,,,,,
109,In development,,,,,,
110,In development,,,,,,
111,In development,,,,,,
112,In development,,,,,,
113,In development,,,,,,
114,In development,,,,,,
115,In development,,,,,,
116,In development,,,,,,
117,In development,,,,,,
118,In development,,,,,,
119,In development,,,,,,
120,In development,,,,,,
121,In development,,,,,,
122,In development,,,,,,
123,In development,,,,,,
124,In development,,,,,,
125,In development,,,,,,
126,In development,,,,,,
127,In development,,,,,,
128,In development,,,,,,
129,In development,,,,,,
130,In development,,,,,,
131,In development,,,,,,
132,In development,,,,,,
133,In development,,,,,,
134,In development,,,,,,
135,In development,,,,,,
136,In development,,,,,,
137,In development,,,,,,
138,In development,,,,,,
139,In development,,,,,,
140,In development,,,,,,
141,In development,,,,,,
142,In development,,,,,,
143,In development,,,,,,
144,In development,,,,,,
145,In development,,,,,,
146,In development,,,,,,
147,In development,,,,,,
148,In development,,,,,,
149,In development,,,,,,
150,In development,,,,,,
151,In development,,,,,,
152,In development,,,,,,
153,In development,,,,,,
154,In development,,,,,,
155,In development,,,,,,
156,In development,,,,,,
157,In development,,,,,,
158,In development,,,,,,
159,In development,,,,,,
160,In development,,,,,,
161,In development,,,,,,
162,In development,,,,,,
163,In development,,,,,,
164,In development,,,,,,
165,In development,,,,,,
166,In development,,,,,,
167,In development,,,,,,
168,In development,,,,,,
169,In development,,,,,,
170,In development,,,,,,
171,In development,,,,,,
172,In development,,,,,,
173,In development,,,,,,
174,In development,,,,,,
175,In development,,,,,,
176,In development,,,,,,
177,In development,,,,,,
178,In development,,,,,,
179,In development,,,,,,
180,In development,,,,,,
181,In development,,,,,,
182,In development,,,,,,
183,In development,,,,,,
184,In development,,,,,,
185,In development,,,,,,
186,In development,,,,,,
187,In development,,,,,,
188,In development,,,,,,
189,In development,,,,,,
190,In development,,,,,,
191,In development,,,,,,
192,In development,,,,,,
193,In development,,,,,,
194,In development,,,,,,
195,In development,,,,,,
196,In development,,,,,,
