,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,In master,,,,,,
1,In master,,,,,,
2,In master,,,,,,
3,In master,,,,,,
4,In master,,,,,,
5,In master,,,,,,
6,In master,,,,,,
7,In master,,,,,,
8,In master,,,,,,
9,In master,,,,,,
10,In master,,,,,,
11,In master,,,,,,
12,In master,,,,,,
13,In master,,,,,,
14,In master,,,,,,
15,In master,,,,,,
16,In master,,,,,,
17,In master,,,,,,
18,In master,,,,,,
19,In master,,,,,,
20,In master,,,,,,
21,In master,,,,,,
22,In master,,,,,,
23,In master,,,,,,
24,In master,,,,,,
25,In master,,,,,,
26,In master,,,,,,
27,In master,,,,,,
28,In master,,,,,,
29,In master,,,,,,
30,In master,,,,,,
31,In master,,,,,,
32,In master,,,,,,
33,In master,,,,,,
34,In master,,,,,,
35,In master,,,,,,
36,In master,,,,,,
37,In master,,,,,,
38,In master,,,,,,
39,In master,,,,,,
40,In master,,,,,,
41,In master,,,,,,
42,In master,,,,,,
43,In master,,,,,,
44,In master,,,,,,
45,In master,,,,,,
46,In master,,,,,,
47,In master,,,,,,
48,In master,,,,,,
49,In master,,,,,,
50,In master,,,,,,
51,In master,,,,,,
52,In master,,,,,,
53,In master,,,,,,
54,In master,,,,,,
55,In master,,,,,,
56,In master,,,,,,
57,In master,,,,,,
58,In master,,,,,,
59,In master,,,,,,
60,In master,,,,,,
61,In master,,,,,,
62,In master,,,,,,
63,In master,,,,,,
64,In master,,,,,,
65,In master,,,,,,
66,In master,,,,,,
67,In master,,,,,,
68,In master,,,,,,
69,In master,,,,,,
70,In master,,,,,,
71,In master,,,,,,
72,In master,,,,,,
73,In master,,,,,,
74,In master,,,,,,
75,In master,,,,,,
76,In master,,,,,,
77,In master,,,,,,
78,In master,,,,,,
79,In master,,,,,,
80,In master,,,,,,
81,In master,,,,,,
82,In master,,,,,,
83,In master,,,,,,
84,In master,,,,,,
85,In master,,,,,,
86,In master,,,,,,
87,In master,,,,,,
88,In master,,,,,,
89,In master,,,,,,
90,In master,,,,,,
91,In master,,,,,,
92,In master,,,,,,
93,In master,,,,,,
94,In master,,,,,,
95,In master,,,,,,
96,In master,,,,,,
97,In master,,,,,,
98,In master,,,,,,
99,In master,,,,,,
100,In master,,,,,,
101,In master,,,,,,
102,In master,,,,,,
103,In master,,,,,,
104,In master,,,,,,
105,In master,,,,,,
106,In master,,,,,,
107,In master,,,,,,
108,In master,,,,,,
109,In master,,,,,,
110,In master,,,,,,
111,In master,,,,,,
112,In master,,,,,,
113,In master,,,,,,
114,In master,,,,,,
115,In master,,,,,,
116,In master,,,,,,
117,In master,,,,,,
118,In master,,,,,,
119,In master,,,,,,
120,In master,,,,,,
121,In master,,,,,,
122,In master,,,,,,
123,In master,,,,,,
124,In master,,,,,,
125,In master,,,,,,
126,In master,,,,,,
127,In master,,,,,,
128,In master,,,,,,
129,In master,,,,,,
130,In master,,,,,,
131,In master,,,,,,
132,In master,,,,,,
133,In master,,,,,,
134,In master,,,,,,
135,In master,,,,,,
136,In master,,,,,,
137,In master,,,,,,
138,In master,,,,,,
139,In master,,,,,,
140,In master,,,,,,
141,In master,,,,,,
142,In master,,,,,,
143,In master,,,,,,
144,In master,,,,,,
145,In master,,,,,,
146,In master,,,,,,
147,In master,,,,,,
148,In master,,,,,,
149,In master,,,,,,
150,In master,,,,,,
151,In master,,,,,,
152,In master,,,,,,
153,In master,,,,,,
154,In master,,,,,,
155,In master,,,,,,
156,In master,,,,,,
157,In master,,,,,,
158,In master,,,,,,
159,In master,,,,,,
160,In master,,,,,,
161,In master,,,,,,
162,In master,,,,,,
163,In master,,,,,,
164,In master,,,,,,
165,In master,,,,,,
166,In master,,,,,,
167,In master,,,,,,
168,In master,,,,,,
169,In master,,,,,,
170,In master,,,,,,
171,In master,,,,,,
172,In master,,,,,,
173,In master,,,,,,
174,In master,,,,,,
175,In master,,,,,,
176,In master,,,,,,
177,In master,,,,,,
178,In master,,,,,,
179,In master,,,,,,
180,In master,,,,,,
181,In master,,,,,,
182,In master,,,,,,
183,In master,,,,,,
184,In master,,,,,,
185,In master,,,,,,
186,In master,,,,,,
187,In master,,,,,,
188,In master,,,,,,
189,In master,,,,,,
190,In master,,,,,,
191,In master,,,,,,
192,In master,,,,,,
193,In master,,,,,,
194,In master,,,,,,
195,In master,,,,,,
196,In master,,,,,,
