,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,In Planning,,,,,,
1,In Planning,,,,,,
2,In Planning,,,,,,
3,In Planning,,,,,,
4,In Planning,,,,,,
5,In Planning,,,,,,
6,In Planning,,,,,,
7,In Planning,,,,,,
8,In Planning,,,,,,
9,In Planning,,,,,,
10,In Planning,,,,,,
11,In Planning,,,,,,
12,In Planning,,,,,,
13,In Planning,,,,,,
14,In Planning,,,,,,
15,In Planning,,,,,,
16,In Planning,,,,,,
17,In Planning,,,,,,
18,In Planning,,,,,,
19,In Planning,,,,,,
20,In Planning,,,,,,
21,In Planning,,,,,,
22,In Planning,,,,,,
23,In Planning,,,,,,
24,In Planning,,,,,,
25,In Planning,,,,,,
26,In Planning,,,,,,
27,In Planning,,,,,,
28,In Planning,,,,,,
29,In Planning,,,,,,
30,In Planning,,,,,,
31,In Planning,,,,,,
32,In Planning,,,,,,
33,In Planning,,,,,,
34,In Planning,,,,,,
35,In Planning,,,,,,
36,In Planning,,,,,,
37,In Planning,,,,,,
38,In Planning,,,,,,
39,In Planning,,,,,,
40,In Planning,,,,,,
41,In Planning,,,,,,
42,In Planning,,,,,,
43,In Planning,,,,,,
44,In Planning,,,,,,
45,In Planning,,,,,,
46,In Planning,,,,,,
47,In Planning,,,,,,
48,In Planning,,,,,,
49,In Planning,,,,,,
50,In Planning,,,,,,
51,In Planning,,,,,,
52,In Planning,,,,,,
53,In Planning,,,,,,
54,In Planning,,,,,,
55,In Planning,,,,,,
56,In Planning,,,,,,
57,In Planning,,,,,,
58,In Planning,,,,,,
59,In Planning,,,,,,
60,In Planning,,,,,,
61,In Planning,,,,,,
62,In Planning,,,,,,
63,In Planning,,,,,,
64,In Planning,,,,,,
65,In Planning,,,,,,
66,In Planning,,,,,,
67,In Planning,,,,,,
68,In Planning,,,,,,
69,In Planning,,,,,,
70,In Planning,,,,,,
71,In Planning,,,,,,
72,In Planning,,,,,,
73,In Planning,,,,,,
74,In Planning,,,,,,
75,In Planning,,,,,,
76,In Planning,,,,,,
77,In Planning,,,,,,
78,In Planning,,,,,,
79,In Planning,,,,,,
80,In Planning,,,,,,
81,In Planning,,,,,,
82,In Planning,,,,,,
83,In Planning,,,,,,
84,In Planning,,,,,,
85,In Planning,,,,,,
86,In Planning,,,,,,
87,In Planning,,,,,,
88,In Planning,,,,,,
89,In Planning,,,,,,
90,In Planning,,,,,,
91,In Planning,,,,,,
92,In Planning,,,,,,
93,In Planning,,,,,,
94,In Planning,,,,,,
95,In Planning,,,,,,
96,In Planning,,,,,,
97,In Planning,,,,,,
98,In Planning,,,,,,
99,In Planning,,,,,,
100,In Planning,,,,,,
101,In Planning,,,,,,
102,In Planning,,,,,,
103,In Planning,,,,,,
104,In Planning,,,,,,
105,In Planning,,,,,,
106,In Planning,,,,,,
107,In Planning,,,,,,
108,In Planning,,,,,,
109,In Planning,,,,,,
110,In Planning,,,,,,
111,In Planning,,,,,,
112,In Planning,,,,,,
113,In Planning,,,,,,
114,In Planning,,,,,,
115,In Planning,,,,,,
116,In Planning,,,,,,
117,In Planning,,,,,,
118,In Planning,,,,,,
119,In Planning,,,,,,
120,In Planning,,,,,,
121,In Planning,,,,,,
122,In Planning,,,,,,
123,In Planning,,,,,,
124,In Planning,,,,,,
125,In Planning,,,,,,
126,In Planning,,,,,,
127,In Planning,,,,,,
128,In Planning,,,,,,
129,In Planning,,,,,,
130,In Planning,,,,,,
131,In Planning,,,,,,
132,In Planning,,,,,,
133,In Planning,,,,,,
134,In Planning,,,,,,
135,In Planning,,,,,,
136,In Planning,,,,,,
137,In Planning,,,,,,
138,In Planning,,,,,,
139,In Planning,,,,,,
140,In Planning,,,,,,
141,In Planning,,,,,,
142,In Planning,,,,,,
143,In Planning,,,,,,
144,In Planning,,,,,,
145,In Planning,,,,,,
146,In Planning,,,,,,
147,In Planning,,,,,,
148,In Planning,,,,,,
149,In Planning,,,,,,
150,In Planning,,,,,,
151,In Planning,,,,,,
152,In Planning,,,,,,
153,In Planning,,,,,,
154,In Planning,,,,,,
155,In Planning,,,,,,
156,In Planning,,,,,,
157,In Planning,,,,,,
158,In Planning,,,,,,
159,In Planning,,,,,,
160,In Planning,,,,,,
161,In Planning,,,,,,
162,In Planning,,,,,,
163,In Planning,,,,,,
164,In Planning,,,,,,
165,In Planning,,,,,,
166,In Planning,,,,,,
167,In Planning,,,,,,
168,In Planning,,,,,,
169,In Planning,,,,,,
170,In Planning,,,,,,
171,In Planning,,,,,,
172,In Planning,,,,,,
173,In Planning,,,,,,
174,In Planning,,,,,,
175,In Planning,,,,,,
176,In Planning,,,,,,
177,In Planning,,,,,,
178,In Planning,,,,,,
179,In Planning,,,,,,
180,In Planning,,,,,,
181,In Planning,,,,,,
182,In Planning,,,,,,
183,In Planning,,,,,,
184,In Planning,,,,,,
185,In Planning,,,,,,
186,In Planning,,,,,,
187,In Planning,,,,,,
188,In Planning,,,,,,
189,In Planning,,,,,,
190,In Planning,,,,,,
191,In Planning,,,,,,
192,In Planning,,,,,,
193,In Planning,,,,,,
194,In Planning,,,,,,
195,In Planning,,,,,,
196,In Planning,,,,,,
