,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,In Progress,,,,,,
1,In Progress,,,,,,
2,In Progress,,,,,,
3,In Progress,,,,,,
4,In Progress,,,,,,
5,In Progress,,,,,,
6,In Progress,,,,,,
7,In Progress,,,,,,
8,In Progress,,,,,,
9,In Progress,,,,,,
10,In Progress,,,,,,
11,In Progress,,,,,,
12,In Progress,,,,,,
13,In Progress,,,,,,
14,In Progress,,,,,,
15,In Progress,,,,,,
16,In Progress,,,,,,
17,In Progress,,,,,,
18,In Progress,,,,,,
19,In Progress,,,,,,
20,In Progress,,,,,,
21,In Progress,,,,,,
22,In Progress,,,,,,
23,In Progress,,,,,,
24,In Progress,,,,,,
25,In Progress,,,,,,
26,In Progress,,,,,,
27,In Progress,,,,,,
28,In Progress,,,,,,
29,In Progress,,,,,,
30,In Progress,,,,,,
31,In Progress,,,,,,
32,In Progress,,,,,,
33,In Progress,,,,,,
34,In Progress,,,,,,
35,In Progress,,,,,,
36,In Progress,,,,,,
37,In Progress,,,,,,
38,In Progress,,,,,,
39,In Progress,,,,,,
40,In Progress,,,,,,
41,In Progress,,,,,,
42,In Progress,,,,,,
43,In Progress,,,,,,
44,In Progress,,,,,,
45,In Progress,,,,,,
46,In Progress,,,,,,
47,In Progress,,,,,,
48,In Progress,,,,,,
49,In Progress,,,,,,
50,In Progress,,,,,,
51,In Progress,,,,,,
52,In Progress,,,,,,
53,In Progress,,,,,,
54,In Progress,,,,,,
55,In Progress,,,,,,
56,In Progress,,,,,,
57,In Progress,,,,,,
58,In Progress,,,,,,
59,In Progress,,,,,,
60,In Progress,,,,,,
61,In Progress,,,,,,
62,In Progress,,,,,,
63,In Progress,,,,,,
64,In Progress,,,,,,
65,In Progress,,,,,,
66,In Progress,,,,,,
67,In Progress,,,,,,
68,In Progress,,,,,,
69,In Progress,,,,,,
70,In Progress,,,,,,
71,In Progress,,,,,,
72,In Progress,,,,,,
73,In Progress,,,,,,
74,In Progress,,,,,,
75,In Progress,,,,,,
76,In Progress,,,,,,
77,In Progress,,,,,,
78,In Progress,,,,,,
79,In Progress,,,,,,
80,In Progress,,,,,,
81,In Progress,,,,,,
82,In Progress,,,,,,
83,In Progress,,,,,,
84,In Progress,,,,,,
85,In Progress,,,,,,
86,In Progress,,,,,,
87,In Progress,,,,,,
88,In Progress,,,,,,
89,In Progress,,,,,,
90,In Progress,,,,,,
91,In Progress,,,,,,
92,In Progress,,,,,,
93,In Progress,,,,,,
94,In Progress,,,,,,
95,In Progress,,,,,,
96,In Progress,,,,,,
97,In Progress,,,,,,
98,In Progress,,,,,,
99,In Progress,,,,,,
100,In Progress,,,,,,
101,In Progress,,,,,,
102,In Progress,,,,,,
103,In Progress,,,,,,
104,In Progress,,,,,,
105,In Progress,,,,,,
106,In Progress,,,,,,
107,In Progress,,,,,,
108,In Progress,,,,,,
109,In Progress,,,,,,
110,In Progress,,,,,,
111,In Progress,,,,,,
112,In Progress,,,,,,
113,In Progress,,,,,,
114,In Progress,,,,,,
115,In Progress,,,,,,
116,In Progress,,,,,,
117,In Progress,,,,,,
118,In Progress,,,,,,
119,In Progress,,,,,,
120,In Progress,,,,,,
121,In Progress,,,,,,
122,In Progress,,,,,,
123,In Progress,,,,,,
124,In Progress,,,,,,
125,In Progress,,,,,,
126,In Progress,,,,,,
127,In Progress,,,,,,
128,In Progress,,,,,,
129,In Progress,,,,,,
130,In Progress,,,,,,
131,In Progress,,,,,,
132,In Progress,,,,,,
133,In Progress,,,,,,
134,In Progress,,,,,,
135,In Progress,,,,,,
136,In Progress,,,,,,
137,In Progress,,,,,,
138,In Progress,,,,,,
139,In Progress,,,,,,
140,In Progress,,,,,,
141,In Progress,,,,,,
142,In Progress,,,,,,
143,In Progress,,,,,,
144,In Progress,,,,,,
145,In Progress,,,,,,
146,In Progress,,,,,,
147,In Progress,,,,,,
148,In Progress,,,,,,
149,In Progress,,,,,,
150,In Progress,,,,,,
151,In Progress,,,,,,
152,In Progress,,,,,,
153,In Progress,,,,,,
154,In Progress,,,,,,
155,In Progress,,,,,,
156,In Progress,,,,,,
157,In Progress,,,,,,
158,In Progress,,,,,,
159,In Progress,,,,,,
160,In Progress,,,,,,
161,In Progress,,,,,,
162,In Progress,,,,,,
163,In Progress,,,,,,
164,In Progress,,,,,,
165,In Progress,,,,,,
166,In Progress,,,,,,
167,In Progress,,,,,,
168,In Progress,,,,,,
169,In Progress,,,,,,
170,In Progress,,,,,,
171,In Progress,,,,,,
172,In Progress,,,,,,
173,In Progress,,,,,,
174,In Progress,,,,,,
175,In Progress,,,,,,
176,In Progress,,,,,,
177,In Progress,,,,,,
178,In Progress,,,,,,
179,In Progress,,,,,,
180,In Progress,,,,,,
181,In Progress,,,,,,
182,In Progress,,,,,,
183,In Progress,,,,,,
184,In Progress,,,,,,
185,In Progress,,,,,,
186,In Progress,,,,,,
187,In Progress,,,,,,
188,In Progress,,,,,,
189,In Progress,,,,,,
190,In Progress,,,,,,
191,In Progress,,,,,,
192,In Progress,,,,,,
193,In Progress,,,,,,
194,In Progress,,,,,,
195,In Progress,,,,,,
196,In Progress,,,,,,
