,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,In QA Review,,,,,,
1,In QA Review,,,,,,
2,In QA Review,,,,,,
3,In QA Review,,,,,,
4,In QA Review,,,,,,
5,In QA Review,,,,,,
6,In QA Review,,,,,,
7,In QA Review,,,,,,
8,In QA Review,,,,,,
9,In QA Review,,,,,,
10,In QA Review,,,,,,
11,In QA Review,,,,,,
12,In QA Review,,,,,,
13,In QA Review,,,,,,
14,In QA Review,,,,,,
15,In QA Review,,,,,,
16,In QA Review,,,,,,
17,In QA Review,,,,,,
18,In QA Review,,,,,,
19,In QA Review,,,,,,
20,In QA Review,,,,,,
21,In QA Review,,,,,,
22,In QA Review,,,,,,
23,In QA Review,,,,,,
24,In QA Review,,,,,,
25,In QA Review,,,,,,
26,In QA Review,,,,,,
27,In QA Review,,,,,,
28,In QA Review,,,,,,
29,In QA Review,,,,,,
30,In QA Review,,,,,,
31,In QA Review,,,,,,
32,In QA Review,,,,,,
33,In QA Review,,,,,,
34,In QA Review,,,,,,
35,In QA Review,,,,,,
36,In QA Review,,,,,,
37,In QA Review,,,,,,
38,In QA Review,,,,,,
39,In QA Review,,,,,,
40,In QA Review,,,,,,
41,In QA Review,,,,,,
42,In QA Review,,,,,,
43,In QA Review,,,,,,
44,In QA Review,,,,,,
45,In QA Review,,,,,,
46,In QA Review,,,,,,
47,In QA Review,,,,,,
48,In QA Review,,,,,,
49,In QA Review,,,,,,
50,In QA Review,,,,,,
51,In QA Review,,,,,,
52,In QA Review,,,,,,
53,In QA Review,,,,,,
54,In QA Review,,,,,,
55,In QA Review,,,,,,
56,In QA Review,,,,,,
57,In QA Review,,,,,,
58,In QA Review,,,,,,
59,In QA Review,,,,,,
60,In QA Review,,,,,,
61,In QA Review,,,,,,
62,In QA Review,,,,,,
63,In QA Review,,,,,,
64,In QA Review,,,,,,
65,In QA Review,,,,,,
66,In QA Review,,,,,,
67,In QA Review,,,,,,
68,In QA Review,,,,,,
69,In QA Review,,,,,,
70,In QA Review,,,,,,
71,In QA Review,,,,,,
72,In QA Review,,,,,,
73,In QA Review,,,,,,
74,In QA Review,,,,,,
75,In QA Review,,,,,,
76,In QA Review,,,,,,
77,In QA Review,,,,,,
78,In QA Review,,,,,,
79,In QA Review,,,,,,
80,In QA Review,,,,,,
81,In QA Review,,,,,,
82,In QA Review,,,,,,
83,In QA Review,,,,,,
84,In QA Review,,,,,,
85,In QA Review,,,,,,
86,In QA Review,,,,,,
87,In QA Review,,,,,,
88,In QA Review,,,,,,
89,In QA Review,,,,,,
90,In QA Review,,,,,,
91,In QA Review,,,,,,
92,In QA Review,,,,,,
93,In QA Review,,,,,,
94,In QA Review,,,,,,
95,In QA Review,,,,,,
96,In QA Review,,,,,,
97,In QA Review,,,,,,
98,In QA Review,,,,,,
99,In QA Review,,,,,,
100,In QA Review,,,,,,
101,In QA Review,,,,,,
102,In QA Review,,,,,,
103,In QA Review,,,,,,
104,In QA Review,,,,,,
105,In QA Review,,,,,,
106,In QA Review,,,,,,
107,In QA Review,,,,,,
108,In QA Review,,,,,,
109,In QA Review,,,,,,
110,In QA Review,,,,,,
111,In QA Review,,,,,,
112,In QA Review,,,,,,
113,In QA Review,,,,,,
114,In QA Review,,,,,,
115,In QA Review,,,,,,
116,In QA Review,,,,,,
117,In QA Review,,,,,,
118,In QA Review,,,,,,
119,In QA Review,,,,,,
120,In QA Review,,,,,,
121,In QA Review,,,,,,
122,In QA Review,,,,,,
123,In QA Review,,,,,,
124,In QA Review,,,,,,
125,In QA Review,,,,,,
126,In QA Review,,,,,,
127,In QA Review,,,,,,
128,In QA Review,,,,,,
129,In QA Review,,,,,,
130,In QA Review,,,,,,
131,In QA Review,,,,,,
132,In QA Review,,,,,,
133,In QA Review,,,,,,
134,In QA Review,,,,,,
135,In QA Review,,,,,,
136,In QA Review,,,,,,
137,In QA Review,,,,,,
138,In QA Review,,,,,,
139,In QA Review,,,,,,
140,In QA Review,,,,,,
141,In QA Review,,,,,,
142,In QA Review,,,,,,
143,In QA Review,,,,,,
144,In QA Review,,,,,,
145,In QA Review,,,,,,
146,In QA Review,,,,,,
147,In QA Review,,,,,,
148,In QA Review,,,,,,
149,In QA Review,,,,,,
150,In QA Review,,,,,,
151,In QA Review,,,,,,
152,In QA Review,,,,,,
153,In QA Review,,,,,,
154,In QA Review,,,,,,
155,In QA Review,,,,,,
156,In QA Review,,,,,,
157,In QA Review,,,,,,
158,In QA Review,,,,,,
159,In QA Review,,,,,,
160,In QA Review,,,,,,
161,In QA Review,,,,,,
162,In QA Review,,,,,,
163,In QA Review,,,,,,
164,In QA Review,,,,,,
165,In QA Review,,,,,,
166,In QA Review,,,,,,
167,In QA Review,,,,,,
168,In QA Review,,,,,,
169,In QA Review,,,,,,
