,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,In Research,,,,,,
1,In Research,,,,,,
2,In Research,,,,,,
3,In Research,,,,,,
4,In Research,,,,,,
5,In Research,,,,,,
6,In Research,,,,,,
7,In Research,,,,,,
8,In Research,,,,,,
9,In Research,,,,,,
10,In Research,,,,,,
11,In Research,,,,,,
12,In Research,,,,,,
13,In Research,,,,,,
14,In Research,,,,,,
15,In Research,,,,,,
16,In Research,,,,,,
17,In Research,,,,,,
18,In Research,,,,,,
19,In Research,,,,,,
20,In Research,,,,,,
21,In Research,,,,,,
22,In Research,,,,,,
23,In Research,,,,,,
24,In Research,,,,,,
25,In Research,,,,,,
26,In Research,,,,,,
27,In Research,,,,,,
28,In Research,,,,,,
29,In Research,,,,,,
30,In Research,,,,,,
31,In Research,,,,,,
32,In Research,,,,,,
33,In Research,,,,,,
34,In Research,,,,,,
35,In Research,,,,,,
36,In Research,,,,,,
37,In Research,,,,,,
38,In Research,,,,,,
39,In Research,,,,,,
40,In Research,,,,,,
41,In Research,,,,,,
42,In Research,,,,,,
43,In Research,,,,,,
44,In Research,,,,,,
45,In Research,,,,,,
46,In Research,,,,,,
47,In Research,,,,,,
48,In Research,,,,,,
49,In Research,,,,,,
50,In Research,,,,,,
51,In Research,,,,,,
52,In Research,,,,,,
53,In Research,,,,,,
54,In Research,,,,,,
55,In Research,,,,,,
56,In Research,,,,,,
57,In Research,,,,,,
58,In Research,,,,,,
59,In Research,,,,,,
60,In Research,,,,,,
61,In Research,,,,,,
62,In Research,,,,,,
63,In Research,,,,,,
64,In Research,,,,,,
65,In Research,,,,,,
66,In Research,,,,,,
67,In Research,,,,,,
68,In Research,,,,,,
69,In Research,,,,,,
70,In Research,,,,,,
71,In Research,,,,,,
72,In Research,,,,,,
73,In Research,,,,,,
74,In Research,,,,,,
75,In Research,,,,,,
76,In Research,,,,,,
77,In Research,,,,,,
78,In Research,,,,,,
79,In Research,,,,,,
80,In Research,,,,,,
81,In Research,,,,,,
82,In Research,,,,,,
83,In Research,,,,,,
84,In Research,,,,,,
85,In Research,,,,,,
86,In Research,,,,,,
87,In Research,,,,,,
88,In Research,,,,,,
89,In Research,,,,,,
90,In Research,,,,,,
91,In Research,,,,,,
92,In Research,,,,,,
93,In Research,,,,,,
94,In Research,,,,,,
95,In Research,,,,,,
96,In Research,,,,,,
97,In Research,,,,,,
98,In Research,,,,,,
99,In Research,,,,,,
100,In Research,,,,,,
101,In Research,,,,,,
102,In Research,,,,,,
103,In Research,,,,,,
104,In Research,,,,,,
105,In Research,,,,,,
106,In Research,,,,,,
107,In Research,,,,,,
108,In Research,,,,,,
109,In Research,,,,,,
110,In Research,,,,,,
111,In Research,,,,,,
112,In Research,,,,,,
113,In Research,,,,,,
114,In Research,,,,,,
115,In Research,,,,,,
116,In Research,,,,,,
117,In Research,,,,,,
118,In Research,,,,,,
119,In Research,,,,,,
120,In Research,,,,,,
121,In Research,,,,,,
122,In Research,,,,,,
123,In Research,,,,,,
124,In Research,,,,,,
125,In Research,,,,,,
126,In Research,,,,,,
127,In Research,,,,,,
128,In Research,,,,,,
129,In Research,,,,,,
130,In Research,,,,,,
131,In Research,,,,,,
132,In Research,,,,,,
133,In Research,,,,,,
134,In Research,,,,,,
135,In Research,,,,,,
136,In Research,,,,,,
137,In Research,,,,,,
138,In Research,,,,,,
139,In Research,,,,,,
140,In Research,,,,,,
141,In Research,,,,,,
142,In Research,,,,,,
143,In Research,,,,,,
144,In Research,,,,,,
145,In Research,,,,,,
146,In Research,,,,,,
147,In Research,,,,,,
148,In Research,,,,,,
149,In Research,,,,,,
150,In Research,,,,,,
151,In Research,,,,,,
152,In Research,,,,,,
153,In Research,,,,,,
154,In Research,,,,,,
155,In Research,,,,,,
156,In Research,,,,,,
157,In Research,,,,,,
158,In Research,,,,,,
159,In Research,,,,,,
160,In Research,,,,,,
161,In Research,,,,,,
162,In Research,,,,,,
163,In Research,,,,,,
164,In Research,,,,,,
165,In Research,,,,,,
166,In Research,,,,,,
167,In Research,,,,,,
168,In Research,,,,,,
169,In Research,,,,,,
170,In Research,,,,,,
171,In Research,,,,,,
172,In Research,,,,,,
173,In Research,,,,,,
174,In Research,,,,,,
175,In Research,,,,,,
176,In Research,,,,,,
177,In Research,,,,,,
178,In Research,,,,,,
179,In Research,,,,,,
180,In Research,,,,,,
181,In Research,,,,,,
182,In Research,,,,,,
183,In Research,,,,,,
184,In Research,,,,,,
185,In Research,,,,,,
186,In Research,,,,,,
187,In Research,,,,,,
188,In Research,,,,,,
189,In Research,,,,,,
190,In Research,,,,,,
191,In Research,,,,,,
192,In Research,,,,,,
193,In Research,,,,,,
194,In Research,,,,,,
195,In Research,,,,,,
196,In Research,,,,,,
