,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,In Review,,,,,,
1,In Review,,,,,,
2,In Review,,,,,,
3,In Review,,,,,,
4,In Review,,,,,,
5,In Review,,,,,,
6,In Review,,,,,,
7,In Review,,,,,,
8,In Review,,,,,,
9,In Review,,,,,,
10,In Review,,,,,,
11,In Review,,,,,,
12,In Review,,,,,,
13,In Review,,,,,,
14,In Review,,,,,,
15,In Review,,,,,,
16,In Review,,,,,,
17,In Review,,,,,,
18,In Review,,,,,,
19,In Review,,,,,,
20,In Review,,,,,,
21,In Review,,,,,,
22,In Review,,,,,,
23,In Review,,,,,,
24,In Review,,,,,,
25,In Review,,,,,,
26,In Review,,,,,,
27,In Review,,,,,,
28,In Review,,,,,,
29,In Review,,,,,,
30,In Review,,,,,,
31,In Review,,,,,,
32,In Review,,,,,,
33,In Review,,,,,,
34,In Review,,,,,,
35,In Review,,,,,,
36,In Review,,,,,,
37,In Review,,,,,,
38,In Review,,,,,,
39,In Review,,,,,,
40,In Review,,,,,,
41,In Review,,,,,,
42,In Review,,,,,,
43,In Review,,,,,,
44,In Review,,,,,,
45,In Review,,,,,,
46,In Review,,,,,,
47,In Review,,,,,,
48,In Review,,,,,,
49,In Review,,,,,,
50,In Review,,,,,,
51,In Review,,,,,,
52,In Review,,,,,,
53,In Review,,,,,,
54,In Review,,,,,,
55,In Review,,,,,,
56,In Review,,,,,,
57,In Review,,,,,,
58,In Review,,,,,,
59,In Review,,,,,,
60,In Review,,,,,,
61,In Review,,,,,,
62,In Review,,,,,,
63,In Review,,,,,,
64,In Review,,,,,,
65,In Review,,,,,,
66,In Review,,,,,,
67,In Review,,,,,,
68,In Review,,,,,,
69,In Review,,,,,,
70,In Review,,,,,,
71,In Review,,,,,,
72,In Review,,,,,,
73,In Review,,,,,,
74,In Review,,,,,,
75,In Review,,,,,,
76,In Review,,,,,,
77,In Review,,,,,,
78,In Review,,,,,,
79,In Review,,,,,,
80,In Review,,,,,,
81,In Review,,,,,,
82,In Review,,,,,,
83,In Review,,,,,,
84,In Review,,,,,,
85,In Review,,,,,,
86,In Review,,,,,,
87,In Review,,,,,,
88,In Review,,,,,,
89,In Review,,,,,,
90,In Review,,,,,,
91,In Review,,,,,,
92,In Review,,,,,,
93,In Review,,,,,,
94,In Review,,,,,,
95,In Review,,,,,,
96,In Review,,,,,,
97,In Review,,,,,,
98,In Review,,,,,,
99,In Review,,,,,,
100,In Review,,,,,,
101,In Review,,,,,,
102,In Review,,,,,,
103,In Review,,,,,,
104,In Review,,,,,,
105,In Review,,,,,,
106,In Review,,,,,,
107,In Review,,,,,,
108,In Review,,,,,,
109,In Review,,,,,,
110,In Review,,,,,,
111,In Review,,,,,,
112,In Review,,,,,,
113,In Review,,,,,,
114,In Review,,,,,,
115,In Review,,,,,,
116,In Review,,,,,,
117,In Review,,,,,,
118,In Review,,,,,,
119,In Review,,,,,,
120,In Review,,,,,,
121,In Review,,,,,,
122,In Review,,,,,,
123,In Review,,,,,,
124,In Review,,,,,,
125,In Review,,,,,,
126,In Review,,,,,,
127,In Review,,,,,,
128,In Review,,,,,,
129,In Review,,,,,,
130,In Review,,,,,,
131,In Review,,,,,,
132,In Review,,,,,,
133,In Review,,,,,,
134,In Review,,,,,,
135,In Review,,,,,,
136,In Review,,,,,,
137,In Review,,,,,,
138,In Review,,,,,,
139,In Review,,,,,,
140,In Review,,,,,,
141,In Review,,,,,,
142,In Review,,,,,,
143,In Review,,,,,,
144,In Review,,,,,,
145,In Review,,,,,,
146,In Review,,,,,,
147,In Review,,,,,,
148,In Review,,,,,,
149,In Review,,,,,,
150,In Review,,,,,,
151,In Review,,,,,,
152,In Review,,,,,,
153,In Review,,,,,,
154,In Review,,,,,,
155,In Review,,,,,,
156,In Review,,,,,,
157,In Review,,,,,,
158,In Review,,,,,,
159,In Review,,,,,,
160,In Review,,,,,,
161,In Review,,,,,,
162,In Review,,,,,,
163,In Review,,,,,,
164,In Review,,,,,,
165,In Review,,,,,,
166,In Review,,,,,,
167,In Review,,,,,,
168,In Review,,,,,,
169,In Review,,,,,,
170,In Review,,,,,,
171,In Review,,,,,,
172,In Review,,,,,,
173,In Review,,,,,,
174,In Review,,,,,,
175,In Review,,,,,,
176,In Review,,,,,,
177,In Review,,,,,,
178,In Review,,,,,,
179,In Review,,,,,,
180,In Review,,,,,,
181,In Review,,,,,,
182,In Review,,,,,,
183,In Review,,,,,,
184,In Review,,,,,,
185,In Review,,,,,,
186,In Review,,,,,,
187,In Review,,,,,,
188,In Review,,,,,,
189,In Review,,,,,,
190,In Review,,,,,,
191,In Review,,,,,,
192,In Review,,,,,,
193,In Review,,,,,,
194,In Review,,,,,,
195,In Review,,,,,,
196,In Review,,,,,,
