,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Live,,,,,,
1,Live,,,,,,
2,Live,1.0,1.0,1.0,217.620115740741,217.620116,217.620116
3,Live,,,,,,
4,Live,16.0,16.0,16.0,146.823508391204,329.580856,54.546435
5,Live,,,,,,
6,Live,,,,,,
7,Live,,,,,,
8,Live,,,,,,
9,Live,,,,,,
10,Live,,,,,,
11,Live,,,,,,
12,Live,,,,,,
13,Live,9.0,9.0,9.0,152.060126028808,287.628993,40.679306
14,Live,,,,,,
15,Live,,,,,,
16,Live,,,,,,
17,Live,2.0,2.0,2.0,161.619525462963,168.623715,154.615336
18,Live,30.0,30.0,30.0,154.554100694444,355.629306,21.565637
19,Live,,,,,,
20,Live,53.0,53.0,53.0,160.312520527604,308.595058,21.565648
21,Live,,,,,,
22,Live,3.0,3.0,3.0,132.220848765428,201.642569,54.542176
23,Live,,,,,,
24,Live,,,,,,
25,Live,,,,,,
26,Live,,,,,,
27,Live,4.0,4.0,4.0,115.565734953704,147.579363,84.592361
28,Live,,,,,,
29,Live,,,,,,
30,Live,,,,,,
31,Live,,,,,,
32,Live,,,,,,
33,Live,,,,,,
34,Live,,,,,,
35,Live,3.0,3.0,3.0,191.945335648148,294.592685,119.610509
36,Live,,,,,,
37,Live,,,,,,
38,Live,,,,,,
39,Live,123.0,123.0,123.0,170.764876449109,355.629306,9.3e-05
40,Live,19.0,19.0,19.0,91.982234405463,182.581238,21.56566
41,Live,,,,,,
42,Live,70.0,70.0,70.0,166.323616567465,348.620116,11.269387
43,Live,,,,,,
44,Live,,,,,,
45,Live,,,,,,
46,Live,,,,,,
47,Live,1.0,1.0,1.0,203.51375,203.51375,203.51375
48,Live,,,,,,
49,Live,,,,,,
50,Live,,,,,,
51,Live,,,,,,
52,Live,,,,,,
53,Live,,,,,,
54,Live,3.0,3.0,3.0,148.80360725309,308.589676,49.102847
55,Live,53.0,53.0,53.0,188.766201956678,348.621215,28.58934
56,Live,,,,,,
57,Live,,,,,,
58,Live,,,,,,
59,Live,,,,,,
60,Live,,,,,,
61,Live,20.0,20.0,20.0,151.975447916667,320.497269,28.588808
62,Live,,,,,,
63,Live,11.0,11.0,11.0,199.234828493264,273.596123,40.679294
64,Live,,,,,,
65,Live,,,,,,
66,Live,12.0,12.0,12.0,187.706787229942,355.631539,119.609282
67,Live,,,,,,
68,Live,,,,,,
69,Live,,,,,,
70,Live,80.0,80.0,80.0,169.45306640625,355.629873,14.568218
71,Live,,,,,,
72,Live,8.0,8.0,8.0,116.317938368056,305.430799,14.568229
73,Live,4.0,4.0,4.0,124.32724537037,329.580856,28.58934
74,Live,,,,,,
75,Live,,,,,,
