,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Master,,,,,,
1,Master,,,,,,
2,Master,,,,,,
3,Master,,,,,,
4,Master,2.0,2.0,2.0,6.953912037037,8.068854,5.83897
5,Master,,,,,,
6,Master,,,,,,
7,Master,,,,,,
8,Master,,,,,,
9,Master,,,,,,
10,Master,,,,,,
11,Master,,,,,,
12,Master,,,,,,
13,Master,1.0,1.0,1.0,5.860069444444,5.860069,5.860069
14,Master,,,,,,
15,Master,,,,,,
16,Master,,,,,,
17,Master,,,,,,
18,Master,4.0,4.0,4.0,5.907945601852,6.983831,3.95559
19,Master,,,,,,
20,Master,6.0,6.0,6.0,8.54376350309,13.632847,1.030289
21,Master,,,,,,
22,Master,1.0,1.0,1.0,25.630474537037,25.630475,25.630475
23,Master,,,,,,
24,Master,,,,,,
25,Master,,,,,,
26,Master,,,,,,
27,Master,,,,,,
28,Master,,,,,,
29,Master,,,,,,
30,Master,,,,,,
31,Master,,,,,,
32,Master,,,,,,
33,Master,,,,,,
34,Master,,,,,,
35,Master,1.0,1.0,1.0,7.012916666667,7.012917,7.012917
36,Master,,,,,,
37,Master,,,,,,
38,Master,,,,,,
39,Master,33.0,33.0,33.0,9.030557309201,29.407292,3.5e-05
40,Master,3.0,3.0,3.0,15.489378858021,22.353241,8.479514
41,Master,,,,,,
42,Master,12.0,12.0,12.0,3.321686921296,6.702442,0.208368
43,Master,,,,,,
44,Master,,,,,,
45,Master,,,,,,
46,Master,,,,,,
47,Master,,,,,,
48,Master,,,,,,
49,Master,,,,,,
50,Master,,,,,,
51,Master,,,,,,
52,Master,,,,,,
53,Master,,,,,,
54,Master,1.0,1.0,1.0,4.036087962963,4.036088,4.036088
55,Master,12.0,12.0,12.0,7.852498070984,20.426458,0.156481
56,Master,,,,,,
57,Master,,,,,,
58,Master,,,,,,
59,Master,,,,,,
60,Master,,,,,,
61,Master,3.0,3.0,3.0,8.630381944444,15.648576,1.194711
62,Master,,,,,,
63,Master,,,,,,
64,Master,,,,,,
65,Master,,,,,,
66,Master,1.0,1.0,1.0,8.017569444444,8.017569,8.017569
67,Master,,,,,,
68,Master,,,,,,
69,Master,,,,,,
70,Master,14.0,14.0,14.0,9.025672949734,22.502639,1.70184
71,Master,,,,,,
72,Master,1.0,1.0,1.0,2.932986111111,2.932986,2.932986
73,Master,1.0,1.0,1.0,6.8909375,6.890938,6.890938
74,Master,,,,,,
75,Master,,,,,,
76,Master,3.0,3.0,3.0,13.694864969132,22.542639,4.964444
77,Master,,,,,,
78,Master,,,,,,
79,Master,,,,,,
80,Master,,,,,,
81,Master,,,,,,
82,Master,,,,,,
83,Master,23.0,23.0,23.0,5.020876610301,12.777917,0.627141
84,Master,,,,,,
85,Master,,,,,,
86,Master,13.0,13.0,13.0,6.811493945868,20.097292,0.491852
87,Master,9.0,9.0,9.0,5.285189043206,8.100949,0.748356
88,Master,4.0,4.0,4.0,2.620662615741,5.996759,0.000243
89,Master,,,,,,
90,Master,,,,,,
91,Master,,,,,,
92,Master,,,,,,
93,Master,,,,,,
94,Master,,,,,,
95,Master,,,,,,
96,Master,,,,,,
97,Master,,,,,,
98,Master,,,,,,
99,Master,,,,,,
100,Master,,,,,,
101,Master,,,,,,
102,Master,,,,,,
103,Master,,,,,,
104,Master,,,,,,
105,Master,,,,,,
106,Master,,,,,,
107,Master,,,,,,
108,Master,9.0,9.0,9.0,6.539606481481,10.795914,2.968044
109,Master,2.0,2.0,2.0,8.848501157407,9.882512,7.814491
110,Master,9.0,9.0,9.0,10.507929526748,24.705868,4.68537
111,Master,18.0,18.0,18.0,5.758813657407,9.759433,0.179317
112,Master,3.0,3.0,3.0,3.591635802465,4.988854,0.86294
113,Master,2.0,2.0,2.0,5.07087962963,6.060995,4.080764
114,Master,,,,,,
115,Master,,,,,,
116,Master,2.0,2.0,2.0,5.619519675926,6.905428,4.333611
117,Master,7.0,7.0,7.0,4.821066468252,12.932801,1.741759
118,Master,19.0,19.0,19.0,5.435738913252,13.169271,0.0689
119,Master,11.0,11.0,11.0,7.318699494954,25.152905,0.668565
120,Master,5.0,5.0,5.0,5.993060185185,10.860035,0.372234
121,Master,,,,,,
122,Master,,,,,,
123,Master,4.0,4.0,4.0,7.516076388889,14.803148,2.596829
124,Master,,,,,,
125,Master,,,,,,
126,Master,,,,,,
127,Master,,,,,,
128,Master,,,,,,
129,Master,3.0,3.0,3.0,1.335763888889,3.144514,0.148472
130,Master,4.0,4.0,4.0,7.337708333333,10.922454,0.982917
131,Master,,,,,,
132,Master,,,,,,
133,Master,1.0,1.0,1.0,14.460092592593,14.460093,14.460093
134,Master,,,,,,
135,Master,,,,,,
136,Master,,,,,,
137,Master,,,,,,
138,Master,6.0,6.0,6.0,5.972110339502,13.566863,3.5e-05
139,Master,,,,,,
140,Master,,,,,,
141,Master,,,,,,
142,Master,,,,,,
143,Master,,,,,,
144,Master,,,,,,
145,Master,,,,,,
146,Master,,,,,,
147,Master,,,,,,
148,Master,1.0,1.0,1.0,4.571886574074,4.571887,4.571887
149,Master,,,,,,
150,Master,1.0,1.0,1.0,18.616446759259,18.616447,18.616447
151,Master,,,,,,
152,Master,,,,,,
153,Master,,,,,,
154,Master,,,,,,
155,Master,,,,,,
156,Master,1.0,1.0,1.0,4.822847222222,4.822847,4.822847
157,Master,,,,,,
158,Master,,,,,,
159,Master,,,,,,
160,Master,,,,,,
161,Master,7.0,7.0,7.0,6.091832010579,12.471262,4.289931
162,Master,,,,,,
163,Master,,,,,,
164,Master,35.0,35.0,35.0,6.391843915347,14.073831,0.182882
165,Master,,,,,,
166,Master,,,,,,
167,Master,,,,,,
168,Master,,,,,,
169,Master,4.0,4.0,4.0,9.700419560185,15.610104,4.864201
170,Master,,,,,,
171,Master,,,,,,
172,Master,,,,,,
173,Master,,,,,,
174,Master,,,,,,
175,Master,,,,,,
176,Master,5.0,5.0,5.0,18.119884259259,28.509225,7.811481
177,Master,,,,,,
178,Master,5.0,5.0,5.0,6.322472222222,7.013333,3.998646
179,Master,,,,,,
180,Master,,,,,,
181,Master,,,,,,
182,Master,1.0,1.0,1.0,5.9453125,5.945313,5.945313
183,Master,,,,,,
184,Master,,,,,,
185,Master,,,,,,
186,Master,9.0,9.0,9.0,7.45302726338,14.222674,1.048773
187,Master,,,,,,
188,Master,,,,,,
189,Master,,,,,,
190,Master,,,,,,
191,Master,,,,,,
192,Master,2.0,2.0,2.0,9.715613425926,18.613252,0.817975
193,Master,2.0,2.0,2.0,2.953831018519,5.702639,0.205023
194,Master,,,,,,
195,Master,,,,,,
196,Master,,,,,,
