,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Needs CR fixes,,,,,,
1,Needs CR fixes,,,,,,
2,Needs CR fixes,1.0,1.0,1.0,0.101782407407,0.101782,0.101782
3,Needs CR fixes,,,,,,
4,Needs CR fixes,2.0,2.0,2.0,0.431684027778,0.672361,0.191007
5,Needs CR fixes,,,,,,
6,Needs CR fixes,,,,,,
7,Needs CR fixes,,,,,,
8,Needs CR fixes,,,,,,
9,Needs CR fixes,,,,,,
10,Needs CR fixes,,,,,,
11,Needs CR fixes,,,,,,
12,Needs CR fixes,,,,,,
13,Needs CR fixes,2.0,4.0,4.0,0.552103587963,1.011238,0.002928
14,Needs CR fixes,,,,,,
15,Needs CR fixes,,,,,,
16,Needs CR fixes,,,,,,
17,Needs CR fixes,,,,,,
18,Needs CR fixes,7.0,9.0,9.0,6.270556841563,15.824919,0.00191
19,Needs CR fixes,,,,,,
20,Needs CR fixes,8.0,8.0,8.0,7.237084780093,28.639259,0.000347
21,Needs CR fixes,,,,,,
22,Needs CR fixes,2.0,2.0,2.0,27.273888888889,54.538958,0.008819
23,Needs CR fixes,,,,,,
24,Needs CR fixes,,,,,,
25,Needs CR fixes,,,,,,
26,Needs CR fixes,,,,,,
27,Needs CR fixes,,,,,,
28,Needs CR fixes,,,,,,
29,Needs CR fixes,,,,,,
30,Needs CR fixes,,,,,,
31,Needs CR fixes,,,,,,
32,Needs CR fixes,,,,,,
33,Needs CR fixes,,,,,,
34,Needs CR fixes,,,,,,
35,Needs CR fixes,4.0,4.0,4.0,0.472786458333,1.766424,4.6e-05
36,Needs CR fixes,,,,,,
37,Needs CR fixes,,,,,,
38,Needs CR fixes,,,,,,
39,Needs CR fixes,6.0,6.0,6.0,14.671631944444,53.596505,0.025
40,Needs CR fixes,,,,,,
41,Needs CR fixes,,,,,,
42,Needs CR fixes,,,,,,
43,Needs CR fixes,,,,,,
44,Needs CR fixes,,,,,,
45,Needs CR fixes,,,,,,
46,Needs CR fixes,,,,,,
47,Needs CR fixes,,,,,,
48,Needs CR fixes,,,,,,
49,Needs CR fixes,,,,,,
50,Needs CR fixes,,,,,,
51,Needs CR fixes,,,,,,
52,Needs CR fixes,,,,,,
53,Needs CR fixes,,,,,,
54,Needs CR fixes,,,,,,
55,Needs CR fixes,2.0,2.0,2.0,46.29703125,88.598542,3.995521
56,Needs CR fixes,,,,,,
57,Needs CR fixes,,,,,,
