,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Needs fixes,,,,,,
1,Needs fixes,,,,,,
2,Needs fixes,,,,,,
3,Needs fixes,,,,,,
4,Needs fixes,,,,,,
5,Needs fixes,,,,,,
6,Needs fixes,,,,,,
7,Needs fixes,,,,,,
8,Needs fixes,,,,,,
9,Needs fixes,,,,,,
10,Needs fixes,,,,,,
11,Needs fixes,,,,,,
12,Needs fixes,,,,,,
13,Needs fixes,,,,,,
14,Needs fixes,,,,,,
15,Needs fixes,,,,,,
16,Needs fixes,,,,,,
17,Needs fixes,,,,,,
18,Needs fixes,,,,,,
19,Needs fixes,,,,,,
20,Needs fixes,,,,,,
21,Needs fixes,,,,,,
22,Needs fixes,,,,,,
23,Needs fixes,,,,,,
24,Needs fixes,,,,,,
25,Needs fixes,,,,,,
26,Needs fixes,,,,,,
27,Needs fixes,,,,,,
28,Needs fixes,,,,,,
29,Needs fixes,,,,,,
30,Needs fixes,,,,,,
31,Needs fixes,,,,,,
32,Needs fixes,,,,,,
33,Needs fixes,,,,,,
34,Needs fixes,,,,,,
35,Needs fixes,,,,,,
36,Needs fixes,,,,,,
37,Needs fixes,,,,,,
38,Needs fixes,,,,,,
39,Needs fixes,,,,,,
40,Needs fixes,1.0,1.0,1.0,13.610474537037,13.610475,13.610475
41,Needs fixes,,,,,,
42,Needs fixes,,,,,,
43,Needs fixes,,,,,,
44,Needs fixes,,,,,,
45,Needs fixes,,,,,,
46,Needs fixes,,,,,,
47,Needs fixes,,,,,,
48,Needs fixes,,,,,,
49,Needs fixes,,,,,,
50,Needs fixes,,,,,,
51,Needs fixes,,,,,,
52,Needs fixes,,,,,,
53,Needs fixes,,,,,,
54,Needs fixes,,,,,,
55,Needs fixes,,,,,,
56,Needs fixes,,,,,,
57,Needs fixes,,,,,,
58,Needs fixes,,,,,,
59,Needs fixes,,,,,,
60,Needs fixes,,,,,,
61,Needs fixes,,,,,,
62,Needs fixes,,,,,,
63,Needs fixes,,,,,,
64,Needs fixes,,,,,,
65,Needs fixes,,,,,,
66,Needs fixes,,,,,,
67,Needs fixes,,,,,,
68,Needs fixes,,,,,,
69,Needs fixes,,,,,,
70,Needs fixes,,,,,,
71,Needs fixes,,,,,,
72,Needs fixes,,,,,,
73,Needs fixes,,,,,,
74,Needs fixes,,,,,,
75,Needs fixes,,,,,,
76,Needs fixes,,,,,,
77,Needs fixes,,,,,,
78,Needs fixes,,,,,,
