,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Needs PR fixes,,,,,,
1,Needs PR fixes,,,,,,
2,Needs PR fixes,,,,,,
3,Needs PR fixes,,,,,,
4,Needs PR fixes,,,,,,
5,Needs PR fixes,,,,,,
6,Needs PR fixes,,,,,,
7,Needs PR fixes,,,,,,
8,Needs PR fixes,,,,,,
9,Needs PR fixes,,,,,,
10,Needs PR fixes,,,,,,
11,Needs PR fixes,,,,,,
12,Needs PR fixes,,,,,,
13,Needs PR fixes,,,,,,
14,Needs PR fixes,,,,,,
15,Needs PR fixes,,,,,,
16,Needs PR fixes,,,,,,
17,Needs PR fixes,,,,,,
18,Needs PR fixes,,,,,,
19,Needs PR fixes,,,,,,
20,Needs PR fixes,,,,,,
21,Needs PR fixes,,,,,,
22,Needs PR fixes,,,,,,
23,Needs PR fixes,,,,,,
24,Needs PR fixes,,,,,,
25,Needs PR fixes,,,,,,
26,Needs PR fixes,,,,,,
27,Needs PR fixes,,,,,,
28,Needs PR fixes,,,,,,
29,Needs PR fixes,,,,,,
30,Needs PR fixes,,,,,,
31,Needs PR fixes,,,,,,
32,Needs PR fixes,,,,,,
33,Needs PR fixes,,,,,,
34,Needs PR fixes,,,,,,
35,Needs PR fixes,,,,,,
36,Needs PR fixes,,,,,,
37,Needs PR fixes,,,,,,
38,Needs PR fixes,,,,,,
39,Needs PR fixes,,,,,,
40,Needs PR fixes,,,,,,
41,Needs PR fixes,,,,,,
42,Needs PR fixes,,,,,,
43,Needs PR fixes,,,,,,
44,Needs PR fixes,,,,,,
45,Needs PR fixes,,,,,,
46,Needs PR fixes,,,,,,
47,Needs PR fixes,,,,,,
48,Needs PR fixes,,,,,,
49,Needs PR fixes,,,,,,
50,Needs PR fixes,,,,,,
51,Needs PR fixes,,,,,,
52,Needs PR fixes,,,,,,
53,Needs PR fixes,,,,,,
54,Needs PR fixes,,,,,,
55,Needs PR fixes,,,,,,
56,Needs PR fixes,,,,,,
57,Needs PR fixes,,,,,,
58,Needs PR fixes,,,,,,
59,Needs PR fixes,,,,,,
60,Needs PR fixes,,,,,,
61,Needs PR fixes,,,,,,
62,Needs PR fixes,,,,,,
63,Needs PR fixes,,,,,,
64,Needs PR fixes,,,,,,
65,Needs PR fixes,,,,,,
66,Needs PR fixes,,,,,,
67,Needs PR fixes,,,,,,
68,Needs PR fixes,,,,,,
69,Needs PR fixes,,,,,,
70,Needs PR fixes,,,,,,
71,Needs PR fixes,,,,,,
72,Needs PR fixes,,,,,,
73,Needs PR fixes,,,,,,
74,Needs PR fixes,,,,,,
75,Needs PR fixes,,,,,,
76,Needs PR fixes,,,,,,
77,Needs PR fixes,,,,,,
78,Needs PR fixes,,,,,,
79,Needs PR fixes,,,,,,
80,Needs PR fixes,,,,,,
81,Needs PR fixes,,,,,,
82,Needs PR fixes,,,,,,
83,Needs PR fixes,,,,,,
84,Needs PR fixes,,,,,,
85,Needs PR fixes,,,,,,
86,Needs PR fixes,,,,,,
87,Needs PR fixes,,,,,,
88,Needs PR fixes,,,,,,
89,Needs PR fixes,,,,,,
90,Needs PR fixes,,,,,,
91,Needs PR fixes,,,,,,
92,Needs PR fixes,,,,,,
93,Needs PR fixes,,,,,,
94,Needs PR fixes,,,,,,
95,Needs PR fixes,,,,,,
96,Needs PR fixes,,,,,,
97,Needs PR fixes,,,,,,
98,Needs PR fixes,,,,,,
99,Needs PR fixes,,,,,,
100,Needs PR fixes,,,,,,
101,Needs PR fixes,,,,,,
