,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Needs QA Feedback,,,,,,
1,Needs QA Feedback,,,,,,
2,Needs QA Feedback,,,,,,
3,Needs QA Feedback,,,,,,
4,Needs QA Feedback,,,,,,
5,Needs QA Feedback,,,,,,
6,Needs QA Feedback,,,,,,
7,Needs QA Feedback,,,,,,
8,Needs QA Feedback,,,,,,
9,Needs QA Feedback,,,,,,
10,Needs QA Feedback,,,,,,
11,Needs QA Feedback,,,,,,
12,Needs QA Feedback,,,,,,
13,Needs QA Feedback,,,,,,
14,Needs QA Feedback,,,,,,
15,Needs QA Feedback,,,,,,
16,Needs QA Feedback,,,,,,
17,Needs QA Feedback,,,,,,
18,Needs QA Feedback,,,,,,
19,Needs QA Feedback,,,,,,
20,Needs QA Feedback,,,,,,
21,Needs QA Feedback,,,,,,
22,Needs QA Feedback,,,,,,
23,Needs QA Feedback,,,,,,
24,Needs QA Feedback,,,,,,
25,Needs QA Feedback,,,,,,
26,Needs QA Feedback,,,,,,
27,Needs QA Feedback,,,,,,
28,Needs QA Feedback,,,,,,
29,Needs QA Feedback,,,,,,
30,Needs QA Feedback,,,,,,
31,Needs QA Feedback,,,,,,
32,Needs QA Feedback,,,,,,
33,Needs QA Feedback,,,,,,
34,Needs QA Feedback,,,,,,
35,Needs QA Feedback,,,,,,
36,Needs QA Feedback,,,,,,
37,Needs QA Feedback,,,,,,
38,Needs QA Feedback,,,,,,
39,Needs QA Feedback,,,,,,
40,Needs QA Feedback,,,,,,
41,Needs QA Feedback,,,,,,
42,Needs QA Feedback,,,,,,
43,Needs QA Feedback,,,,,,
44,Needs QA Feedback,,,,,,
45,Needs QA Feedback,,,,,,
46,Needs QA Feedback,,,,,,
47,Needs QA Feedback,,,,,,
48,Needs QA Feedback,,,,,,
49,Needs QA Feedback,,,,,,
50,Needs QA Feedback,,,,,,
51,Needs QA Feedback,,,,,,
52,Needs QA Feedback,,,,,,
53,Needs QA Feedback,,,,,,
54,Needs QA Feedback,,,,,,
55,Needs QA Feedback,,,,,,
56,Needs QA Feedback,,,,,,
57,Needs QA Feedback,,,,,,
58,Needs QA Feedback,,,,,,
59,Needs QA Feedback,,,,,,
60,Needs QA Feedback,,,,,,
61,Needs QA Feedback,,,,,,
62,Needs QA Feedback,,,,,,
63,Needs QA Feedback,,,,,,
64,Needs QA Feedback,,,,,,
65,Needs QA Feedback,,,,,,
66,Needs QA Feedback,,,,,,
67,Needs QA Feedback,,,,,,
68,Needs QA Feedback,,,,,,
69,Needs QA Feedback,,,,,,
70,Needs QA Feedback,,,,,,
71,Needs QA Feedback,,,,,,
72,Needs QA Feedback,,,,,,
73,Needs QA Feedback,,,,,,
74,Needs QA Feedback,,,,,,
75,Needs QA Feedback,,,,,,
76,Needs QA Feedback,,,,,,
77,Needs QA Feedback,,,,,,
78,Needs QA Feedback,,,,,,
79,Needs QA Feedback,,,,,,
80,Needs QA Feedback,,,,,,
81,Needs QA Feedback,,,,,,
82,Needs QA Feedback,,,,,,
83,Needs QA Feedback,,,,,,
84,Needs QA Feedback,,,,,,
85,Needs QA Feedback,,,,,,
86,Needs QA Feedback,,,,,,
