,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Needs QA fixes,,,,,,
1,Needs QA fixes,,,,,,
2,Needs QA fixes,,,,,,
3,Needs QA fixes,,,,,,
4,Needs QA fixes,,,,,,
5,Needs QA fixes,,,,,,
6,Needs QA fixes,,,,,,
7,Needs QA fixes,,,,,,
8,Needs QA fixes,,,,,,
9,Needs QA fixes,,,,,,
10,Needs QA fixes,,,,,,
11,Needs QA fixes,,,,,,
12,Needs QA fixes,,,,,,
13,Needs QA fixes,5.0,6.0,6.0,3.935324074074,11.061678,0.065891
14,Needs QA fixes,,,,,,
15,Needs QA fixes,,,,,,
16,Needs QA fixes,,,,,,
17,Needs QA fixes,2.0,2.0,2.0,2.260972222222,3.852604,0.66934
18,Needs QA fixes,3.0,4.0,4.0,75.996195023148,278.47375,0.603299
19,Needs QA fixes,,,,,,
20,Needs QA fixes,,,,,,
21,Needs QA fixes,,,,,,
22,Needs QA fixes,1.0,1.0,1.0,4.080925925926,4.080926,4.080926
23,Needs QA fixes,,,,,,
24,Needs QA fixes,,,,,,
25,Needs QA fixes,,,,,,
26,Needs QA fixes,,,,,,
27,Needs QA fixes,,,,,,
28,Needs QA fixes,,,,,,
29,Needs QA fixes,,,,,,
30,Needs QA fixes,,,,,,
31,Needs QA fixes,,,,,,
32,Needs QA fixes,,,,,,
33,Needs QA fixes,,,,,,
34,Needs QA fixes,,,,,,
35,Needs QA fixes,1.0,2.0,2.0,4.115763888889,4.173519,4.058009
36,Needs QA fixes,,,,,,
37,Needs QA fixes,,,,,,
38,Needs QA fixes,,,,,,
39,Needs QA fixes,5.0,5.0,5.0,95.046388888889,335.630428,0.021933
40,Needs QA fixes,,,,,,
41,Needs QA fixes,,,,,,
42,Needs QA fixes,,,,,,
43,Needs QA fixes,,,,,,
44,Needs QA fixes,,,,,,
45,Needs QA fixes,,,,,,
46,Needs QA fixes,,,,,,
47,Needs QA fixes,,,,,,
48,Needs QA fixes,,,,,,
49,Needs QA fixes,,,,,,
50,Needs QA fixes,,,,,,
51,Needs QA fixes,,,,,,
52,Needs QA fixes,,,,,,
53,Needs QA fixes,,,,,,
54,Needs QA fixes,,,,,,
55,Needs QA fixes,1.0,1.0,1.0,1.041296296296,1.041296,1.041296
56,Needs QA fixes,,,,,,
57,Needs QA fixes,,,,,,
58,Needs QA fixes,,,,,,
59,Needs QA fixes,,,,,,
60,Needs QA fixes,,,,,,
61,Needs QA fixes,1.0,3.0,3.0,2.02494598765,6.016215,0.001007
62,Needs QA fixes,,,,,,
63,Needs QA fixes,,,,,,
64,Needs QA fixes,,,,,,
65,Needs QA fixes,,,,,,
66,Needs QA fixes,3.0,3.0,3.0,43.259239969132,119.619595,0.029074
67,Needs QA fixes,,,,,,
68,Needs QA fixes,,,,,,
69,Needs QA fixes,,,,,,
70,Needs QA fixes,5.0,7.0,7.0,18.889995039688,125.468102,0.023461
71,Needs QA fixes,,,,,,
72,Needs QA fixes,,,,,,
73,Needs QA fixes,,,,,,
74,Needs QA fixes,,,,,,
75,Needs QA fixes,,,,,,
76,Needs QA fixes,1.0,1.0,1.0,0.096122685185,0.096123,0.096123
77,Needs QA fixes,,,,,,
78,Needs QA fixes,,,,,,
79,Needs QA fixes,,,,,,
80,Needs QA fixes,,,,,,
81,Needs QA fixes,,,,,,
82,Needs QA fixes,,,,,,
83,Needs QA fixes,,,,,,
84,Needs QA fixes,,,,,,
85,Needs QA fixes,,,,,,
86,Needs QA fixes,,,,,,
87,Needs QA fixes,1.0,1.0,1.0,0.178553240741,0.178553,0.178553
88,Needs QA fixes,,,,,,
89,Needs QA fixes,,,,,,
90,Needs QA fixes,,,,,,
91,Needs QA fixes,,,,,,
92,Needs QA fixes,,,,,,
93,Needs QA fixes,,,,,,
94,Needs QA fixes,,,,,,
95,Needs QA fixes,,,,,,
96,Needs QA fixes,,,,,,
97,Needs QA fixes,,,,,,
98,Needs QA fixes,,,,,,
99,Needs QA fixes,,,,,,
100,Needs QA fixes,,,,,,
101,Needs QA fixes,,,,,,
102,Needs QA fixes,,,,,,
103,Needs QA fixes,,,,,,
104,Needs QA fixes,,,,,,
105,Needs QA fixes,,,,,,
106,Needs QA fixes,,,,,,
107,Needs QA fixes,1.0,1.0,1.0,28.688113425926,28.688113,28.688113
108,Needs QA fixes,4.0,5.0,5.0,0.12225,0.398044,0.029271
109,Needs QA fixes,8.0,12.0,12.0,2.985593171296,12.423634,0.048102
110,Needs QA fixes,1.0,1.0,1.0,0.01181712963,0.011817,0.011817
111,Needs QA fixes,,,,,,
112,Needs QA fixes,4.0,5.0,5.0,9.422291666667,46.452882,0.003542
113,Needs QA fixes,,,,,,
114,Needs QA fixes,,,,,,
115,Needs QA fixes,,,,,,
116,Needs QA fixes,3.0,3.0,3.0,114.713738425926,335.57603,3.323032
117,Needs QA fixes,9.0,16.0,16.0,18.750915798611,204.4775,0.074329
118,Needs QA fixes,3.0,4.0,4.0,9.790431134259,30.888646,0.000104
119,Needs QA fixes,4.0,6.0,6.0,0.376014660498,1.093333,0.00956
120,Needs QA fixes,1.0,3.0,3.0,5.145783179016,12.803924,0.812639
121,Needs QA fixes,,,,,,
122,Needs QA fixes,1.0,1.0,1.0,2.811631944444,2.811632,2.811632
123,Needs QA fixes,1.0,1.0,1.0,104.460451388889,104.460451,104.460451
124,Needs QA fixes,,,,,,
125,Needs QA fixes,,,,,,
126,Needs QA fixes,,,,,,
127,Needs QA fixes,,,,,,
128,Needs QA fixes,,,,,,
129,Needs QA fixes,1.0,1.0,1.0,110.6728125,110.672813,110.672813
130,Needs QA fixes,1.0,1.0,1.0,0.043275462963,0.043275,0.043275
131,Needs QA fixes,,,,,,
132,Needs QA fixes,,,,,,
133,Needs QA fixes,3.0,3.0,3.0,123.232202932095,250.666296,13.558438
134,Needs QA fixes,,,,,,
135,Needs QA fixes,,,,,,
136,Needs QA fixes,,,,,,
137,Needs QA fixes,,,,,,
138,Needs QA fixes,,,,,,
139,Needs QA fixes,,,,,,
140,Needs QA fixes,,,,,,
141,Needs QA fixes,,,,,,
142,Needs QA fixes,,,,,,
143,Needs QA fixes,,,,,,
144,Needs QA fixes,,,,,,
145,Needs QA fixes,,,,,,
146,Needs QA fixes,,,,,,
147,Needs QA fixes,,,,,,
148,Needs QA fixes,,,,,,
149,Needs QA fixes,,,,,,
150,Needs QA fixes,,,,,,
151,Needs QA fixes,,,,,,
152,Needs QA fixes,,,,,,
153,Needs QA fixes,,,,,,
154,Needs QA fixes,,,,,,
155,Needs QA fixes,,,,,,
156,Needs QA fixes,5.0,6.0,6.0,107.849664351852,361.493322,0.064363
157,Needs QA fixes,,,,,,
158,Needs QA fixes,3.0,3.0,3.0,0.091886574074,0.128704,0.035185
159,Needs QA fixes,,,,,,
160,Needs QA fixes,,,,,,
161,Needs QA fixes,,,,,,
162,Needs QA fixes,,,,,,
163,Needs QA fixes,,,,,,
164,Needs QA fixes,2.0,2.0,2.0,0.207239583333,0.413947,0.000532
165,Needs QA fixes,,,,,,
166,Needs QA fixes,,,,,,
167,Needs QA fixes,,,,,,
168,Needs QA fixes,,,,,,
169,Needs QA fixes,5.0,6.0,6.0,8.946124614201,23.109792,0.184248
170,Needs QA fixes,,,,,,
171,Needs QA fixes,,,,,,
172,Needs QA fixes,,,,,,
173,Needs QA fixes,,,,,,
174,Needs QA fixes,,,,,,
175,Needs QA fixes,,,,,,
176,Needs QA fixes,2.0,3.0,3.0,47.505976080243,134.491146,3.970394
177,Needs QA fixes,,,,,,
178,Needs QA fixes,3.0,5.0,5.0,2.223032407407,4.879525,0.175046
179,Needs QA fixes,,,,,,
180,Needs QA fixes,,,,,,
181,Needs QA fixes,,,,,,
182,Needs QA fixes,1.0,1.0,1.0,0.133425925926,0.133426,0.133426
183,Needs QA fixes,,,,,,
184,Needs QA fixes,,,,,,
185,Needs QA fixes,,,,,,
186,Needs QA fixes,1.0,1.0,1.0,0.441539351852,0.441539,0.441539
187,Needs QA fixes,,,,,,
188,Needs QA fixes,,,,,,
189,Needs QA fixes,,,,,,
190,Needs QA fixes,,,,,,
191,Needs QA fixes,,,,,,
192,Needs QA fixes,3.0,6.0,6.0,1.826599151238,3.771481,0.111736
193,Needs QA fixes,3.0,5.0,5.0,3.461652777778,8.386852,0.405428
194,Needs QA fixes,,,,,,
195,Needs QA fixes,,,,,,
196,Needs QA fixes,,,,,,
