,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Needs review feedback,,,,,,
1,Needs review feedback,,,,,,
2,Needs review feedback,,,,,,
3,Needs review feedback,,,,,,
4,Needs review feedback,,,,,,
5,Needs review feedback,,,,,,
6,Needs review feedback,2.0,2.0,2.0,0.242326388889,0.390104,0.094549
7,Needs review feedback,,,,,,
8,Needs review feedback,,,,,,
9,Needs review feedback,,,,,,
10,Needs review feedback,,,,,,
11,Needs review feedback,,,,,,
12,Needs review feedback,,,,,,
13,Needs review feedback,1.0,1.0,1.0,0.011597222222,0.011597,0.011597
14,Needs review feedback,,,,,,
15,Needs review feedback,,,,,,
16,Needs review feedback,,,,,,
17,Needs review feedback,,,,,,
18,Needs review feedback,,,,,,
19,Needs review feedback,5.0,6.0,6.0,5.276363811725,20.967778,2.3e-05
20,Needs review feedback,,,,,,
21,Needs review feedback,,,,,,
22,Needs review feedback,,,,,,
23,Needs review feedback,,,,,,
24,Needs review feedback,,,,,,
25,Needs review feedback,,,,,,
26,Needs review feedback,,,,,,
27,Needs review feedback,,,,,,
28,Needs review feedback,,,,,,
29,Needs review feedback,,,,,,
30,Needs review feedback,,,,,,
31,Needs review feedback,,,,,,
32,Needs review feedback,,,,,,
33,Needs review feedback,,,,,,
34,Needs review feedback,,,,,,
35,Needs review feedback,,,,,,
36,Needs review feedback,,,,,,
37,Needs review feedback,,,,,,
38,Needs review feedback,,,,,,
39,Needs review feedback,,,,,,
40,Needs review feedback,,,,,,
41,Needs review feedback,,,,,,
42,Needs review feedback,,,,,,
43,Needs review feedback,,,,,,
44,Needs review feedback,,,,,,
45,Needs review feedback,1.0,1.0,1.0,21.52900462963,21.529005,21.529005
46,Needs review feedback,,,,,,
47,Needs review feedback,,,,,,
48,Needs review feedback,1.0,1.0,1.0,13.532986111111,13.532986,13.532986
49,Needs review feedback,,,,,,
50,Needs review feedback,,,,,,
51,Needs review feedback,,,,,,
52,Needs review feedback,,,,,,
53,Needs review feedback,,,,,,
54,Needs review feedback,,,,,,
55,Needs review feedback,,,,,,
56,Needs review feedback,,,,,,
57,Needs review feedback,,,,,,
58,Needs review feedback,,,,,,
59,Needs review feedback,,,,,,
60,Needs review feedback,,,,,,
61,Needs review feedback,,,,,,
62,Needs review feedback,,,,,,
63,Needs review feedback,,,,,,
64,Needs review feedback,,,,,,
65,Needs review feedback,,,,,,
66,Needs review feedback,,,,,,
67,Needs review feedback,,,,,,
68,Needs review feedback,,,,,,
69,Needs review feedback,,,,,,
70,Needs review feedback,,,,,,
71,Needs review feedback,,,,,,
72,Needs review feedback,,,,,,
73,Needs review feedback,1.0,1.0,1.0,0.918773148148,0.918773,0.918773
74,Needs review feedback,,,,,,
75,Needs review feedback,,,,,,
76,Needs review feedback,,,,,,
77,Needs review feedback,1.0,1.0,1.0,0.025011574074,0.025012,0.025012
78,Needs review feedback,,,,,,
79,Needs review feedback,,,,,,
80,Needs review feedback,,,,,,
81,Needs review feedback,,,,,,
82,Needs review feedback,,,,,,
83,Needs review feedback,1.0,1.0,1.0,5.38880787037,5.388808,5.388808
84,Needs review feedback,,,,,,
85,Needs review feedback,,,,,,
86,Needs review feedback,1.0,1.0,1.0,0.023564814815,0.023565,0.023565
87,Needs review feedback,,,,,,
88,Needs review feedback,2.0,2.0,2.0,2.090868055556,4.164502,0.017234
89,Needs review feedback,,,,,,
90,Needs review feedback,,,,,,
91,Needs review feedback,,,,,,
92,Needs review feedback,1.0,1.0,1.0,0.002581018519,0.002581,0.002581
93,Needs review feedback,,,,,,
94,Needs review feedback,,,,,,
95,Needs review feedback,,,,,,
96,Needs review feedback,,,,,,
97,Needs review feedback,,,,,,
98,Needs review feedback,,,,,,
99,Needs review feedback,,,,,,
100,Needs review feedback,,,,,,
101,Needs review feedback,,,,,,
102,Needs review feedback,,,,,,
103,Needs review feedback,,,,,,
104,Needs review feedback,,,,,,
105,Needs review feedback,,,,,,
106,Needs review feedback,,,,,,
107,Needs review feedback,,,,,,
108,Needs review feedback,,,,,,
109,Needs review feedback,,,,,,
110,Needs review feedback,2.0,2.0,2.0,0.055677083333,0.093773,0.017581
111,Needs review feedback,1.0,1.0,1.0,0.023553240741,0.023553,0.023553
112,Needs review feedback,,,,,,
113,Needs review feedback,1.0,1.0,1.0,0.085543981481,0.085544,0.085544
114,Needs review feedback,,,,,,
115,Needs review feedback,,,,,,
116,Needs review feedback,,,,,,
117,Needs review feedback,,,,,,
118,Needs review feedback,2.0,2.0,2.0,2.223038194444,4.440012,0.006065
119,Needs review feedback,,,,,,
120,Needs review feedback,,,,,,
121,Needs review feedback,,,,,,
122,Needs review feedback,,,,,,
123,Needs review feedback,,,,,,
124,Needs review feedback,,,,,,
125,Needs review feedback,,,,,,
126,Needs review feedback,,,,,,
127,Needs review feedback,,,,,,
128,Needs review feedback,,,,,,
129,Needs review feedback,,,,,,
130,Needs review feedback,,,,,,
131,Needs review feedback,,,,,,
132,Needs review feedback,,,,,,
133,Needs review feedback,,,,,,
134,Needs review feedback,,,,,,
135,Needs review feedback,,,,,,
136,Needs review feedback,,,,,,
137,Needs review feedback,,,,,,
138,Needs review feedback,3.0,3.0,3.0,0.228159722222,0.63809,0.001539
139,Needs review feedback,,,,,,
140,Needs review feedback,,,,,,
141,Needs review feedback,,,,,,
142,Needs review feedback,,,,,,
143,Needs review feedback,,,,,,
144,Needs review feedback,,,,,,
145,Needs review feedback,,,,,,
146,Needs review feedback,,,,,,
147,Needs review feedback,,,,,,
148,Needs review feedback,3.0,3.0,3.0,4.871751543206,12.435822,0.005058
149,Needs review feedback,,,,,,
150,Needs review feedback,,,,,,
151,Needs review feedback,,,,,,
152,Needs review feedback,,,,,,
153,Needs review feedback,,,,,,
154,Needs review feedback,,,,,,
155,Needs review feedback,,,,,,
156,Needs review feedback,,,,,,
157,Needs review feedback,,,,,,
158,Needs review feedback,,,,,,
159,Needs review feedback,,,,,,
160,Needs review feedback,,,,,,
161,Needs review feedback,,,,,,
162,Needs review feedback,,,,,,
163,Needs review feedback,,,,,,
164,Needs review feedback,1.0,2.0,2.0,0.47693287037,0.881111,0.072755
165,Needs review feedback,,,,,,
166,Needs review feedback,,,,,,
167,Needs review feedback,,,,,,
168,Needs review feedback,,,,,,
169,Needs review feedback,,,,,,
170,Needs review feedback,,,,,,
171,Needs review feedback,,,,,,
172,Needs review feedback,,,,,,
173,Needs review feedback,,,,,,
174,Needs review feedback,,,,,,
175,Needs review feedback,,,,,,
176,Needs review feedback,,,,,,
177,Needs review feedback,,,,,,
178,Needs review feedback,,,,,,
179,Needs review feedback,,,,,,
180,Needs review feedback,3.0,5.0,5.0,4.124127314815,18.08375,4.6e-05
181,Needs review feedback,,,,,,
182,Needs review feedback,,,,,,
183,Needs review feedback,,,,,,
184,Needs review feedback,,,,,,
185,Needs review feedback,,,,,,
186,Needs review feedback,1.0,1.0,1.0,1.784976851852,1.784977,1.784977
187,Needs review feedback,4.0,4.0,4.0,4.519693287037,12.657315,1.038958
188,Needs review feedback,,,,,,
189,Needs review feedback,,,,,,
190,Needs review feedback,,,,,,
191,Needs review feedback,,,,,,
192,Needs review feedback,,,,,,
193,Needs review feedback,,,,,,
194,Needs review feedback,,,,,,
195,Needs review feedback,,,,,,
196,Needs review feedback,,,,,,
