,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Needs SR feedback,,,,,,
1,Needs SR feedback,,,,,,
2,Needs SR feedback,,,,,,
3,Needs SR feedback,,,,,,
4,Needs SR feedback,,,,,,
5,Needs SR feedback,,,,,,
6,Needs SR feedback,,,,,,
7,Needs SR feedback,,,,,,
8,Needs SR feedback,,,,,,
9,Needs SR feedback,,,,,,
10,Needs SR feedback,,,,,,
11,Needs SR feedback,,,,,,
12,Needs SR feedback,,,,,,
13,Needs SR feedback,,,,,,
14,Needs SR feedback,,,,,,
15,Needs SR feedback,,,,,,
16,Needs SR feedback,,,,,,
17,Needs SR feedback,,,,,,
18,Needs SR feedback,,,,,,
19,Needs SR feedback,,,,,,
20,Needs SR feedback,,,,,,
21,Needs SR feedback,,,,,,
22,Needs SR feedback,,,,,,
23,Needs SR feedback,,,,,,
24,Needs SR feedback,,,,,,
25,Needs SR feedback,,,,,,
26,Needs SR feedback,,,,,,
27,Needs SR feedback,,,,,,
28,Needs SR feedback,,,,,,
29,Needs SR feedback,,,,,,
30,Needs SR feedback,,,,,,
31,Needs SR feedback,,,,,,
32,Needs SR feedback,,,,,,
33,Needs SR feedback,,,,,,
34,Needs SR feedback,,,,,,
35,Needs SR feedback,,,,,,
36,Needs SR feedback,,,,,,
37,Needs SR feedback,,,,,,
38,Needs SR feedback,,,,,,
39,Needs SR feedback,,,,,,
40,Needs SR feedback,,,,,,
41,Needs SR feedback,,,,,,
42,Needs SR feedback,,,,,,
43,Needs SR feedback,,,,,,
44,Needs SR feedback,,,,,,
45,Needs SR feedback,,,,,,
46,Needs SR feedback,,,,,,
47,Needs SR feedback,,,,,,
48,Needs SR feedback,,,,,,
49,Needs SR feedback,,,,,,
50,Needs SR feedback,,,,,,
51,Needs SR feedback,,,,,,
52,Needs SR feedback,,,,,,
53,Needs SR feedback,,,,,,
54,Needs SR feedback,,,,,,
55,Needs SR feedback,,,,,,
56,Needs SR feedback,,,,,,
57,Needs SR feedback,,,,,,
58,Needs SR feedback,,,,,,
59,Needs SR feedback,,,,,,
60,Needs SR feedback,,,,,,
61,Needs SR feedback,,,,,,
62,Needs SR feedback,,,,,,
63,Needs SR feedback,,,,,,
64,Needs SR feedback,,,,,,
65,Needs SR feedback,,,,,,
66,Needs SR feedback,,,,,,
67,Needs SR feedback,,,,,,
68,Needs SR feedback,,,,,,
69,Needs SR feedback,,,,,,
70,Needs SR feedback,1.0,2.0,2.0,1.166186342593,2.164688,0.167685
71,Needs SR feedback,,,,,,
72,Needs SR feedback,,,,,,
73,Needs SR feedback,,,,,,
74,Needs SR feedback,,,,,,
75,Needs SR feedback,,,,,,
76,Needs SR feedback,,,,,,
77,Needs SR feedback,,,,,,
78,Needs SR feedback,,,,,,
79,Needs SR feedback,,,,,,
80,Needs SR feedback,,,,,,
81,Needs SR feedback,,,,,,
82,Needs SR feedback,,,,,,
83,Needs SR feedback,,,,,,
84,Needs SR feedback,,,,,,
85,Needs SR feedback,,,,,,
86,Needs SR feedback,,,,,,
87,Needs SR feedback,,,,,,
88,Needs SR feedback,,,,,,
89,Needs SR feedback,,,,,,
90,Needs SR feedback,,,,,,
91,Needs SR feedback,,,,,,
92,Needs SR feedback,,,,,,
93,Needs SR feedback,,,,,,
94,Needs SR feedback,,,,,,
95,Needs SR feedback,,,,,,
96,Needs SR feedback,,,,,,
97,Needs SR feedback,,,,,,
98,Needs SR feedback,,,,,,
