,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,On Hold,,,,,,
1,On Hold,1.0,1.0,1.0,7.969513888889,7.969514,7.969514
2,On Hold,,,,,,
3,On Hold,,,,,,
4,On Hold,1.0,1.0,1.0,315.631354166667,315.631354,315.631354
5,On Hold,,,,,,
6,On Hold,,,,,,
7,On Hold,2.0,2.0,2.0,6.037517361111,7.081447,4.993588
8,On Hold,,,,,,
9,On Hold,,,,,,
10,On Hold,,,,,,
11,On Hold,,,,,,
12,On Hold,,,,,,
13,On Hold,,,,,,
14,On Hold,,,,,,
15,On Hold,,,,,,
16,On Hold,,,,,,
17,On Hold,,,,,,
18,On Hold,3.0,3.0,3.0,105.553966049387,271.466551,22.586042
19,On Hold,,,,,,
20,On Hold,,,,,,
21,On Hold,,,,,,
22,On Hold,,,,,,
23,On Hold,,,,,,
24,On Hold,,,,,,
25,On Hold,,,,,,
26,On Hold,,,,,,
27,On Hold,,,,,,
28,On Hold,,,,,,
29,On Hold,,,,,,
30,On Hold,,,,,,
31,On Hold,,,,,,
32,On Hold,,,,,,
33,On Hold,,,,,,
34,On Hold,,,,,,
35,On Hold,,,,,,
36,On Hold,,,,,,
37,On Hold,,,,,,
38,On Hold,,,,,,
39,On Hold,1.0,2.0,2.0,79.134554398148,103.514201,54.754907
40,On Hold,,,,,,
41,On Hold,,,,,,
42,On Hold,,,,,,
43,On Hold,,,,,,
44,On Hold,,,,,,
45,On Hold,,,,,,
46,On Hold,,,,,,
47,On Hold,,,,,,
48,On Hold,,,,,,
49,On Hold,,,,,,
50,On Hold,,,,,,
51,On Hold,,,,,,
52,On Hold,,,,,,
53,On Hold,,,,,,
54,On Hold,1.0,1.0,1.0,21.300266203704,21.300266,21.300266
55,On Hold,,,,,,
56,On Hold,1.0,1.0,1.0,0.076666666667,0.076667,0.076667
57,On Hold,,,,,,
58,On Hold,,,,,,
59,On Hold,,,,,,
60,On Hold,,,,,,
61,On Hold,,,,,,
62,On Hold,,,,,,
63,On Hold,,,,,,
64,On Hold,,,,,,
65,On Hold,,,,,,
66,On Hold,,,,,,
67,On Hold,,,,,,
68,On Hold,,,,,,
69,On Hold,,,,,,
70,On Hold,,,,,,
71,On Hold,,,,,,
72,On Hold,,,,,,
73,On Hold,,,,,,
74,On Hold,,,,,,
75,On Hold,,,,,,
76,On Hold,,,,,,
77,On Hold,,,,,,
78,On Hold,,,,,,
79,On Hold,,,,,,
80,On Hold,,,,,,
81,On Hold,,,,,,
82,On Hold,,,,,,
83,On Hold,,,,,,
84,On Hold,,,,,,
85,On Hold,,,,,,
86,On Hold,,,,,,
87,On Hold,1.0,1.0,1.0,69.679768518519,69.679769,69.679769
88,On Hold,,,,,,
89,On Hold,,,,,,
90,On Hold,,,,,,
91,On Hold,,,,,,
92,On Hold,,,,,,
93,On Hold,,,,,,
94,On Hold,,,,,,
95,On Hold,,,,,,
96,On Hold,,,,,,
97,On Hold,,,,,,
98,On Hold,,,,,,
99,On Hold,,,,,,
100,On Hold,,,,,,
101,On Hold,,,,,,
102,On Hold,,,,,,
103,On Hold,,,,,,
104,On Hold,,,,,,
105,On Hold,,,,,,
106,On Hold,,,,,,
107,On Hold,,,,,,
108,On Hold,,,,,,
109,On Hold,,,,,,
110,On Hold,1.0,1.0,1.0,90.460347222222,90.460347,90.460347
111,On Hold,,,,,,
112,On Hold,,,,,,
113,On Hold,,,,,,
114,On Hold,,,,,,
115,On Hold,,,,,,
116,On Hold,,,,,,
117,On Hold,1.0,1.0,1.0,3.611388888889,3.611389,3.611389
118,On Hold,,,,,,
119,On Hold,,,,,,
120,On Hold,1.0,1.0,1.0,4.04244212963,4.042442,4.042442
121,On Hold,,,,,,
122,On Hold,,,,,,
123,On Hold,,,,,,
124,On Hold,,,,,,
125,On Hold,,,,,,
126,On Hold,,,,,,
127,On Hold,,,,,,
128,On Hold,,,,,,
129,On Hold,,,,,,
130,On Hold,,,,,,
131,On Hold,,,,,,
132,On Hold,,,,,,
133,On Hold,5.0,5.0,5.0,76.105446759259,308.476296,0.048102
134,On Hold,,,,,,
135,On Hold,,,,,,
136,On Hold,,,,,,
137,On Hold,,,,,,
138,On Hold,,,,,,
139,On Hold,,,,,,
140,On Hold,,,,,,
141,On Hold,,,,,,
142,On Hold,,,,,,
143,On Hold,,,,,,
144,On Hold,,,,,,
145,On Hold,,,,,,
146,On Hold,,,,,,
147,On Hold,,,,,,
148,On Hold,,,,,,
149,On Hold,,,,,,
150,On Hold,,,,,,
151,On Hold,,,,,,
152,On Hold,,,,,,
153,On Hold,,,,,,
154,On Hold,,,,,,
155,On Hold,,,,,,
156,On Hold,,,,,,
157,On Hold,,,,,,
158,On Hold,,,,,,
159,On Hold,,,,,,
160,On Hold,,,,,,
161,On Hold,,,,,,
162,On Hold,,,,,,
163,On Hold,,,,,,
164,On Hold,,,,,,
165,On Hold,,,,,,
166,On Hold,,,,,,
167,On Hold,,,,,,
168,On Hold,,,,,,
169,On Hold,,,,,,
170,On Hold,,,,,,
171,On Hold,,,,,,
172,On Hold,,,,,,
173,On Hold,,,,,,
174,On Hold,,,,,,
175,On Hold,,,,,,
176,On Hold,1.0,1.0,1.0,49.438865740741,49.438866,49.438866
177,On Hold,,,,,,
178,On Hold,5.0,5.0,5.0,9.137905092593,11.001771,7.889375
179,On Hold,,,,,,
180,On Hold,,,,,,
181,On Hold,,,,,,
182,On Hold,,,,,,
183,On Hold,,,,,,
184,On Hold,,,,,,
185,On Hold,,,,,,
186,On Hold,1.0,1.0,1.0,25.54837962963,25.54838,25.54838
187,On Hold,,,,,,
188,On Hold,,,,,,
189,On Hold,,,,,,
190,On Hold,,,,,,
191,On Hold,,,,,,
192,On Hold,,,,,,
193,On Hold,,,,,,
194,On Hold,,,,,,
195,On Hold,,,,,,
196,On Hold,,,,,,
