,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Pending Approval,,,,,,
1,Pending Approval,,,,,,
2,Pending Approval,,,,,,
3,Pending Approval,,,,,,
4,Pending Approval,,,,,,
5,Pending Approval,,,,,,
6,Pending Approval,,,,,,
7,Pending Approval,,,,,,
8,Pending Approval,,,,,,
9,Pending Approval,,,,,,
10,Pending Approval,,,,,,
11,Pending Approval,,,,,,
12,Pending Approval,,,,,,
13,Pending Approval,,,,,,
14,Pending Approval,,,,,,
15,Pending Approval,,,,,,
16,Pending Approval,,,,,,
17,Pending Approval,,,,,,
18,Pending Approval,,,,,,
19,Pending Approval,,,,,,
20,Pending Approval,,,,,,
21,Pending Approval,,,,,,
22,Pending Approval,,,,,,
23,Pending Approval,,,,,,
24,Pending Approval,,,,,,
25,Pending Approval,,,,,,
26,Pending Approval,,,,,,
27,Pending Approval,,,,,,
28,Pending Approval,,,,,,
29,Pending Approval,,,,,,
30,Pending Approval,,,,,,
31,Pending Approval,,,,,,
32,Pending Approval,,,,,,
33,Pending Approval,,,,,,
34,Pending Approval,,,,,,
35,Pending Approval,,,,,,
36,Pending Approval,,,,,,
37,Pending Approval,,,,,,
38,Pending Approval,,,,,,
39,Pending Approval,,,,,,
40,Pending Approval,,,,,,
41,Pending Approval,,,,,,
42,Pending Approval,,,,,,
43,Pending Approval,,,,,,
44,Pending Approval,,,,,,
45,Pending Approval,,,,,,
46,Pending Approval,,,,,,
47,Pending Approval,,,,,,
48,Pending Approval,,,,,,
49,Pending Approval,,,,,,
50,Pending Approval,,,,,,
51,Pending Approval,,,,,,
52,Pending Approval,,,,,,
53,Pending Approval,,,,,,
54,Pending Approval,,,,,,
55,Pending Approval,,,,,,
56,Pending Approval,,,,,,
57,Pending Approval,,,,,,
58,Pending Approval,,,,,,
59,Pending Approval,,,,,,
60,Pending Approval,,,,,,
61,Pending Approval,,,,,,
62,Pending Approval,,,,,,
63,Pending Approval,,,,,,
64,Pending Approval,,,,,,
65,Pending Approval,,,,,,
66,Pending Approval,,,,,,
67,Pending Approval,,,,,,
68,Pending Approval,,,,,,
69,Pending Approval,,,,,,
70,Pending Approval,,,,,,
71,Pending Approval,,,,,,
72,Pending Approval,,,,,,
73,Pending Approval,,,,,,
74,Pending Approval,,,,,,
75,Pending Approval,,,,,,
76,Pending Approval,,,,,,
77,Pending Approval,,,,,,
78,Pending Approval,,,,,,
79,Pending Approval,,,,,,
80,Pending Approval,,,,,,
81,Pending Approval,,,,,,
82,Pending Approval,,,,,,
83,Pending Approval,,,,,,
84,Pending Approval,,,,,,
85,Pending Approval,,,,,,
86,Pending Approval,,,,,,
87,Pending Approval,,,,,,
88,Pending Approval,,,,,,
89,Pending Approval,,,,,,
90,Pending Approval,,,,,,
91,Pending Approval,,,,,,
92,Pending Approval,,,,,,
93,Pending Approval,,,,,,
94,Pending Approval,,,,,,
95,Pending Approval,,,,,,
96,Pending Approval,,,,,,
97,Pending Approval,,,,,,
98,Pending Approval,,,,,,
99,Pending Approval,,,,,,
