,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Pending Product review,,,,,,
1,Pending Product review,,,,,,
2,Pending Product review,,,,,,
3,Pending Product review,,,,,,
4,Pending Product review,,,,,,
5,Pending Product review,,,,,,
6,Pending Product review,,,,,,
7,Pending Product review,,,,,,
8,Pending Product review,,,,,,
9,Pending Product review,,,,,,
10,Pending Product review,,,,,,
11,Pending Product review,,,,,,
12,Pending Product review,,,,,,
13,Pending Product review,,,,,,
14,Pending Product review,,,,,,
15,Pending Product review,,,,,,
16,Pending Product review,,,,,,
17,Pending Product review,,,,,,
18,Pending Product review,,,,,,
19,Pending Product review,,,,,,
20,Pending Product review,,,,,,
21,Pending Product review,,,,,,
22,Pending Product review,,,,,,
23,Pending Product review,,,,,,
24,Pending Product review,,,,,,
25,Pending Product review,,,,,,
26,Pending Product review,,,,,,
27,Pending Product review,,,,,,
28,Pending Product review,,,,,,
29,Pending Product review,,,,,,
30,Pending Product review,,,,,,
31,Pending Product review,,,,,,
32,Pending Product review,,,,,,
33,Pending Product review,,,,,,
34,Pending Product review,,,,,,
35,Pending Product review,,,,,,
36,Pending Product review,,,,,,
37,Pending Product review,,,,,,
38,Pending Product review,,,,,,
39,Pending Product review,,,,,,
40,Pending Product review,,,,,,
41,Pending Product review,,,,,,
42,Pending Product review,,,,,,
43,Pending Product review,,,,,,
44,Pending Product review,,,,,,
45,Pending Product review,,,,,,
46,Pending Product review,,,,,,
47,Pending Product review,,,,,,
48,Pending Product review,,,,,,
49,Pending Product review,,,,,,
50,Pending Product review,,,,,,
51,Pending Product review,,,,,,
52,Pending Product review,,,,,,
53,Pending Product review,,,,,,
54,Pending Product review,,,,,,
55,Pending Product review,,,,,,
56,Pending Product review,,,,,,
57,Pending Product review,,,,,,
58,Pending Product review,,,,,,
59,Pending Product review,,,,,,
60,Pending Product review,,,,,,
61,Pending Product review,,,,,,
62,Pending Product review,,,,,,
63,Pending Product review,,,,,,
64,Pending Product review,,,,,,
65,Pending Product review,,,,,,
66,Pending Product review,,,,,,
67,Pending Product review,,,,,,
68,Pending Product review,,,,,,
69,Pending Product review,,,,,,
70,Pending Product review,,,,,,
71,Pending Product review,,,,,,
72,Pending Product review,,,,,,
73,Pending Product review,,,,,,
74,Pending Product review,,,,,,
75,Pending Product review,,,,,,
76,Pending Product review,,,,,,
77,Pending Product review,,,,,,
78,Pending Product review,,,,,,
79,Pending Product review,,,,,,
80,Pending Product review,,,,,,
81,Pending Product review,,,,,,
82,Pending Product review,,,,,,
83,Pending Product review,,,,,,
84,Pending Product review,,,,,,
85,Pending Product review,,,,,,
86,Pending Product review,,,,,,
87,Pending Product review,,,,,,
88,Pending Product review,,,,,,
89,Pending Product review,,,,,,
90,Pending Product review,,,,,,
91,Pending Product review,,,,,,
92,Pending Product review,,,,,,
93,Pending Product review,,,,,,
94,Pending Product review,,,,,,
