,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Pending QA Review,,,,,,
1,Pending QA Review,,,,,,
2,Pending QA Review,,,,,,
3,Pending QA Review,,,,,,
4,Pending QA Review,,,,,,
5,Pending QA Review,,,,,,
6,Pending QA Review,,,,,,
7,Pending QA Review,,,,,,
8,Pending QA Review,,,,,,
9,Pending QA Review,,,,,,
10,Pending QA Review,,,,,,
11,Pending QA Review,,,,,,
12,Pending QA Review,,,,,,
13,Pending QA Review,,,,,,
14,Pending QA Review,,,,,,
15,Pending QA Review,,,,,,
16,Pending QA Review,,,,,,
17,Pending QA Review,,,,,,
18,Pending QA Review,,,,,,
19,Pending QA Review,,,,,,
20,Pending QA Review,,,,,,
21,Pending QA Review,,,,,,
22,Pending QA Review,,,,,,
23,Pending QA Review,,,,,,
24,Pending QA Review,,,,,,
25,Pending QA Review,,,,,,
26,Pending QA Review,,,,,,
27,Pending QA Review,,,,,,
28,Pending QA Review,,,,,,
29,Pending QA Review,,,,,,
30,Pending QA Review,,,,,,
31,Pending QA Review,,,,,,
32,Pending QA Review,,,,,,
33,Pending QA Review,,,,,,
34,Pending QA Review,,,,,,
35,Pending QA Review,,,,,,
36,Pending QA Review,,,,,,
37,Pending QA Review,,,,,,
38,Pending QA Review,,,,,,
39,Pending QA Review,,,,,,
40,Pending QA Review,,,,,,
41,Pending QA Review,,,,,,
42,Pending QA Review,,,,,,
43,Pending QA Review,,,,,,
44,Pending QA Review,,,,,,
45,Pending QA Review,,,,,,
46,Pending QA Review,,,,,,
47,Pending QA Review,,,,,,
48,Pending QA Review,,,,,,
49,Pending QA Review,,,,,,
50,Pending QA Review,,,,,,
51,Pending QA Review,,,,,,
52,Pending QA Review,,,,,,
53,Pending QA Review,,,,,,
54,Pending QA Review,,,,,,
55,Pending QA Review,,,,,,
56,Pending QA Review,,,,,,
57,Pending QA Review,,,,,,
58,Pending QA Review,,,,,,
59,Pending QA Review,,,,,,
60,Pending QA Review,,,,,,
61,Pending QA Review,,,,,,
62,Pending QA Review,,,,,,
63,Pending QA Review,,,,,,
64,Pending QA Review,,,,,,
65,Pending QA Review,,,,,,
66,Pending QA Review,,,,,,
67,Pending QA Review,,,,,,
68,Pending QA Review,,,,,,
69,Pending QA Review,,,,,,
70,Pending QA Review,,,,,,
71,Pending QA Review,,,,,,
72,Pending QA Review,,,,,,
73,Pending QA Review,,,,,,
74,Pending QA Review,,,,,,
75,Pending QA Review,,,,,,
76,Pending QA Review,,,,,,
77,Pending QA Review,,,,,,
78,Pending QA Review,,,,,,
79,Pending QA Review,,,,,,
80,Pending QA Review,,,,,,
81,Pending QA Review,,,,,,
82,Pending QA Review,,,,,,
83,Pending QA Review,,,,,,
84,Pending QA Review,,,,,,
85,Pending QA Review,,,,,,
86,Pending QA Review,,,,,,
87,Pending QA Review,,,,,,
