,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Pending Review,,,,,,
1,Pending Review,,,,,,
2,Pending Review,,,,,,
3,Pending Review,,,,,,
4,Pending Review,,,,,,
5,Pending Review,,,,,,
6,Pending Review,,,,,,
7,Pending Review,,,,,,
8,Pending Review,,,,,,
9,Pending Review,,,,,,
10,Pending Review,,,,,,
11,Pending Review,,,,,,
12,Pending Review,,,,,,
13,Pending Review,2.0,3.0,3.0,0.266469907407,0.669352,0.00015
14,Pending Review,,,,,,
15,Pending Review,,,,,,
16,Pending Review,,,,,,
17,Pending Review,3.0,3.0,3.0,5.107650462963,9.044942,0.040544
18,Pending Review,,,,,,
19,Pending Review,2.0,2.0,2.0,0.340462962963,0.680602,0.000324
20,Pending Review,1.0,1.0,1.0,0.011631944444,0.011632,0.011632
21,Pending Review,,,,,,
22,Pending Review,1.0,1.0,1.0,8.156944444444,8.156944,8.156944
23,Pending Review,,,,,,
24,Pending Review,,,,,,
25,Pending Review,,,,,,
26,Pending Review,,,,,,
27,Pending Review,,,,,,
28,Pending Review,,,,,,
29,Pending Review,,,,,,
30,Pending Review,,,,,,
31,Pending Review,,,,,,
32,Pending Review,,,,,,
33,Pending Review,,,,,,
34,Pending Review,,,,,,
35,Pending Review,9.0,9.0,9.0,2.648387345683,7.05272,0.000174
36,Pending Review,,,,,,
37,Pending Review,,,,,,
38,Pending Review,,,,,,
39,Pending Review,7.0,8.0,8.0,23.198835358796,161.392315,2.3e-05
40,Pending Review,,,,,,
41,Pending Review,,,,,,
42,Pending Review,2.0,2.0,2.0,15.186041666667,30.174479,0.197604
43,Pending Review,,,,,,
44,Pending Review,,,,,,
45,Pending Review,,,,,,
46,Pending Review,,,,,,
47,Pending Review,,,,,,
48,Pending Review,,,,,,
49,Pending Review,,,,,,
50,Pending Review,,,,,,
51,Pending Review,,,,,,
52,Pending Review,,,,,,
53,Pending Review,,,,,,
54,Pending Review,,,,,,
55,Pending Review,,,,,,
56,Pending Review,,,,,,
57,Pending Review,,,,,,
58,Pending Review,,,,,,
59,Pending Review,,,,,,
60,Pending Review,,,,,,
61,Pending Review,4.0,4.0,4.0,8.778587962963,29.878785,0.964468
62,Pending Review,,,,,,
63,Pending Review,1.0,1.0,1.0,8.103449074074,8.103449,8.103449
64,Pending Review,,,,,,
65,Pending Review,,,,,,
66,Pending Review,3.0,3.0,3.0,1.13161651235,1.862951,0.463171
67,Pending Review,,,,,,
68,Pending Review,,,,,,
69,Pending Review,,,,,,
70,Pending Review,4.0,4.0,4.0,0.1440625,0.46162,0.000752
71,Pending Review,,,,,,
72,Pending Review,,,,,,
73,Pending Review,,,,,,
74,Pending Review,,,,,,
75,Pending Review,,,,,,
76,Pending Review,6.0,6.0,6.0,2.683744212963,5.820556,0.049745
77,Pending Review,1.0,1.0,1.0,1.056793981481,1.056794,1.056794
78,Pending Review,,,,,,
79,Pending Review,,,,,,
80,Pending Review,,,,,,
81,Pending Review,,,,,,
82,Pending Review,,,,,,
83,Pending Review,5.0,5.0,5.0,8.357289351852,21.249074,0.024074
84,Pending Review,,,,,,
85,Pending Review,,,,,,
86,Pending Review,3.0,3.0,3.0,0.258719135799,0.529167,0.077801
87,Pending Review,1.0,1.0,1.0,0.102835648148,0.102836,0.102836
88,Pending Review,,,,,,
89,Pending Review,,,,,,
90,Pending Review,,,,,,
91,Pending Review,,,,,,
92,Pending Review,1.0,1.0,1.0,11.619421296296,11.619421,11.619421
93,Pending Review,,,,,,
94,Pending Review,,,,,,
95,Pending Review,,,,,,
96,Pending Review,,,,,,
97,Pending Review,,,,,,
98,Pending Review,,,,,,
99,Pending Review,,,,,,
100,Pending Review,,,,,,
101,Pending Review,,,,,,
102,Pending Review,,,,,,
103,Pending Review,,,,,,
104,Pending Review,,,,,,
105,Pending Review,,,,,,
106,Pending Review,,,,,,
107,Pending Review,,,,,,
108,Pending Review,5.0,5.0,5.0,0.766509259259,3.661944,0.006528
109,Pending Review,,,,,,
110,Pending Review,5.0,5.0,5.0,2.385701388889,5.901435,0.003368
111,Pending Review,8.0,8.0,8.0,0.605358796296,2.816227,6.9e-05
112,Pending Review,,,,,,
113,Pending Review,,,,,,
114,Pending Review,,,,,,
115,Pending Review,,,,,,
116,Pending Review,,,,,,
117,Pending Review,,,,,,
118,Pending Review,8.0,8.0,8.0,3.820630787037,22.058032,0.155521
119,Pending Review,1.0,2.0,2.0,0.046568287037,0.054664,0.038472
120,Pending Review,,,,,,
121,Pending Review,,,,,,
122,Pending Review,1.0,1.0,1.0,0.039479166667,0.039479,0.039479
123,Pending Review,,,,,,
124,Pending Review,,,,,,
125,Pending Review,,,,,,
126,Pending Review,,,,,,
127,Pending Review,,,,,,
128,Pending Review,,,,,,
129,Pending Review,1.0,1.0,1.0,2.804884259259,2.804884,2.804884
130,Pending Review,,,,,,
131,Pending Review,,,,,,
132,Pending Review,,,,,,
133,Pending Review,2.0,2.0,2.0,4.548171296296,8.205012,0.891331
134,Pending Review,,,,,,
135,Pending Review,,,,,,
136,Pending Review,,,,,,
137,Pending Review,,,,,,
138,Pending Review,4.0,4.0,4.0,0.002688078704,0.004884,0.000289
139,Pending Review,,,,,,
140,Pending Review,,,,,,
141,Pending Review,,,,,,
142,Pending Review,,,,,,
143,Pending Review,,,,,,
144,Pending Review,,,,,,
145,Pending Review,,,,,,
146,Pending Review,,,,,,
147,Pending Review,,,,,,
148,Pending Review,2.0,2.0,2.0,0.52171875,1.000775,0.042662
149,Pending Review,,,,,,
150,Pending Review,,,,,,
151,Pending Review,,,,,,
152,Pending Review,,,,,,
153,Pending Review,,,,,,
154,Pending Review,,,,,,
155,Pending Review,,,,,,
156,Pending Review,,,,,,
157,Pending Review,,,,,,
158,Pending Review,,,,,,
159,Pending Review,2.0,2.0,2.0,30.0728125,56.250174,3.895451
160,Pending Review,,,,,,
161,Pending Review,,,,,,
162,Pending Review,,,,,,
163,Pending Review,,,,,,
164,Pending Review,4.0,4.0,4.0,2.520732060185,8.061609,0.002222
165,Pending Review,,,,,,
166,Pending Review,,,,,,
167,Pending Review,,,,,,
168,Pending Review,,,,,,
169,Pending Review,3.0,4.0,4.0,5.578440393519,22.143727,2.3e-05
170,Pending Review,,,,,,
171,Pending Review,,,,,,
172,Pending Review,,,,,,
173,Pending Review,,,,,,
174,Pending Review,,,,,,
175,Pending Review,,,,,,
176,Pending Review,,,,,,
177,Pending Review,,,,,,
178,Pending Review,6.0,8.0,8.0,0.966903935185,6.738854,0.000532
179,Pending Review,,,,,,
180,Pending Review,1.0,1.0,1.0,0.166435185185,0.166435,0.166435
181,Pending Review,1.0,1.0,1.0,0.000752314815,0.000752,0.000752
182,Pending Review,,,,,,
183,Pending Review,,,,,,
184,Pending Review,,,,,,
185,Pending Review,,,,,,
186,Pending Review,,,,,,
187,Pending Review,,,,,,
188,Pending Review,,,,,,
189,Pending Review,,,,,,
190,Pending Review,,,,,,
191,Pending Review,,,,,,
192,Pending Review,,,,,,
193,Pending Review,4.0,4.0,4.0,2.983695023148,6.412801,0.09191
194,Pending Review,,,,,,
195,Pending Review,,,,,,
196,Pending Review,,,,,,
