,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,PR On Hold,,,,,,
1,PR On Hold,,,,,,
2,PR On Hold,,,,,,
3,PR On Hold,,,,,,
4,PR On Hold,,,,,,
5,PR On Hold,,,,,,
6,PR On Hold,,,,,,
7,PR On Hold,,,,,,
8,PR On Hold,,,,,,
9,PR On Hold,,,,,,
10,PR On Hold,,,,,,
11,PR On Hold,,,,,,
12,PR On Hold,,,,,,
13,PR On Hold,,,,,,
14,PR On Hold,,,,,,
15,PR On Hold,,,,,,
16,PR On Hold,,,,,,
17,PR On Hold,,,,,,
18,PR On Hold,,,,,,
19,PR On Hold,,,,,,
20,PR On Hold,,,,,,
21,PR On Hold,,,,,,
22,PR On Hold,,,,,,
23,PR On Hold,,,,,,
24,PR On Hold,,,,,,
25,PR On Hold,,,,,,
26,PR On Hold,,,,,,
27,PR On Hold,,,,,,
28,PR On Hold,,,,,,
29,PR On Hold,,,,,,
30,PR On Hold,,,,,,
31,PR On Hold,,,,,,
32,PR On Hold,,,,,,
33,PR On Hold,,,,,,
34,PR On Hold,,,,,,
35,PR On Hold,,,,,,
36,PR On Hold,,,,,,
37,PR On Hold,,,,,,
38,PR On Hold,,,,,,
39,PR On Hold,,,,,,
40,PR On Hold,,,,,,
41,PR On Hold,,,,,,
42,PR On Hold,,,,,,
43,PR On Hold,,,,,,
44,PR On Hold,,,,,,
45,PR On Hold,,,,,,
46,PR On Hold,,,,,,
47,PR On Hold,,,,,,
48,PR On Hold,,,,,,
49,PR On Hold,,,,,,
50,PR On Hold,,,,,,
51,PR On Hold,,,,,,
52,PR On Hold,,,,,,
53,PR On Hold,,,,,,
54,PR On Hold,,,,,,
55,PR On Hold,,,,,,
56,PR On Hold,,,,,,
57,PR On Hold,,,,,,
58,PR On Hold,,,,,,
59,PR On Hold,,,,,,
60,PR On Hold,,,,,,
61,PR On Hold,,,,,,
62,PR On Hold,,,,,,
63,PR On Hold,,,,,,
64,PR On Hold,,,,,,
65,PR On Hold,,,,,,
66,PR On Hold,,,,,,
67,PR On Hold,,,,,,
68,PR On Hold,,,,,,
69,PR On Hold,,,,,,
70,PR On Hold,,,,,,
71,PR On Hold,,,,,,
72,PR On Hold,,,,,,
73,PR On Hold,,,,,,
74,PR On Hold,,,,,,
75,PR On Hold,,,,,,
76,PR On Hold,,,,,,
77,PR On Hold,,,,,,
78,PR On Hold,,,,,,
79,PR On Hold,,,,,,
80,PR On Hold,,,,,,
81,PR On Hold,,,,,,
82,PR On Hold,,,,,,
83,PR On Hold,,,,,,
84,PR On Hold,,,,,,
85,PR On Hold,,,,,,
86,PR On Hold,,,,,,
87,PR On Hold,,,,,,
88,PR On Hold,,,,,,
89,PR On Hold,,,,,,
90,PR On Hold,,,,,,
91,PR On Hold,,,,,,
92,PR On Hold,,,,,,
93,PR On Hold,,,,,,
94,PR On Hold,,,,,,
95,PR On Hold,,,,,,
96,PR On Hold,,,,,,
97,PR On Hold,,,,,,
98,PR On Hold,,,,,,
99,PR On Hold,,,,,,
100,PR On Hold,,,,,,
101,PR On Hold,,,,,,
102,PR On Hold,,,,,,
103,PR On Hold,,,,,,
104,PR On Hold,,,,,,
105,PR On Hold,,,,,,
106,PR On Hold,,,,,,
107,PR On Hold,,,,,,
108,PR On Hold,,,,,,
109,PR On Hold,,,,,,
110,PR On Hold,,,,,,
111,PR On Hold,,,,,,
112,PR On Hold,,,,,,
113,PR On Hold,,,,,,
114,PR On Hold,,,,,,
115,PR On Hold,,,,,,
116,PR On Hold,,,,,,
117,PR On Hold,,,,,,
118,PR On Hold,,,,,,
119,PR On Hold,,,,,,
120,PR On Hold,,,,,,
121,PR On Hold,,,,,,
122,PR On Hold,,,,,,
123,PR On Hold,,,,,,
124,PR On Hold,,,,,,
125,PR On Hold,,,,,,
126,PR On Hold,,,,,,
127,PR On Hold,,,,,,
128,PR On Hold,,,,,,
129,PR On Hold,,,,,,
130,PR On Hold,,,,,,
131,PR On Hold,,,,,,
132,PR On Hold,,,,,,
133,PR On Hold,,,,,,
134,PR On Hold,,,,,,
135,PR On Hold,,,,,,
136,PR On Hold,,,,,,
137,PR On Hold,,,,,,
138,PR On Hold,,,,,,
139,PR On Hold,,,,,,
140,PR On Hold,,,,,,
141,PR On Hold,,,,,,
142,PR On Hold,,,,,,
143,PR On Hold,,,,,,
144,PR On Hold,,,,,,
145,PR On Hold,,,,,,
146,PR On Hold,,,,,,
147,PR On Hold,,,,,,
148,PR On Hold,,,,,,
149,PR On Hold,,,,,,
150,PR On Hold,,,,,,
151,PR On Hold,,,,,,
152,PR On Hold,,,,,,
153,PR On Hold,,,,,,
154,PR On Hold,,,,,,
155,PR On Hold,,,,,,
156,PR On Hold,,,,,,
157,PR On Hold,,,,,,
158,PR On Hold,,,,,,
159,PR On Hold,,,,,,
160,PR On Hold,,,,,,
161,PR On Hold,,,,,,
162,PR On Hold,,,,,,
163,PR On Hold,,,,,,
164,PR On Hold,,,,,,
165,PR On Hold,,,,,,
166,PR On Hold,,,,,,
167,PR On Hold,,,,,,
168,PR On Hold,,,,,,
169,PR On Hold,,,,,,
170,PR On Hold,,,,,,
171,PR On Hold,,,,,,
172,PR On Hold,,,,,,
173,PR On Hold,,,,,,
174,PR On Hold,,,,,,
175,PR On Hold,,,,,,
176,PR On Hold,,,,,,
177,PR On Hold,,,,,,
178,PR On Hold,,,,,,
179,PR On Hold,,,,,,
180,PR On Hold,,,,,,
181,PR On Hold,,,,,,
182,PR On Hold,,,,,,
183,PR On Hold,,,,,,
184,PR On Hold,,,,,,
185,PR On Hold,,,,,,
186,PR On Hold,,,,,,
187,PR On Hold,,,,,,
188,PR On Hold,,,,,,
189,PR On Hold,,,,,,
190,PR On Hold,,,,,,
191,PR On Hold,,,,,,
192,PR On Hold,,,,,,
193,PR On Hold,,,,,,
194,PR On Hold,,,,,,
195,PR On Hold,,,,,,
196,PR On Hold,,,,,,
