,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Product review,,,,,,
1,Product review,,,,,,
2,Product review,1.0,1.0,1.0,5.791724537037,5.791725,5.791725
3,Product review,,,,,,
4,Product review,1.0,1.0,1.0,11.276608796296,11.276609,11.276609
5,Product review,,,,,,
6,Product review,,,,,,
7,Product review,,,,,,
8,Product review,,,,,,
9,Product review,,,,,,
10,Product review,,,,,,
11,Product review,,,,,,
12,Product review,1.0,1.0,1.0,19.367060185185,19.36706,19.36706
13,Product review,,,,,,
14,Product review,,,,,,
15,Product review,,,,,,
16,Product review,,,,,,
17,Product review,,,,,,
18,Product review,,,,,,
19,Product review,,,,,,
20,Product review,,,,,,
21,Product review,1.0,2.0,2.0,1.494189814815,1.937963,1.050417
22,Product review,,,,,,
23,Product review,,,,,,
24,Product review,,,,,,
25,Product review,,,,,,
26,Product review,,,,,,
27,Product review,,,,,,
28,Product review,,,,,,
29,Product review,,,,,,
30,Product review,,,,,,
31,Product review,,,,,,
32,Product review,,,,,,
33,Product review,,,,,,
34,Product review,,,,,,
35,Product review,,,,,,
36,Product review,,,,,,
37,Product review,,,,,,
38,Product review,,,,,,
39,Product review,,,,,,
40,Product review,,,,,,
41,Product review,,,,,,
42,Product review,,,,,,
43,Product review,,,,,,
44,Product review,,,,,,
45,Product review,,,,,,
46,Product review,,,,,,
47,Product review,,,,,,
48,Product review,,,,,,
49,Product review,,,,,,
50,Product review,,,,,,
51,Product review,,,,,,
52,Product review,,,,,,
53,Product review,,,,,,
54,Product review,1.0,1.0,1.0,3.26880787037,3.268808,3.268808
55,Product review,,,,,,
56,Product review,,,,,,
57,Product review,,,,,,
58,Product review,,,,,,
59,Product review,,,,,,
60,Product review,,,,,,
61,Product review,,,,,,
62,Product review,,,,,,
63,Product review,1.0,1.0,1.0,0.942743055556,0.942743,0.942743
64,Product review,,,,,,
65,Product review,,,,,,
66,Product review,,,,,,
67,Product review,,,,,,
68,Product review,,,,,,
69,Product review,,,,,,
70,Product review,,,,,,
71,Product review,,,,,,
72,Product review,,,,,,
73,Product review,,,,,,
74,Product review,,,,,,
75,Product review,,,,,,
76,Product review,,,,,,
77,Product review,,,,,,
78,Product review,,,,,,
79,Product review,,,,,,
80,Product review,,,,,,
81,Product review,,,,,,
82,Product review,,,,,,
83,Product review,,,,,,
84,Product review,,,,,,
85,Product review,,,,,,
86,Product review,1.0,1.0,1.0,0.000821759259,0.000822,0.000822
87,Product review,,,,,,
88,Product review,,,,,,
89,Product review,,,,,,
90,Product review,,,,,,
91,Product review,,,,,,
92,Product review,,,,,,
93,Product review,,,,,,
94,Product review,,,,,,
95,Product review,,,,,,
96,Product review,,,,,,
97,Product review,,,,,,
98,Product review,,,,,,
99,Product review,,,,,,
100,Product review,,,,,,
101,Product review,,,,,,
102,Product review,,,,,,
103,Product review,,,,,,
104,Product review,,,,,,
105,Product review,,,,,,
106,Product review,,,,,,
107,Product review,,,,,,
108,Product review,1.0,1.0,1.0,5.787037e-05,5.8e-05,5.8e-05
109,Product review,,,,,,
110,Product review,1.0,1.0,1.0,0.000196759259,0.000197,0.000197
111,Product review,,,,,,
112,Product review,,,,,,
113,Product review,,,,,,
114,Product review,,,,,,
115,Product review,,,,,,
116,Product review,,,,,,
117,Product review,,,,,,
118,Product review,,,,,,
119,Product review,,,,,,
120,Product review,,,,,,
121,Product review,,,,,,
122,Product review,1.0,1.0,1.0,11.223344907407,11.223345,11.223345
123,Product review,,,,,,
124,Product review,,,,,,
125,Product review,,,,,,
126,Product review,,,,,,
127,Product review,,,,,,
128,Product review,,,,,,
129,Product review,,,,,,
130,Product review,,,,,,
131,Product review,,,,,,
132,Product review,,,,,,
133,Product review,,,,,,
134,Product review,,,,,,
135,Product review,,,,,,
136,Product review,,,,,,
137,Product review,,,,,,
138,Product review,,,,,,
139,Product review,,,,,,
140,Product review,,,,,,
141,Product review,,,,,,
142,Product review,,,,,,
143,Product review,,,,,,
144,Product review,,,,,,
145,Product review,,,,,,
146,Product review,,,,,,
147,Product review,,,,,,
148,Product review,,,,,,
149,Product review,,,,,,
150,Product review,,,,,,
151,Product review,,,,,,
152,Product review,,,,,,
153,Product review,,,,,,
154,Product review,,,,,,
155,Product review,,,,,,
156,Product review,1.0,1.0,1.0,6.087800925926,6.087801,6.087801
157,Product review,,,,,,
158,Product review,,,,,,
159,Product review,,,,,,
160,Product review,,,,,,
161,Product review,,,,,,
162,Product review,,,,,,
163,Product review,,,,,,
164,Product review,,,,,,
165,Product review,,,,,,
166,Product review,,,,,,
167,Product review,,,,,,
168,Product review,,,,,,
169,Product review,,,,,,
170,Product review,,,,,,
171,Product review,,,,,,
172,Product review,,,,,,
173,Product review,,,,,,
174,Product review,,,,,,
175,Product review,,,,,,
176,Product review,,,,,,
177,Product review,,,,,,
178,Product review,,,,,,
179,Product review,,,,,,
180,Product review,,,,,,
181,Product review,,,,,,
182,Product review,,,,,,
183,Product review,,,,,,
184,Product review,,,,,,
185,Product review,,,,,,
186,Product review,,,,,,
187,Product review,,,,,,
188,Product review,,,,,,
189,Product review,,,,,,
190,Product review,,,,,,
191,Product review,,,,,,
192,Product review,,,,,,
193,Product review,1.0,1.0,1.0,0.002511574074,0.002512,0.002512
194,Product review,,,,,,
195,Product review,,,,,,
196,Product review,,,,,,
