,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Research,,,,,,
1,Research,,,,,,
2,Research,,,,,,
3,Research,,,,,,
4,Research,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
5,Research,,,,,,
6,Research,,,,,,
7,Research,,,,,,
8,Research,,,,,,
9,Research,,,,,,
10,Research,,,,,,
11,Research,,,,,,
12,Research,,,,,,
13,Research,1.0,1.0,1.0,0.035520833333,0.035521,0.035521
14,Research,,,,,,
15,Research,,,,,,
16,Research,,,,,,
17,Research,2.0,2.0,2.0,2.904236111111,5.808414,5.8e-05
18,Research,3.0,3.0,3.0,6.87568287037,20.626991,2.3e-05
19,Research,,,,,,
20,Research,,,,,,
21,Research,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
22,Research,2.0,2.0,2.0,16.254762731481,27.692153,4.817373
23,Research,,,,,,
24,Research,,,,,,
25,Research,,,,,,
26,Research,,,,,,
27,Research,,,,,,
28,Research,,,,,,
29,Research,,,,,,
30,Research,,,,,,
31,Research,,,,,,
32,Research,,,,,,
33,Research,,,,,,
34,Research,,,,,,
35,Research,1.0,1.0,1.0,2.3148148e-05,2.3e-05,2.3e-05
36,Research,,,,,,
37,Research,,,,,,
38,Research,,,,,,
39,Research,,,,,,
40,Research,,,,,,
41,Research,,,,,,
42,Research,,,,,,
43,Research,,,,,,
44,Research,,,,,,
45,Research,,,,,,
46,Research,,,,,,
47,Research,,,,,,
48,Research,,,,,,
49,Research,,,,,,
50,Research,,,,,,
51,Research,,,,,,
52,Research,,,,,,
53,Research,,,,,,
54,Research,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
55,Research,,,,,,
56,Research,,,,,,
57,Research,,,,,,
58,Research,,,,,,
59,Research,,,,,,
60,Research,,,,,,
61,Research,,,,,,
62,Research,,,,,,
63,Research,,,,,,
64,Research,,,,,,
65,Research,,,,,,
66,Research,,,,,,
67,Research,,,,,,
68,Research,,,,,,
69,Research,1.0,1.0,1.0,42.435891203704,42.435891,42.435891
70,Research,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
71,Research,,,,,,
72,Research,,,,,,
73,Research,,,,,,
74,Research,,,,,,
75,Research,,,,,,
76,Research,2.0,2.0,2.0,4.6296296e-05,5.8e-05,3.5e-05
77,Research,,,,,,
78,Research,,,,,,
79,Research,,,,,,
80,Research,,,,,,
81,Research,,,,,,
82,Research,,,,,,
83,Research,,,,,,
84,Research,,,,,,
85,Research,,,,,,
86,Research,,,,,,
87,Research,,,,,,
88,Research,,,,,,
89,Research,,,,,,
90,Research,,,,,,
91,Research,,,,,,
92,Research,,,,,,
93,Research,,,,,,
94,Research,,,,,,
95,Research,,,,,,
96,Research,,,,,,
97,Research,,,,,,
98,Research,,,,,,
99,Research,,,,,,
100,Research,,,,,,
101,Research,,,,,,
102,Research,,,,,,
103,Research,,,,,,
104,Research,,,,,,
105,Research,,,,,,
106,Research,,,,,,
107,Research,1.0,1.0,1.0,47.86650462963,47.866505,47.866505
108,Research,2.0,3.0,3.0,12.920520833333,21.07728,3.5e-05
109,Research,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
110,Research,2.0,2.0,2.0,3.4722222e-05,3.5e-05,3.5e-05
111,Research,,,,,,
112,Research,2.0,2.0,2.0,2.984612268519,5.768681,0.200544
113,Research,,,,,,
114,Research,,,,,,
115,Research,,,,,,
116,Research,,,,,,
117,Research,,,,,,
118,Research,,,,,,
119,Research,,,,,,
120,Research,,,,,,
121,Research,,,,,,
122,Research,1.0,1.0,1.0,8.1018519e-05,8.1e-05,8.1e-05
123,Research,,,,,,
124,Research,,,,,,
125,Research,,,,,,
126,Research,,,,,,
127,Research,,,,,,
128,Research,,,,,,
129,Research,2.0,2.0,2.0,0.000497685185,0.000544,0.000451
