,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Reverted,,,,,,
1,Reverted,,,,,,
2,Reverted,,,,,,
3,Reverted,,,,,,
4,Reverted,,,,,,
5,Reverted,,,,,,
6,Reverted,,,,,,
7,Reverted,,,,,,
8,Reverted,,,,,,
9,Reverted,,,,,,
10,Reverted,,,,,,
11,Reverted,,,,,,
12,Reverted,,,,,,
13,Reverted,,,,,,
14,Reverted,,,,,,
15,Reverted,,,,,,
16,Reverted,,,,,,
17,Reverted,,,,,,
18,Reverted,,,,,,
19,Reverted,,,,,,
20,Reverted,1.0,1.0,1.0,141.247222222222,141.247222,141.247222
21,Reverted,,,,,,
22,Reverted,,,,,,
23,Reverted,,,,,,
24,Reverted,,,,,,
25,Reverted,,,,,,
26,Reverted,,,,,,
27,Reverted,,,,,,
28,Reverted,,,,,,
29,Reverted,,,,,,
30,Reverted,,,,,,
31,Reverted,,,,,,
32,Reverted,,,,,,
33,Reverted,,,,,,
34,Reverted,,,,,,
35,Reverted,,,,,,
36,Reverted,,,,,,
37,Reverted,,,,,,
38,Reverted,,,,,,
39,Reverted,2.0,2.0,2.0,44.933368055556,57.463414,32.403322
40,Reverted,1.0,1.0,1.0,95.520821759259,95.520822,95.520822
41,Reverted,,,,,,
42,Reverted,2.0,2.0,2.0,218.60521412037,229.513657,207.696771
43,Reverted,,,,,,
44,Reverted,,,,,,
45,Reverted,,,,,,
46,Reverted,,,,,,
47,Reverted,,,,,,
48,Reverted,,,,,,
49,Reverted,,,,,,
50,Reverted,,,,,,
51,Reverted,,,,,,
52,Reverted,,,,,,
53,Reverted,,,,,,
54,Reverted,,,,,,
55,Reverted,,,,,,
56,Reverted,,,,,,
57,Reverted,,,,,,
58,Reverted,,,,,,
59,Reverted,,,,,,
60,Reverted,,,,,,
61,Reverted,,,,,,
62,Reverted,,,,,,
63,Reverted,,,,,,
64,Reverted,,,,,,
65,Reverted,,,,,,
66,Reverted,,,,,,
67,Reverted,,,,,,
68,Reverted,,,,,,
69,Reverted,,,,,,
70,Reverted,1.0,1.0,1.0,250.685983796296,250.685984,250.685984
71,Reverted,,,,,,
72,Reverted,,,,,,
73,Reverted,,,,,,
74,Reverted,,,,,,
75,Reverted,,,,,,
76,Reverted,,,,,,
77,Reverted,,,,,,
78,Reverted,,,,,,
79,Reverted,,,,,,
80,Reverted,,,,,,
81,Reverted,,,,,,
82,Reverted,,,,,,
83,Reverted,,,,,,
84,Reverted,,,,,,
85,Reverted,,,,,,
86,Reverted,1.0,1.0,1.0,29.530162037037,29.530162,29.530162
87,Reverted,1.0,1.0,1.0,26.43005787037,26.430058,26.430058
88,Reverted,,,,,,
89,Reverted,,,,,,
