,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Review,,,,,,
1,Review,,,,,,
2,Review,,,,,,
3,Review,,,,,,
4,Review,,,,,,
5,Review,,,,,,
6,Review,,,,,,
7,Review,,,,,,
8,Review,,,,,,
9,Review,,,,,,
10,Review,,,,,,
11,Review,,,,,,
12,Review,,,,,,
13,Review,6.0,8.0,8.0,3.374499421296,20.819896,0.000683
14,Review,,,,,,
15,Review,,,,,,
16,Review,,,,,,
17,Review,4.0,4.0,4.0,1.975911458333,7.899421,3.5e-05
18,Review,,,,,,
19,Review,6.0,8.0,8.0,0.299832175926,1.262025,8.1e-05
20,Review,2.0,2.0,2.0,6.9444444e-05,9.3e-05,4.6e-05
21,Review,,,,,,
22,Review,1.0,1.0,1.0,0.002777777778,0.002778,0.002778
23,Review,,,,,,
24,Review,,,,,,
25,Review,,,,,,
26,Review,,,,,,
27,Review,,,,,,
28,Review,,,,,,
29,Review,,,,,,
30,Review,,,,,,
31,Review,,,,,,
32,Review,,,,,,
33,Review,,,,,,
34,Review,,,,,,
35,Review,10.0,12.0,12.0,1.164007523148,8.573993,4.6e-05
36,Review,,,,,,
37,Review,,,,,,
38,Review,,,,,,
39,Review,4.0,5.0,5.0,25.113199074074,125.48831,3.5e-05
40,Review,,,,,,
41,Review,,,,,,
42,Review,3.0,3.0,3.0,0.000108024688,0.00022,4.6e-05
43,Review,,,,,,
44,Review,,,,,,
45,Review,,,,,,
46,Review,,,,,,
47,Review,,,,,,
48,Review,,,,,,
49,Review,,,,,,
50,Review,,,,,,
51,Review,,,,,,
52,Review,,,,,,
53,Review,,,,,,
54,Review,1.0,1.0,1.0,134.134583333333,134.134583,134.134583
55,Review,1.0,1.0,1.0,0.000833333333,0.000833,0.000833
56,Review,,,,,,
57,Review,,,,,,
58,Review,,,,,,
59,Review,,,,,,
60,Review,,,,,,
61,Review,6.0,7.0,7.0,1.913857473542,5.547824,4.6e-05
62,Review,,,,,,
63,Review,1.0,1.0,1.0,4.6296296e-05,4.6e-05,4.6e-05
64,Review,,,,,,
65,Review,,,,,,
66,Review,4.0,5.0,5.0,0.004708333333,0.019074,8.1e-05
67,Review,,,,,,
68,Review,,,,,,
69,Review,,,,,,
70,Review,4.0,4.0,4.0,10.927983217593,42.473727,4.6e-05
71,Review,,,,,,
72,Review,,,,,,
73,Review,,,,,,
74,Review,,,,,,
75,Review,,,,,,
76,Review,2.0,3.0,3.0,0.036010802465,0.106331,6.9e-05
77,Review,1.0,1.0,1.0,0.007407407407,0.007407,0.007407
78,Review,,,,,,
79,Review,,,,,,
80,Review,,,,,,
81,Review,,,,,,
82,Review,,,,,,
83,Review,5.0,6.0,6.0,0.000216049387,0.000938,3.5e-05
84,Review,,,,,,
85,Review,,,,,,
86,Review,3.0,3.0,3.0,5.401235e-05,6.9e-05,2.3e-05
87,Review,1.0,1.0,1.0,112.469490740741,112.469491,112.469491
88,Review,4.0,5.0,5.0,3.876851851852,19.364745,5.8e-05
89,Review,,,,,,
90,Review,,,,,,
91,Review,,,,,,
92,Review,,,,,,
93,Review,,,,,,
94,Review,,,,,,
95,Review,,,,,,
96,Review,,,,,,
97,Review,,,,,,
98,Review,,,,,,
99,Review,,,,,,
100,Review,,,,,,
101,Review,,,,,,
102,Review,,,,,,
103,Review,,,,,,
104,Review,,,,,,
105,Review,,,,,,
106,Review,,,,,,
107,Review,,,,,,
108,Review,5.0,5.0,5.0,6.890736111111,34.453403,4.6e-05
109,Review,,,,,,
110,Review,16.0,16.0,16.0,1.394145688657,22.086377,2.3e-05
111,Review,8.0,9.0,9.0,1.056346450613,8.569884,3.5e-05
112,Review,1.0,1.0,1.0,8.1018519e-05,8.1e-05,8.1e-05
113,Review,1.0,1.0,1.0,0.001724537037,0.001725,0.001725
114,Review,,,,,,
115,Review,,,,,,
116,Review,1.0,1.0,1.0,4.6296296e-05,4.6e-05,4.6e-05
117,Review,,,,,,
118,Review,10.0,11.0,11.0,0.002333754213,0.013079,2.3e-05
119,Review,1.0,1.0,1.0,8.1018519e-05,8.1e-05,8.1e-05
120,Review,,,,,,
121,Review,,,,,,
122,Review,1.0,1.0,1.0,0.046481481481,0.046481,0.046481
123,Review,1.0,1.0,1.0,0.009305555556,0.009306,0.009306
124,Review,,,,,,
125,Review,,,,,,
126,Review,,,,,,
127,Review,,,,,,
128,Review,,,,,,
129,Review,1.0,1.0,1.0,0.068923611111,0.068924,0.068924
130,Review,1.0,1.0,1.0,5.787037e-05,5.8e-05,5.8e-05
131,Review,,,,,,
132,Review,,,,,,
133,Review,1.0,1.0,1.0,0.066793981481,0.066794,0.066794
134,Review,,,,,,
135,Review,,,,,,
136,Review,,,,,,
137,Review,1.0,1.0,1.0,20.376759259259,20.376759,20.376759
138,Review,4.0,4.0,4.0,0.213567708333,0.854132,3.5e-05
139,Review,,,,,,
140,Review,,,,,,
141,Review,,,,,,
142,Review,,,,,,
143,Review,,,,,,
144,Review,,,,,,
145,Review,,,,,,
146,Review,,,,,,
147,Review,,,,,,
148,Review,3.0,3.0,3.0,2.678784722222,5.283912,0.000104
149,Review,,,,,,
150,Review,,,,,,
151,Review,,,,,,
152,Review,,,,,,
153,Review,,,,,,
154,Review,,,,,,
155,Review,,,,,,
156,Review,2.0,2.0,2.0,0.004519675926,0.008912,0.000127
157,Review,,,,,,
158,Review,,,,,,
159,Review,1.0,1.0,1.0,8.1018519e-05,8.1e-05,8.1e-05
160,Review,,,,,,
161,Review,2.0,2.0,2.0,10.95365162037,21.906898,0.000405
162,Review,,,,,,
163,Review,,,,,,
164,Review,10.0,11.0,11.0,0.374822180139,3.800625,4.6e-05
165,Review,,,,,,
166,Review,,,,,,
167,Review,,,,,,
168,Review,,,,,,
169,Review,3.0,4.0,4.0,4.9189815e-05,6.9e-05,3.5e-05
170,Review,,,,,,
171,Review,,,,,,
172,Review,,,,,,
173,Review,,,,,,
174,Review,,,,,,
175,Review,,,,,,
176,Review,,,,,,
177,Review,,,,,,
178,Review,6.0,6.0,6.0,0.006745756169,0.039479,5.8e-05
179,Review,,,,,,
180,Review,2.0,3.0,3.0,0.000192901238,0.000463,5.8e-05
181,Review,4.0,4.0,4.0,0.00609375,0.024097,4.6e-05
182,Review,2.0,2.0,2.0,0.00037037037,0.000637,0.000104
183,Review,,,,,,
184,Review,,,,,,
185,Review,,,,,,
186,Review,2.0,2.0,2.0,0.00046875,0.000567,0.00037
187,Review,3.0,4.0,4.0,3.270949074074,7.609132,5.8e-05
188,Review,,,,,,
189,Review,,,,,,
190,Review,,,,,,
191,Review,,,,,,
192,Review,1.0,1.0,1.0,42.412789351852,42.412789,42.412789
193,Review,4.0,5.0,5.0,0.016481481481,0.078438,4.6e-05
194,Review,,,,,,
195,Review,,,,,,
196,Review,,,,,,
