,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Spec design,,,,,,
1,Spec design,,,,,,
2,Spec design,1.0,1.0,1.0,19.236423611111,19.236424,19.236424
3,Spec design,,,,,,
4,Spec design,2.0,2.0,2.0,15.128952546296,29.158692,1.099213
5,Spec design,,,,,,
6,Spec design,,,,,,
7,Spec design,,,,,,
8,Spec design,,,,,,
9,Spec design,,,,,,
10,Spec design,,,,,,
11,Spec design,,,,,,
12,Spec design,,,,,,
13,Spec design,,,,,,
14,Spec design,,,,,,
15,Spec design,,,,,,
16,Spec design,,,,,,
17,Spec design,2.0,2.0,2.0,0.01484375,0.02963,5.8e-05
18,Spec design,4.0,4.0,4.0,17.864771412037,71.458958,2.3e-05
19,Spec design,,,,,,
20,Spec design,1.0,1.0,1.0,4.6296296e-05,4.6e-05,4.6e-05
21,Spec design,1.0,1.0,1.0,2.3148148e-05,2.3e-05,2.3e-05
22,Spec design,2.0,2.0,2.0,10.597609953704,21.195174,4.6e-05
23,Spec design,,,,,,
24,Spec design,,,,,,
25,Spec design,,,,,,
26,Spec design,,,,,,
27,Spec design,,,,,,
28,Spec design,,,,,,
29,Spec design,,,,,,
30,Spec design,,,,,,
31,Spec design,,,,,,
32,Spec design,,,,,,
33,Spec design,,,,,,
34,Spec design,,,,,,
35,Spec design,3.0,3.0,3.0,0.00011188272,0.000266,2.3e-05
36,Spec design,,,,,,
37,Spec design,,,,,,
38,Spec design,,,,,,
39,Spec design,,,,,,
40,Spec design,,,,,,
41,Spec design,,,,,,
42,Spec design,,,,,,
43,Spec design,,,,,,
44,Spec design,,,,,,
45,Spec design,,,,,,
46,Spec design,,,,,,
47,Spec design,,,,,,
48,Spec design,1.0,1.0,1.0,6.9444444e-05,6.9e-05,6.9e-05
49,Spec design,,,,,,
50,Spec design,,,,,,
51,Spec design,,,,,,
52,Spec design,,,,,,
53,Spec design,,,,,,
54,Spec design,1.0,1.0,1.0,4.6296296e-05,4.6e-05,4.6e-05
55,Spec design,,,,,,
56,Spec design,,,,,,
57,Spec design,1.0,1.0,1.0,20.559224537037,20.559225,20.559225
58,Spec design,,,,,,
59,Spec design,,,,,,
60,Spec design,,,,,,
61,Spec design,1.0,1.0,1.0,0.000289351852,0.000289,0.000289
62,Spec design,,,,,,
63,Spec design,1.0,1.0,1.0,5.832407407407,5.832407,5.832407
64,Spec design,,,,,,
65,Spec design,,,,,,
66,Spec design,,,,,,
67,Spec design,,,,,,
68,Spec design,,,,,,
69,Spec design,1.0,1.0,1.0,151.596203703704,151.596204,151.596204
70,Spec design,3.0,3.0,3.0,4.541662808646,8.435104,3.5e-05
71,Spec design,,,,,,
72,Spec design,,,,,,
73,Spec design,,,,,,
74,Spec design,,,,,,
75,Spec design,,,,,,
76,Spec design,2.0,2.0,2.0,0.000283564815,0.000532,3.5e-05
77,Spec design,,,,,,
78,Spec design,,,,,,
79,Spec design,,,,,,
80,Spec design,,,,,,
81,Spec design,,,,,,
82,Spec design,,,,,,
83,Spec design,,,,,,
84,Spec design,,,,,,
85,Spec design,,,,,,
86,Spec design,2.0,2.0,2.0,5.787037e-05,6.9e-05,4.6e-05
87,Spec design,3.0,3.0,3.0,0.000516975313,0.001366,6.9e-05
88,Spec design,,,,,,
89,Spec design,,,,,,
90,Spec design,,,,,,
91,Spec design,,,,,,
92,Spec design,,,,,,
93,Spec design,,,,,,
94,Spec design,,,,,,
95,Spec design,1.0,1.0,1.0,30.948148148148,30.948148,30.948148
96,Spec design,,,,,,
97,Spec design,,,,,,
98,Spec design,,,,,,
99,Spec design,,,,,,
100,Spec design,,,,,,
101,Spec design,,,,,,
102,Spec design,,,,,,
103,Spec design,,,,,,
104,Spec design,,,,,,
105,Spec design,,,,,,
106,Spec design,,,,,,
107,Spec design,1.0,1.0,1.0,47.811574074074,47.811574,47.811574
108,Spec design,2.0,3.0,3.0,1.039085648148,3.117176,3.5e-05
109,Spec design,10.0,10.0,10.0,4.215502314815,22.411458,5.8e-05
110,Spec design,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
111,Spec design,,,,,,
112,Spec design,2.0,3.0,3.0,0.000273919757,0.000718,4.6e-05
113,Spec design,3.0,3.0,3.0,8.8734572e-05,0.000127,4.6e-05
114,Spec design,,,,,,
115,Spec design,,,,,,
116,Spec design,,,,,,
117,Spec design,5.0,6.0,6.0,9.437966820984,22.401215,4.6e-05
118,Spec design,,,,,,
119,Spec design,1.0,1.0,1.0,0.000335648148,0.000336,0.000336
120,Spec design,1.0,1.0,1.0,0.000324074074,0.000324,0.000324
121,Spec design,,,,,,
122,Spec design,1.0,1.0,1.0,0.000196759259,0.000197,0.000197
123,Spec design,,,,,,
124,Spec design,,,,,,
125,Spec design,,,,,,
126,Spec design,,,,,,
127,Spec design,,,,,,
128,Spec design,,,,,,
129,Spec design,3.0,3.0,3.0,10.19110725309,15.610498,5.8e-05
130,Spec design,4.0,4.0,4.0,6.3657407e-05,0.000139,3.5e-05
131,Spec design,,,,,,
132,Spec design,,,,,,
133,Spec design,1.0,1.0,1.0,20.695069444444,20.695069,20.695069
134,Spec design,,,,,,
135,Spec design,,,,,,
136,Spec design,,,,,,
137,Spec design,,,,,,
138,Spec design,,,,,,
139,Spec design,,,,,,
140,Spec design,,,,,,
141,Spec design,,,,,,
142,Spec design,,,,,,
143,Spec design,,,,,,
144,Spec design,,,,,,
145,Spec design,,,,,,
146,Spec design,,,,,,
147,Spec design,,,,,,
