,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Spec in Progress,,,,,,
1,Spec in Progress,,,,,,
2,Spec in Progress,,,,,,
3,Spec in Progress,,,,,,
4,Spec in Progress,,,,,,
5,Spec in Progress,,,,,,
6,Spec in Progress,,,,,,
7,Spec in Progress,,,,,,
8,Spec in Progress,,,,,,
9,Spec in Progress,,,,,,
10,Spec in Progress,,,,,,
11,Spec in Progress,,,,,,
12,Spec in Progress,,,,,,
13,Spec in Progress,,,,,,
14,Spec in Progress,,,,,,
15,Spec in Progress,,,,,,
16,Spec in Progress,,,,,,
17,Spec in Progress,,,,,,
18,Spec in Progress,,,,,,
19,Spec in Progress,,,,,,
20,Spec in Progress,,,,,,
21,Spec in Progress,,,,,,
22,Spec in Progress,,,,,,
23,Spec in Progress,,,,,,
24,Spec in Progress,,,,,,
25,Spec in Progress,,,,,,
26,Spec in Progress,,,,,,
27,Spec in Progress,,,,,,
28,Spec in Progress,,,,,,
29,Spec in Progress,,,,,,
30,Spec in Progress,,,,,,
31,Spec in Progress,,,,,,
32,Spec in Progress,,,,,,
33,Spec in Progress,,,,,,
34,Spec in Progress,,,,,,
35,Spec in Progress,,,,,,
36,Spec in Progress,,,,,,
37,Spec in Progress,,,,,,
38,Spec in Progress,,,,,,
39,Spec in Progress,,,,,,
40,Spec in Progress,,,,,,
41,Spec in Progress,,,,,,
42,Spec in Progress,,,,,,
43,Spec in Progress,,,,,,
44,Spec in Progress,,,,,,
45,Spec in Progress,,,,,,
46,Spec in Progress,,,,,,
47,Spec in Progress,,,,,,
48,Spec in Progress,,,,,,
49,Spec in Progress,,,,,,
50,Spec in Progress,,,,,,
51,Spec in Progress,,,,,,
52,Spec in Progress,,,,,,
53,Spec in Progress,,,,,,
54,Spec in Progress,,,,,,
55,Spec in Progress,,,,,,
56,Spec in Progress,,,,,,
57,Spec in Progress,,,,,,
58,Spec in Progress,,,,,,
59,Spec in Progress,,,,,,
60,Spec in Progress,,,,,,
61,Spec in Progress,,,,,,
62,Spec in Progress,,,,,,
63,Spec in Progress,,,,,,
64,Spec in Progress,,,,,,
65,Spec in Progress,,,,,,
66,Spec in Progress,,,,,,
67,Spec in Progress,,,,,,
68,Spec in Progress,,,,,,
69,Spec in Progress,,,,,,
70,Spec in Progress,,,,,,
71,Spec in Progress,,,,,,
72,Spec in Progress,,,,,,
73,Spec in Progress,,,,,,
74,Spec in Progress,,,,,,
75,Spec in Progress,,,,,,
76,Spec in Progress,,,,,,
77,Spec in Progress,,,,,,
78,Spec in Progress,,,,,,
79,Spec in Progress,,,,,,
80,Spec in Progress,,,,,,
81,Spec in Progress,,,,,,
82,Spec in Progress,,,,,,
83,Spec in Progress,,,,,,
84,Spec in Progress,,,,,,
85,Spec in Progress,,,,,,
86,Spec in Progress,,,,,,
87,Spec in Progress,,,,,,
88,Spec in Progress,,,,,,
89,Spec in Progress,,,,,,
90,Spec in Progress,,,,,,
91,Spec in Progress,,,,,,
92,Spec in Progress,,,,,,
93,Spec in Progress,,,,,,
94,Spec in Progress,,,,,,
95,Spec in Progress,,,,,,
96,Spec in Progress,,,,,,
97,Spec in Progress,,,,,,
98,Spec in Progress,,,,,,
99,Spec in Progress,,,,,,
100,Spec in Progress,,,,,,
101,Spec in Progress,,,,,,
102,Spec in Progress,,,,,,
103,Spec in Progress,,,,,,
104,Spec in Progress,,,,,,
105,Spec in Progress,,,,,,
106,Spec in Progress,,,,,,
107,Spec in Progress,,,,,,
108,Spec in Progress,,,,,,
109,Spec in Progress,,,,,,
110,Spec in Progress,,,,,,
111,Spec in Progress,,,,,,
112,Spec in Progress,,,,,,
113,Spec in Progress,,,,,,
114,Spec in Progress,,,,,,
115,Spec in Progress,,,,,,
116,Spec in Progress,,,,,,
117,Spec in Progress,,,,,,
118,Spec in Progress,,,,,,
119,Spec in Progress,,,,,,
120,Spec in Progress,,,,,,
121,Spec in Progress,,,,,,
122,Spec in Progress,,,,,,
123,Spec in Progress,,,,,,
124,Spec in Progress,,,,,,
125,Spec in Progress,,,,,,
126,Spec in Progress,,,,,,
127,Spec in Progress,,,,,,
128,Spec in Progress,,,,,,
129,Spec in Progress,,,,,,
130,Spec in Progress,,,,,,
131,Spec in Progress,,,,,,
132,Spec in Progress,,,,,,
133,Spec in Progress,,,,,,
134,Spec in Progress,,,,,,
135,Spec in Progress,,,,,,
136,Spec in Progress,,,,,,
137,Spec in Progress,,,,,,
138,Spec in Progress,,,,,,
139,Spec in Progress,,,,,,
140,Spec in Progress,,,,,,
141,Spec in Progress,,,,,,
142,Spec in Progress,,,,,,
143,Spec in Progress,,,,,,
144,Spec in Progress,,,,,,
145,Spec in Progress,,,,,,
146,Spec in Progress,,,,,,
147,Spec in Progress,,,,,,
148,Spec in Progress,,,,,,
149,Spec in Progress,,,,,,
150,Spec in Progress,,,,,,
151,Spec in Progress,,,,,,
152,Spec in Progress,,,,,,
153,Spec in Progress,,,,,,
154,Spec in Progress,,,,,,
155,Spec in Progress,,,,,,
156,Spec in Progress,,,,,,
157,Spec in Progress,,,,,,
158,Spec in Progress,,,,,,
159,Spec in Progress,,,,,,
160,Spec in Progress,,,,,,
161,Spec in Progress,,,,,,
162,Spec in Progress,,,,,,
163,Spec in Progress,,,,,,
164,Spec in Progress,,,,,,
165,Spec in Progress,,,,,,
166,Spec in Progress,,,,,,
167,Spec in Progress,,,,,,
168,Spec in Progress,,,,,,
169,Spec in Progress,,,,,,
170,Spec in Progress,,,,,,
171,Spec in Progress,,,,,,
172,Spec in Progress,,,,,,
173,Spec in Progress,,,,,,
174,Spec in Progress,,,,,,
175,Spec in Progress,,,,,,
176,Spec in Progress,,,,,,
177,Spec in Progress,,,,,,
178,Spec in Progress,,,,,,
179,Spec in Progress,,,,,,
180,Spec in Progress,,,,,,
181,Spec in Progress,,,,,,
182,Spec in Progress,,,,,,
183,Spec in Progress,,,,,,
184,Spec in Progress,,,,,,
185,Spec in Progress,,,,,,
186,Spec in Progress,,,,,,
187,Spec in Progress,,,,,,
188,Spec in Progress,,,,,,
189,Spec in Progress,,,,,,
190,Spec in Progress,,,,,,
191,Spec in Progress,,,,,,
192,Spec in Progress,,,,,,
193,Spec in Progress,,,,,,
194,Spec in Progress,,,,,,
195,Spec in Progress,,,,,,
196,Spec in Progress,,,,,,
