,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Spec in Review,,,,,,
1,Spec in Review,,,,,,
2,Spec in Review,,,,,,
3,Spec in Review,,,,,,
4,Spec in Review,,,,,,
5,Spec in Review,,,,,,
6,Spec in Review,,,,,,
7,Spec in Review,,,,,,
8,Spec in Review,,,,,,
9,Spec in Review,,,,,,
10,Spec in Review,,,,,,
11,Spec in Review,,,,,,
12,Spec in Review,,,,,,
13,Spec in Review,,,,,,
14,Spec in Review,,,,,,
15,Spec in Review,,,,,,
16,Spec in Review,,,,,,
17,Spec in Review,,,,,,
18,Spec in Review,,,,,,
19,Spec in Review,,,,,,
20,Spec in Review,,,,,,
21,Spec in Review,,,,,,
22,Spec in Review,,,,,,
23,Spec in Review,,,,,,
24,Spec in Review,,,,,,
25,Spec in Review,,,,,,
26,Spec in Review,,,,,,
27,Spec in Review,,,,,,
28,Spec in Review,,,,,,
29,Spec in Review,,,,,,
30,Spec in Review,,,,,,
31,Spec in Review,,,,,,
32,Spec in Review,,,,,,
33,Spec in Review,,,,,,
34,Spec in Review,,,,,,
35,Spec in Review,,,,,,
36,Spec in Review,,,,,,
37,Spec in Review,,,,,,
38,Spec in Review,,,,,,
39,Spec in Review,,,,,,
40,Spec in Review,,,,,,
41,Spec in Review,,,,,,
42,Spec in Review,,,,,,
43,Spec in Review,,,,,,
44,Spec in Review,,,,,,
45,Spec in Review,,,,,,
46,Spec in Review,,,,,,
47,Spec in Review,,,,,,
48,Spec in Review,,,,,,
49,Spec in Review,,,,,,
50,Spec in Review,,,,,,
51,Spec in Review,,,,,,
52,Spec in Review,,,,,,
53,Spec in Review,,,,,,
54,Spec in Review,,,,,,
55,Spec in Review,,,,,,
56,Spec in Review,,,,,,
57,Spec in Review,,,,,,
58,Spec in Review,,,,,,
59,Spec in Review,,,,,,
60,Spec in Review,,,,,,
61,Spec in Review,,,,,,
62,Spec in Review,,,,,,
63,Spec in Review,,,,,,
64,Spec in Review,,,,,,
65,Spec in Review,,,,,,
66,Spec in Review,,,,,,
67,Spec in Review,,,,,,
68,Spec in Review,,,,,,
69,Spec in Review,,,,,,
70,Spec in Review,,,,,,
71,Spec in Review,,,,,,
72,Spec in Review,,,,,,
73,Spec in Review,,,,,,
74,Spec in Review,,,,,,
75,Spec in Review,,,,,,
76,Spec in Review,,,,,,
77,Spec in Review,,,,,,
78,Spec in Review,,,,,,
79,Spec in Review,,,,,,
80,Spec in Review,,,,,,
81,Spec in Review,,,,,,
82,Spec in Review,,,,,,
83,Spec in Review,,,,,,
84,Spec in Review,,,,,,
85,Spec in Review,,,,,,
86,Spec in Review,,,,,,
87,Spec in Review,,,,,,
88,Spec in Review,,,,,,
89,Spec in Review,,,,,,
90,Spec in Review,,,,,,
91,Spec in Review,,,,,,
92,Spec in Review,,,,,,
93,Spec in Review,,,,,,
94,Spec in Review,,,,,,
95,Spec in Review,,,,,,
96,Spec in Review,,,,,,
97,Spec in Review,,,,,,
98,Spec in Review,,,,,,
99,Spec in Review,,,,,,
100,Spec in Review,,,,,,
101,Spec in Review,,,,,,
102,Spec in Review,,,,,,
103,Spec in Review,,,,,,
104,Spec in Review,,,,,,
105,Spec in Review,,,,,,
106,Spec in Review,,,,,,
107,Spec in Review,,,,,,
108,Spec in Review,,,,,,
109,Spec in Review,,,,,,
110,Spec in Review,,,,,,
111,Spec in Review,,,,,,
112,Spec in Review,,,,,,
113,Spec in Review,,,,,,
114,Spec in Review,,,,,,
115,Spec in Review,,,,,,
116,Spec in Review,,,,,,
117,Spec in Review,,,,,,
118,Spec in Review,,,,,,
119,Spec in Review,,,,,,
120,Spec in Review,,,,,,
121,Spec in Review,,,,,,
122,Spec in Review,,,,,,
123,Spec in Review,,,,,,
124,Spec in Review,,,,,,
125,Spec in Review,,,,,,
126,Spec in Review,,,,,,
127,Spec in Review,,,,,,
128,Spec in Review,,,,,,
129,Spec in Review,,,,,,
130,Spec in Review,,,,,,
131,Spec in Review,,,,,,
132,Spec in Review,,,,,,
133,Spec in Review,,,,,,
134,Spec in Review,,,,,,
135,Spec in Review,,,,,,
136,Spec in Review,,,,,,
137,Spec in Review,,,,,,
138,Spec in Review,,,,,,
139,Spec in Review,,,,,,
140,Spec in Review,,,,,,
141,Spec in Review,,,,,,
142,Spec in Review,,,,,,
143,Spec in Review,,,,,,
144,Spec in Review,,,,,,
145,Spec in Review,,,,,,
146,Spec in Review,,,,,,
147,Spec in Review,,,,,,
148,Spec in Review,,,,,,
149,Spec in Review,,,,,,
150,Spec in Review,,,,,,
151,Spec in Review,,,,,,
152,Spec in Review,,,,,,
153,Spec in Review,,,,,,
154,Spec in Review,,,,,,
155,Spec in Review,,,,,,
156,Spec in Review,,,,,,
157,Spec in Review,,,,,,
158,Spec in Review,,,,,,
159,Spec in Review,,,,,,
160,Spec in Review,,,,,,
161,Spec in Review,,,,,,
162,Spec in Review,,,,,,
163,Spec in Review,,,,,,
164,Spec in Review,,,,,,
165,Spec in Review,,,,,,
166,Spec in Review,,,,,,
167,Spec in Review,,,,,,
168,Spec in Review,,,,,,
169,Spec in Review,,,,,,
170,Spec in Review,,,,,,
171,Spec in Review,,,,,,
172,Spec in Review,,,,,,
173,Spec in Review,,,,,,
174,Spec in Review,,,,,,
175,Spec in Review,,,,,,
176,Spec in Review,,,,,,
177,Spec in Review,,,,,,
178,Spec in Review,,,,,,
179,Spec in Review,,,,,,
180,Spec in Review,,,,,,
181,Spec in Review,,,,,,
182,Spec in Review,,,,,,
183,Spec in Review,,,,,,
184,Spec in Review,,,,,,
185,Spec in Review,,,,,,
186,Spec in Review,,,,,,
187,Spec in Review,,,,,,
188,Spec in Review,,,,,,
189,Spec in Review,,,,,,
190,Spec in Review,,,,,,
191,Spec in Review,,,,,,
192,Spec in Review,,,,,,
193,Spec in Review,,,,,,
194,Spec in Review,,,,,,
195,Spec in Review,,,,,,
196,Spec in Review,,,,,,
