,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Spec review,,,,,,
1,Spec review,,,,,,
2,Spec review,,,,,,
3,Spec review,,,,,,
4,Spec review,1.0,1.0,1.0,5.787037e-05,5.8e-05,5.8e-05
5,Spec review,,,,,,
6,Spec review,,,,,,
7,Spec review,,,,,,
8,Spec review,,,,,,
9,Spec review,,,,,,
10,Spec review,,,,,,
11,Spec review,,,,,,
12,Spec review,,,,,,
13,Spec review,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
14,Spec review,,,,,,
15,Spec review,,,,,,
16,Spec review,1.0,1.0,1.0,4.6296296e-05,4.6e-05,4.6e-05
17,Spec review,2.0,2.0,2.0,3.4722222e-05,3.5e-05,3.5e-05
18,Spec review,1.0,1.0,1.0,2.3148148e-05,2.3e-05,2.3e-05
19,Spec review,,,,,,
20,Spec review,,,,,,
21,Spec review,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
22,Spec review,2.0,2.0,2.0,3.42078125,6.841493,6.9e-05
23,Spec review,,,,,,
24,Spec review,,,,,,
25,Spec review,,,,,,
26,Spec review,,,,,,
27,Spec review,,,,,,
28,Spec review,,,,,,
29,Spec review,,,,,,
30,Spec review,,,,,,
31,Spec review,,,,,,
32,Spec review,,,,,,
33,Spec review,,,,,,
34,Spec review,,,,,,
35,Spec review,,,,,,
36,Spec review,,,,,,
37,Spec review,,,,,,
38,Spec review,,,,,,
39,Spec review,,,,,,
40,Spec review,,,,,,
41,Spec review,,,,,,
42,Spec review,,,,,,
43,Spec review,,,,,,
44,Spec review,,,,,,
45,Spec review,,,,,,
46,Spec review,,,,,,
47,Spec review,,,,,,
48,Spec review,,,,,,
49,Spec review,,,,,,
50,Spec review,,,,,,
51,Spec review,,,,,,
52,Spec review,,,,,,
53,Spec review,,,,,,
54,Spec review,1.0,1.0,1.0,2.3148148e-05,2.3e-05,2.3e-05
55,Spec review,,,,,,
56,Spec review,,,,,,
57,Spec review,,,,,,
58,Spec review,,,,,,
59,Spec review,,,,,,
60,Spec review,,,,,,
61,Spec review,,,,,,
62,Spec review,,,,,,
63,Spec review,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
64,Spec review,,,,,,
65,Spec review,,,,,,
66,Spec review,,,,,,
67,Spec review,,,,,,
68,Spec review,,,,,,
69,Spec review,1.0,1.0,1.0,9.88125,9.88125,9.88125
