,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,To-Do,,,,,,
1,To-Do,2.0,2.0,2.0,11.960081018519,19.893125,4.027037
2,To-Do,,,,,,
3,To-Do,,,,,,
4,To-Do,1.0,1.0,1.0,0.78837962963,0.78838,0.78838
5,To-Do,,,,,,
6,To-Do,,,,,,
7,To-Do,1.0,1.0,1.0,8.06431712963,8.064317,8.064317
8,To-Do,,,,,,
9,To-Do,,,,,,
10,To-Do,,,,,,
11,To-Do,,,,,,
12,To-Do,,,,,,
13,To-Do,,,,,,
14,To-Do,,,,,,
15,To-Do,,,,,,
16,To-Do,,,,,,
17,To-Do,,,,,,
18,To-Do,2.0,2.0,2.0,21.678530092593,22.615139,20.741921
19,To-Do,1.0,1.0,1.0,19.62306712963,19.623067,19.623067
20,To-Do,,,,,,
21,To-Do,,,,,,
22,To-Do,1.0,1.0,1.0,49.917488425926,49.917488,49.917488
23,To-Do,,,,,,
24,To-Do,,,,,,
25,To-Do,,,,,,
26,To-Do,,,,,,
27,To-Do,,,,,,
28,To-Do,,,,,,
29,To-Do,,,,,,
30,To-Do,,,,,,
31,To-Do,,,,,,
32,To-Do,,,,,,
33,To-Do,,,,,,
34,To-Do,,,,,,
35,To-Do,,,,,,
36,To-Do,,,,,,
37,To-Do,,,,,,
38,To-Do,,,,,,
39,To-Do,7.0,7.0,7.0,0.743905423275,2.797766,0.007535
40,To-Do,,,,,,
41,To-Do,,,,,,
42,To-Do,,,,,,
43,To-Do,,,,,,
44,To-Do,,,,,,
45,To-Do,,,,,,
46,To-Do,,,,,,
47,To-Do,,,,,,
48,To-Do,,,,,,
49,To-Do,,,,,,
50,To-Do,,,,,,
51,To-Do,,,,,,
52,To-Do,,,,,,
53,To-Do,,,,,,
54,To-Do,,,,,,
55,To-Do,,,,,,
56,To-Do,,,,,,
57,To-Do,,,,,,
58,To-Do,,,,,,
59,To-Do,,,,,,
60,To-Do,,,,,,
61,To-Do,,,,,,
62,To-Do,,,,,,
63,To-Do,1.0,1.0,1.0,0.324409722222,0.32441,0.32441
64,To-Do,,,,,,
65,To-Do,,,,,,
66,To-Do,1.0,1.0,1.0,19.194201388889,19.194201,19.194201
67,To-Do,,,,,,
68,To-Do,,,,,,
69,To-Do,,,,,,
70,To-Do,2.0,2.0,2.0,0.81478587963,1.519271,0.110301
71,To-Do,,,,,,
72,To-Do,,,,,,
73,To-Do,,,,,,
74,To-Do,,,,,,
75,To-Do,,,,,,
76,To-Do,1.0,1.0,1.0,2.755752314815,2.755752,2.755752
77,To-Do,,,,,,
78,To-Do,,,,,,
79,To-Do,,,,,,
80,To-Do,,,,,,
81,To-Do,,,,,,
82,To-Do,,,,,,
83,To-Do,,,,,,
84,To-Do,,,,,,
85,To-Do,,,,,,
86,To-Do,,,,,,
87,To-Do,,,,,,
88,To-Do,,,,,,
89,To-Do,,,,,,
90,To-Do,,,,,,
91,To-Do,,,,,,
92,To-Do,,,,,,
93,To-Do,,,,,,
94,To-Do,,,,,,
95,To-Do,,,,,,
96,To-Do,,,,,,
97,To-Do,,,,,,
98,To-Do,,,,,,
99,To-Do,,,,,,
100,To-Do,,,,,,
101,To-Do,,,,,,
102,To-Do,,,,,,
103,To-Do,,,,,,
104,To-Do,,,,,,
105,To-Do,,,,,,
106,To-Do,,,,,,
107,To-Do,,,,,,
108,To-Do,2.0,3.0,3.0,3.806280864201,11.061204,0.003241
109,To-Do,,,,,,
110,To-Do,,,,,,
111,To-Do,,,,,,
112,To-Do,,,,,,
113,To-Do,,,,,,
114,To-Do,,,,,,
115,To-Do,,,,,,
116,To-Do,,,,,,
117,To-Do,,,,,,
118,To-Do,,,,,,
119,To-Do,,,,,,
120,To-Do,9.0,13.0,13.0,0.106550925926,1.047257,3.5e-05
121,To-Do,,,,,,
122,To-Do,,,,,,
123,To-Do,,,,,,
124,To-Do,,,,,,
125,To-Do,,,,,,
126,To-Do,,,,,,
127,To-Do,,,,,,
128,To-Do,,,,,,
129,To-Do,3.0,5.0,5.0,3.331576388889,13.041019,0.01309
130,To-Do,,,,,,
131,To-Do,,,,,,
132,To-Do,,,,,,
133,To-Do,1.0,1.0,1.0,0.074212962963,0.074213,0.074213
134,To-Do,,,,,,
135,To-Do,,,,,,
136,To-Do,,,,,,
137,To-Do,,,,,,
138,To-Do,,,,,,
139,To-Do,,,,,,
140,To-Do,,,,,,
141,To-Do,,,,,,
142,To-Do,,,,,,
143,To-Do,,,,,,
144,To-Do,,,,,,
145,To-Do,,,,,,
146,To-Do,,,,,,
147,To-Do,,,,,,
148,To-Do,,,,,,
149,To-Do,,,,,,
150,To-Do,,,,,,
151,To-Do,,,,,,
152,To-Do,,,,,,
153,To-Do,,,,,,
154,To-Do,,,,,,
155,To-Do,,,,,,
156,To-Do,1.0,1.0,1.0,5.787037e-05,5.8e-05,5.8e-05
157,To-Do,,,,,,
158,To-Do,1.0,1.0,1.0,0.005949074074,0.005949,0.005949
159,To-Do,,,,,,
160,To-Do,,,,,,
161,To-Do,,,,,,
162,To-Do,,,,,,
163,To-Do,,,,,,
164,To-Do,,,,,,
165,To-Do,,,,,,
166,To-Do,,,,,,
167,To-Do,,,,,,
168,To-Do,,,,,,
169,To-Do,,,,,,
170,To-Do,,,,,,
171,To-Do,,,,,,
172,To-Do,,,,,,
173,To-Do,,,,,,
174,To-Do,,,,,,
175,To-Do,,,,,,
176,To-Do,,,,,,
177,To-Do,,,,,,
178,To-Do,2.0,3.0,3.0,9.640378086424,28.920336,0.00037
179,To-Do,,,,,,
180,To-Do,,,,,,
181,To-Do,,,,,,
182,To-Do,1.0,1.0,1.0,4.058472222222,4.058472,4.058472
183,To-Do,,,,,,
184,To-Do,,,,,,
185,To-Do,,,,,,
186,To-Do,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
187,To-Do,2.0,2.0,2.0,0.000873842593,0.001424,0.000324
188,To-Do,,,,,,
189,To-Do,,,,,,
190,To-Do,,,,,,
191,To-Do,,,,,,
192,To-Do,,,,,,
193,To-Do,1.0,3.0,3.0,0.834309413576,1.92875,0.22265
194,To-Do,,,,,,
195,To-Do,,,,,,
196,To-Do,,,,,,
