,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,TODO for Devs,,,,,,
1,TODO for Devs,,,,,,
2,TODO for Devs,,,,,,
3,TODO for Devs,,,,,,
4,TODO for Devs,,,,,,
5,TODO for Devs,,,,,,
6,TODO for Devs,,,,,,
7,TODO for Devs,,,,,,
8,TODO for Devs,,,,,,
9,TODO for Devs,,,,,,
10,TODO for Devs,,,,,,
11,TODO for Devs,,,,,,
12,TODO for Devs,,,,,,
13,TODO for Devs,,,,,,
14,TODO for Devs,,,,,,
15,TODO for Devs,,,,,,
16,TODO for Devs,,,,,,
17,TODO for Devs,,,,,,
18,TODO for Devs,,,,,,
19,TODO for Devs,,,,,,
20,TODO for Devs,,,,,,
21,TODO for Devs,,,,,,
22,TODO for Devs,,,,,,
23,TODO for Devs,,,,,,
24,TODO for Devs,,,,,,
25,TODO for Devs,,,,,,
26,TODO for Devs,,,,,,
27,TODO for Devs,,,,,,
28,TODO for Devs,,,,,,
29,TODO for Devs,,,,,,
30,TODO for Devs,,,,,,
31,TODO for Devs,,,,,,
32,TODO for Devs,,,,,,
33,TODO for Devs,,,,,,
34,TODO for Devs,,,,,,
35,TODO for Devs,,,,,,
36,TODO for Devs,,,,,,
37,TODO for Devs,,,,,,
38,TODO for Devs,,,,,,
39,TODO for Devs,,,,,,
40,TODO for Devs,,,,,,
41,TODO for Devs,,,,,,
42,TODO for Devs,,,,,,
43,TODO for Devs,,,,,,
44,TODO for Devs,,,,,,
45,TODO for Devs,,,,,,
46,TODO for Devs,,,,,,
47,TODO for Devs,,,,,,
48,TODO for Devs,,,,,,
49,TODO for Devs,,,,,,
50,TODO for Devs,,,,,,
51,TODO for Devs,,,,,,
52,TODO for Devs,,,,,,
53,TODO for Devs,,,,,,
54,TODO for Devs,,,,,,
55,TODO for Devs,,,,,,
56,TODO for Devs,,,,,,
57,TODO for Devs,,,,,,
58,TODO for Devs,,,,,,
59,TODO for Devs,,,,,,
60,TODO for Devs,,,,,,
61,TODO for Devs,,,,,,
62,TODO for Devs,,,,,,
63,TODO for Devs,,,,,,
64,TODO for Devs,,,,,,
65,TODO for Devs,,,,,,
66,TODO for Devs,,,,,,
67,TODO for Devs,,,,,,
68,TODO for Devs,,,,,,
69,TODO for Devs,,,,,,
70,TODO for Devs,,,,,,
71,TODO for Devs,,,,,,
72,TODO for Devs,,,,,,
73,TODO for Devs,,,,,,
74,TODO for Devs,,,,,,
75,TODO for Devs,,,,,,
76,TODO for Devs,,,,,,
77,TODO for Devs,,,,,,
78,TODO for Devs,,,,,,
79,TODO for Devs,,,,,,
80,TODO for Devs,,,,,,
81,TODO for Devs,,,,,,
82,TODO for Devs,,,,,,
83,TODO for Devs,,,,,,
84,TODO for Devs,,,,,,
85,TODO for Devs,,,,,,
86,TODO for Devs,,,,,,
87,TODO for Devs,,,,,,
88,TODO for Devs,,,,,,
89,TODO for Devs,,,,,,
90,TODO for Devs,,,,,,
91,TODO for Devs,,,,,,
92,TODO for Devs,,,,,,
93,TODO for Devs,,,,,,
94,TODO for Devs,,,,,,
95,TODO for Devs,,,,,,
96,TODO for Devs,,,,,,
97,TODO for Devs,,,,,,
98,TODO for Devs,,,,,,
99,TODO for Devs,,,,,,
100,TODO for Devs,,,,,,
101,TODO for Devs,,,,,,
102,TODO for Devs,,,,,,
103,TODO for Devs,,,,,,
104,TODO for Devs,,,,,,
105,TODO for Devs,,,,,,
106,TODO for Devs,,,,,,
107,TODO for Devs,,,,,,
108,TODO for Devs,,,,,,
109,TODO for Devs,,,,,,
110,TODO for Devs,,,,,,
111,TODO for Devs,,,,,,
112,TODO for Devs,,,,,,
113,TODO for Devs,,,,,,
114,TODO for Devs,,,,,,
115,TODO for Devs,,,,,,
116,TODO for Devs,,,,,,
117,TODO for Devs,,,,,,
118,TODO for Devs,,,,,,
119,TODO for Devs,,,,,,
120,TODO for Devs,,,,,,
121,TODO for Devs,,,,,,
122,TODO for Devs,,,,,,
123,TODO for Devs,,,,,,
124,TODO for Devs,,,,,,
125,TODO for Devs,,,,,,
126,TODO for Devs,,,,,,
127,TODO for Devs,,,,,,
128,TODO for Devs,,,,,,
129,TODO for Devs,,,,,,
130,TODO for Devs,,,,,,
131,TODO for Devs,,,,,,
132,TODO for Devs,,,,,,
133,TODO for Devs,,,,,,
134,TODO for Devs,,,,,,
135,TODO for Devs,,,,,,
136,TODO for Devs,,,,,,
137,TODO for Devs,,,,,,
138,TODO for Devs,,,,,,
139,TODO for Devs,,,,,,
140,TODO for Devs,,,,,,
141,TODO for Devs,,,,,,
142,TODO for Devs,,,,,,
143,TODO for Devs,,,,,,
144,TODO for Devs,,,,,,
145,TODO for Devs,,,,,,
146,TODO for Devs,,,,,,
147,TODO for Devs,,,,,,
148,TODO for Devs,,,,,,
149,TODO for Devs,,,,,,
150,TODO for Devs,,,,,,
151,TODO for Devs,,,,,,
152,TODO for Devs,,,,,,
153,TODO for Devs,,,,,,
154,TODO for Devs,,,,,,
155,TODO for Devs,,,,,,
156,TODO for Devs,,,,,,
157,TODO for Devs,,,,,,
158,TODO for Devs,,,,,,
159,TODO for Devs,,,,,,
160,TODO for Devs,,,,,,
161,TODO for Devs,,,,,,
162,TODO for Devs,,,,,,
163,TODO for Devs,,,,,,
164,TODO for Devs,,,,,,
