,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Work in Progress,,,,,,
1,Work in Progress,2.0,2.0,2.0,3.002708333333,4.1961,1.809317
2,Work in Progress,2.0,3.0,3.0,6.425632716053,19.104722,0.003102
3,Work in Progress,,,,,,
4,Work in Progress,2.0,2.0,2.0,7.203993055556,14.407222,0.000764
5,Work in Progress,,,,,,
6,Work in Progress,,,,,,
7,Work in Progress,2.0,2.0,2.0,1.562835648148,3.125637,3.5e-05
8,Work in Progress,,,,,,
9,Work in Progress,,,,,,
10,Work in Progress,,,,,,
11,Work in Progress,,,,,,
12,Work in Progress,1.0,1.0,1.0,8.1018519e-05,8.1e-05,8.1e-05
13,Work in Progress,2.0,2.0,2.0,0.032615740741,0.065093,0.000139
14,Work in Progress,,,,,,
15,Work in Progress,,,,,,
16,Work in Progress,,,,,,
17,Work in Progress,1.0,1.0,1.0,105.417708333333,105.417708,105.417708
18,Work in Progress,3.0,4.0,4.0,12.367335069444,46.441875,0.000556
19,Work in Progress,1.0,1.0,1.0,6.758738425926,6.758738,6.758738
20,Work in Progress,,,,,,
21,Work in Progress,,,,,,
22,Work in Progress,,,,,,
23,Work in Progress,,,,,,
24,Work in Progress,,,,,,
25,Work in Progress,,,,,,
26,Work in Progress,,,,,,
27,Work in Progress,,,,,,
28,Work in Progress,,,,,,
29,Work in Progress,,,,,,
30,Work in Progress,,,,,,
31,Work in Progress,,,,,,
32,Work in Progress,,,,,,
33,Work in Progress,,,,,,
34,Work in Progress,,,,,,
35,Work in Progress,,,,,,
36,Work in Progress,,,,,,
37,Work in Progress,,,,,,
38,Work in Progress,,,,,,
39,Work in Progress,9.0,9.0,9.0,3.646868569954,16.154572,0.000718
40,Work in Progress,,,,,,
41,Work in Progress,,,,,,
42,Work in Progress,,,,,,
43,Work in Progress,,,,,,
44,Work in Progress,,,,,,
45,Work in Progress,,,,,,
46,Work in Progress,,,,,,
47,Work in Progress,,,,,,
48,Work in Progress,,,,,,
49,Work in Progress,,,,,,
50,Work in Progress,,,,,,
51,Work in Progress,,,,,,
52,Work in Progress,,,,,,
53,Work in Progress,,,,,,
54,Work in Progress,2.0,2.0,2.0,27.04703125,53.297164,0.796898
55,Work in Progress,,,,,,
56,Work in Progress,1.0,1.0,1.0,3.4722222e-05,3.5e-05,3.5e-05
57,Work in Progress,,,,,,
58,Work in Progress,,,,,,
59,Work in Progress,,,,,,
60,Work in Progress,,,,,,
61,Work in Progress,,,,,,
62,Work in Progress,,,,,,
63,Work in Progress,5.0,5.0,5.0,46.363747685185,210.248924,4.6e-05
64,Work in Progress,,,,,,
65,Work in Progress,,,,,,
66,Work in Progress,2.0,3.0,3.0,105.438989197535,312.58419,0.761481
67,Work in Progress,,,,,,
68,Work in Progress,,,,,,
69,Work in Progress,,,,,,
70,Work in Progress,,,,,,
71,Work in Progress,,,,,,
72,Work in Progress,,,,,,
73,Work in Progress,,,,,,
74,Work in Progress,,,,,,
75,Work in Progress,,,,,,
76,Work in Progress,,,,,,
77,Work in Progress,,,,,,
78,Work in Progress,,,,,,
79,Work in Progress,,,,,,
80,Work in Progress,,,,,,
81,Work in Progress,,,,,,
82,Work in Progress,,,,,,
83,Work in Progress,,,,,,
84,Work in Progress,,,,,,
85,Work in Progress,,,,,,
86,Work in Progress,1.0,1.0,1.0,0.003518518519,0.003519,0.003519
87,Work in Progress,1.0,1.0,1.0,169.655856481481,169.655856,169.655856
88,Work in Progress,1.0,1.0,1.0,22.023993055556,22.023993,22.023993
89,Work in Progress,,,,,,
90,Work in Progress,,,,,,
91,Work in Progress,,,,,,
92,Work in Progress,1.0,1.0,1.0,5.715046296296,5.715046,5.715046
93,Work in Progress,,,,,,
94,Work in Progress,,,,,,
95,Work in Progress,,,,,,
96,Work in Progress,,,,,,
97,Work in Progress,,,,,,
98,Work in Progress,,,,,,
99,Work in Progress,,,,,,
100,Work in Progress,,,,,,
101,Work in Progress,,,,,,
102,Work in Progress,,,,,,
103,Work in Progress,,,,,,
104,Work in Progress,,,,,,
105,Work in Progress,,,,,,
106,Work in Progress,,,,,,
107,Work in Progress,,,,,,
108,Work in Progress,4.0,8.0,8.0,3.359147858796,22.604722,0.006493
109,Work in Progress,1.0,1.0,1.0,0.030775462963,0.030775,0.030775
110,Work in Progress,,,,,,
111,Work in Progress,,,,,,
112,Work in Progress,,,,,,
113,Work in Progress,,,,,,
114,Work in Progress,,,,,,
115,Work in Progress,,,,,,
116,Work in Progress,,,,,,
117,Work in Progress,,,,,,
118,Work in Progress,,,,,,
119,Work in Progress,3.0,5.0,5.0,1.551421296296,6.894549,0.006366
120,Work in Progress,9.0,12.0,12.0,2.180822723762,22.621019,4.6e-05
121,Work in Progress,,,,,,
122,Work in Progress,,,,,,
123,Work in Progress,,,,,,
124,Work in Progress,,,,,,
125,Work in Progress,,,,,,
126,Work in Progress,,,,,,
127,Work in Progress,,,,,,
128,Work in Progress,,,,,,
129,Work in Progress,,,,,,
130,Work in Progress,,,,,,
131,Work in Progress,,,,,,
132,Work in Progress,,,,,,
133,Work in Progress,3.0,3.0,3.0,21.953260030868,65.051377,0.001968
134,Work in Progress,,,,,,
135,Work in Progress,,,,,,
136,Work in Progress,,,,,,
137,Work in Progress,,,,,,
138,Work in Progress,,,,,,
139,Work in Progress,,,,,,
140,Work in Progress,,,,,,
141,Work in Progress,,,,,,
142,Work in Progress,,,,,,
143,Work in Progress,,,,,,
144,Work in Progress,,,,,,
145,Work in Progress,,,,,,
146,Work in Progress,,,,,,
147,Work in Progress,,,,,,
148,Work in Progress,,,,,,
149,Work in Progress,,,,,,
150,Work in Progress,,,,,,
151,Work in Progress,,,,,,
152,Work in Progress,,,,,,
153,Work in Progress,,,,,,
154,Work in Progress,,,,,,
155,Work in Progress,,,,,,
156,Work in Progress,2.0,2.0,2.0,22.625717592593,22.625741,22.625694
157,Work in Progress,3.0,3.0,3.0,48.209853395058,62.641169,19.347836
158,Work in Progress,2.0,2.0,2.0,1.480561342593,2.959375,0.001748
159,Work in Progress,,,,,,
160,Work in Progress,,,,,,
161,Work in Progress,1.0,1.0,1.0,22.616689814815,22.61669,22.61669
162,Work in Progress,,,,,,
163,Work in Progress,,,,,,
164,Work in Progress,,,,,,
165,Work in Progress,1.0,1.0,1.0,126.342569444444,126.342569,126.342569
166,Work in Progress,,,,,,
167,Work in Progress,,,,,,
168,Work in Progress,,,,,,
169,Work in Progress,,,,,,
170,Work in Progress,,,,,,
171,Work in Progress,,,,,,
172,Work in Progress,,,,,,
